"Time","C2H013"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/04/1977,       0.237
00:00:00 01/05/1977,       0.237
00:00:00 01/06/1977,       0.237
00:00:00 01/07/1977,""
00:00:00 01/08/1977,""
00:00:00 01/09/1977,       0.237
00:00:00 01/10/1977,       0.237
00:00:00 01/11/1977,       0.237
00:00:00 01/12/1977,       0.237
00:00:00 01/01/1978,       0.237
00:00:00 01/02/1978,       0.237
00:00:00 01/03/1978,       0.237
00:00:00 01/04/1978,       0.237
00:00:00 01/05/1978,       0.237
00:00:00 01/06/1978,       0.237
00:00:00 01/07/1978,       0.237
00:00:00 01/08/1978,       0.237
00:00:00 01/09/1978,       0.237
00:00:00 01/10/1978,       0.237
00:00:00 01/11/1978,       0.237
00:00:00 01/12/1978,       0.237
00:00:00 01/01/1979,       0.237
00:00:00 01/02/1979,       0.237
00:00:00 01/03/1979,       0.237
00:00:00 01/04/1979,       0.237
00:00:00 01/05/1979,       0.237
00:00:00 01/06/1979,       0.237
00:00:00 01/07/1979,       0.237
00:00:00 01/08/1979,       0.237
00:00:00 01/09/1979,       0.237
00:00:00 01/10/1979,       0.237
00:00:00 01/11/1979,       0.237
00:00:00 01/12/1979,       0.237
00:00:00 01/01/1980,       0.237
00:00:00 01/02/1980,       0.237
00:00:00 01/03/1980,       0.237
00:00:00 01/04/1980,       0.237
00:00:00 01/05/1980,       0.237
00:00:00 01/06/1980,       0.237
00:00:00 01/07/1980,       0.237
00:00:00 01/08/1980,       0.237
00:00:00 01/09/1980,       0.237
00:00:00 01/10/1980,       0.237
00:00:00 01/11/1980,       0.237
00:00:00 01/12/1980,       0.237
00:00:00 01/01/1981,       0.237
00:00:00 01/02/1981,       0.237
00:00:00 01/03/1981,       0.237
00:00:00 01/04/1981,       0.237
00:00:00 01/05/1981,       0.237
00:00:00 01/06/1981,       0.237
00:00:00 01/07/1981,       0.237
00:00:00 01/08/1981,       0.237
00:00:00 01/09/1981,       0.237
00:00:00 01/10/1981,       0.237
00:00:00 01/11/1981,       0.237
00:00:00 01/12/1981,       0.237
00:00:00 01/01/1982,       0.237
00:00:00 01/02/1982,       0.237
00:00:00 01/03/1982,       0.237
00:00:00 01/04/1982,       0.237
00:00:00 01/05/1982,       0.237
00:00:00 01/06/1982,       0.237
00:00:00 01/07/1982,       0.237
00:00:00 01/08/1982,       0.237
00:00:00 01/09/1982,       0.237
00:00:00 01/10/1982,       0.237
00:00:00 01/11/1982,       0.237
00:00:00 01/12/1982,       0.237
00:00:00 01/01/1983,       0.237
00:00:00 01/02/1983,       0.237
00:00:00 01/03/1983,       0.237
00:00:00 01/04/1983,       0.237
00:00:00 01/05/1983,       0.237
00:00:00 01/06/1983,       0.237
00:00:00 01/07/1983,       0.237
00:00:00 01/08/1983,       0.237
00:00:00 01/09/1983,       0.237
00:00:00 01/10/1983,       0.237
00:00:00 01/11/1983,       0.237
00:00:00 01/12/1983,       0.237
00:00:00 01/01/1984,       0.237
00:00:00 01/02/1984,       0.237
00:00:00 01/03/1984,       0.237
00:00:00 01/04/1984,       0.237
00:00:00 01/05/1984,       0.237
00:00:00 01/06/1984,       0.237
00:00:00 01/07/1984,       0.237
00:00:00 01/08/1984,       0.237
00:00:00 01/09/1984,       0.237
00:00:00 01/10/1984,       0.237
00:00:00 01/11/1984,       0.237
00:00:00 01/12/1984,       0.237
00:00:00 01/01/1985,       0.237
00:00:00 01/02/1985,       0.237
00:00:00 01/03/1985,       0.237
00:00:00 01/04/1985,       0.237
00:00:00 01/05/1985,       0.237
00:00:00 01/06/1985,       0.237
00:00:00 01/07/1985,       0.237
00:00:00 01/08/1985,       0.237
00:00:00 01/09/1985,       0.237
00:00:00 01/10/1985,       0.237
00:00:00 01/11/1985,       0.237
00:00:00 01/12/1985,       0.237
00:00:00 01/01/1986,       0.237
00:00:00 01/02/1986,       0.237
00:00:00 01/03/1986,       0.237
00:00:00 01/04/1986,       0.237
00:00:00 01/05/1986,       0.237
00:00:00 01/06/1986,       0.237
00:00:00 01/07/1986,       0.237
00:00:00 01/08/1986,       0.236
00:00:00 01/09/1986,       0.237
00:00:00 01/10/1986,       0.237
00:00:00 01/11/1986,       0.236
00:00:00 01/12/1986,       0.237
00:00:00 01/01/1987,       0.237
00:00:00 01/02/1987,       0.237
00:00:00 01/03/1987,       0.237
00:00:00 01/04/1987,       0.237
00:00:00 01/05/1987,       0.237
00:00:00 01/06/1987,       0.237
00:00:00 01/07/1987,       0.237
00:00:00 01/08/1987,       0.237
00:00:00 01/09/1987,       0.237
00:00:00 01/10/1987,       0.237
00:00:00 01/11/1987,       0.237
00:00:00 01/12/1987,       0.237
00:00:00 01/01/1988,       0.237
00:00:00 01/02/1988,       0.237
00:00:00 01/03/1988,       0.237
00:00:00 01/04/1988,       0.237
00:00:00 01/05/1988,       0.237
00:00:00 01/06/1988,       0.237
00:00:00 01/07/1988,       0.237
00:00:00 01/08/1988,       0.237
00:00:00 01/09/1988,       0.237
00:00:00 01/10/1988,       0.237
00:00:00 01/11/1988,       0.237
00:00:00 01/12/1988,       0.237
00:00:00 01/01/1989,       0.237
00:00:00 01/02/1989,       0.237
00:00:00 01/03/1989,       0.237
00:00:00 01/04/1989,       0.237
00:00:00 01/05/1989,       0.237
00:00:00 01/06/1989,       0.237
00:00:00 01/07/1989,       0.237
00:00:00 01/08/1989,       0.237
00:00:00 01/09/1989,       0.237
00:00:00 01/10/1989,       0.236
00:00:00 01/11/1989,       0.227
00:00:00 01/12/1989,       0.235
00:00:00 01/01/1990,       0.237
00:00:00 01/02/1990,       0.237
00:00:00 01/03/1990,       0.237
00:00:00 01/04/1990,       0.237
00:00:00 01/05/1990,       0.237
00:00:00 01/06/1990,       0.237
00:00:00 01/07/1990,       0.237
00:00:00 01/08/1990,       0.237
00:00:00 01/09/1990,       0.237
00:00:00 01/10/1990,       0.235
00:00:00 01/11/1990,       0.219
00:00:00 01/12/1990,       0.202
00:00:00 01/01/1991,       0.200
00:00:00 01/02/1991,       0.221
00:00:00 01/03/1991,       0.237
00:00:00 01/04/1991,       0.237
00:00:00 01/05/1991,       0.237
00:00:00 01/06/1991,       0.237
00:00:00 01/07/1991,       0.237
00:00:00 01/08/1991,       0.237
00:00:00 01/09/1991,       0.237
00:00:00 01/10/1991,       0.232
00:00:00 01/11/1991,       0.215
00:00:00 01/12/1991,       0.201
00:00:00 01/01/1992,       0.179
00:00:00 01/02/1992,       0.216
00:00:00 01/03/1992,       0.227
00:00:00 01/04/1992,       0.223
00:00:00 01/05/1992,       0.210
00:00:00 01/06/1992,       0.191
00:00:00 01/07/1992,       0.191
00:00:00 01/08/1992,       0.195
00:00:00 01/09/1992,       0.174
00:00:00 01/10/1992,       0.144
00:00:00 01/11/1992,       0.133
00:00:00 01/12/1992,       0.134
00:00:00 01/01/1993,       0.134
00:00:00 01/02/1993,       0.137
00:00:00 01/03/1993,       0.137
00:00:00 01/04/1993,       0.134
00:00:00 01/05/1993,       0.141
00:00:00 01/06/1993,       0.144
00:00:00 01/07/1993,       0.154
00:00:00 01/08/1993,       0.183
00:00:00 01/09/1993,       0.211
00:00:00 01/10/1993,       0.198
00:00:00 01/11/1993,       0.225
00:00:00 01/12/1993,       0.237
00:00:00 01/01/1994,       0.237
00:00:00 01/02/1994,       0.237
00:00:00 01/03/1994,       0.237
00:00:00 01/04/1994,       0.236
00:00:00 01/05/1994,       0.237
00:00:00 01/06/1994,       0.237
00:00:00 01/07/1994,       0.237
00:00:00 01/08/1994,       0.237
00:00:00 01/09/1994,       0.235
00:00:00 01/10/1994,       0.223
00:00:00 01/11/1994,       0.222
00:00:00 01/12/1994,       0.227
00:00:00 01/01/1995,       0.228
00:00:00 01/02/1995,       0.237
00:00:00 01/03/1995,       0.224
00:00:00 01/04/1995,       0.217
00:00:00 01/05/1995,       0.235
00:00:00 01/06/1995,       0.237
00:00:00 01/07/1995,       0.234
00:00:00 01/08/1995,       0.234
00:00:00 01/09/1995,       0.218
00:00:00 01/10/1995,       0.178
00:00:00 01/11/1995,       0.161
00:00:00 01/12/1995,       0.207
00:00:00 01/01/1996,       0.199
00:00:00 01/02/1996,       0.192
00:00:00 01/03/1996,       0.221
00:00:00 01/04/1996,       0.233
00:00:00 01/05/1996,       0.233
00:00:00 01/06/1996,       0.233
00:00:00 01/07/1996,       0.232
00:00:00 01/08/1996,       0.232
00:00:00 01/09/1996,       0.230
00:00:00 01/10/1996,       0.224
00:00:00 01/11/1996,       0.216
00:00:00 01/12/1996,""
00:00:00 01/01/1997,       0.229
00:00:00 01/02/1997,       0.227
00:00:00 01/03/1997,       0.195
00:00:00 01/04/1997,       0.218
00:00:00 01/05/1997,       0.223
00:00:00 01/06/1997,       0.228
00:00:00 01/07/1997,       0.231
00:00:00 01/08/1997,       0.220
00:00:00 01/09/1997,       0.217
00:00:00 01/10/1997,""
00:00:00 01/11/1997,""
00:00:00 01/12/1997,""
00:00:00 01/01/1998,""
00:00:00 01/02/1998,""
00:00:00 01/03/1998,""
00:00:00 01/04/1998,""
00:00:00 01/05/1998,""
00:00:00 01/06/1998,""
00:00:00 01/07/1998,""
00:00:00 01/08/1998,       0.058
00:00:00 01/09/1998,       0.118
00:00:00 01/10/1998,       0.103
00:00:00 01/11/1998,       0.091
00:00:00 01/12/1998,       0.086
00:00:00 01/01/1999,       0.082
00:00:00 01/02/1999,       0.066
00:00:00 01/03/1999,       0.030
00:00:00 01/04/1999,""
