"Time","A3H021"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/04/1975,""
00:00:00 01/05/1975,       0.034
00:00:00 01/06/1975,       0.034
00:00:00 01/07/1975,       0.034
00:00:00 01/08/1975,       0.034
00:00:00 01/09/1975,       0.034
00:00:00 01/10/1975,       0.060
00:00:00 01/11/1975,       0.116
00:00:00 01/12/1975,       0.116
00:00:00 01/01/1976,       0.112
00:00:00 01/02/1976,       0.119
00:00:00 01/03/1976,       0.173
00:00:00 01/04/1976,       0.265
00:00:00 01/05/1976,       0.266
00:00:00 01/06/1976,       0.266
00:00:00 01/07/1976,       0.266
00:00:00 01/08/1976,       0.265
00:00:00 01/09/1976,       0.265
00:00:00 01/10/1976,       0.265
00:00:00 01/11/1976,       0.265
00:00:00 01/12/1976,       0.258
00:00:00 01/01/1977,       0.242
00:00:00 01/02/1977,       0.260
00:00:00 01/03/1977,       0.265
00:00:00 01/04/1977,       0.265
00:00:00 01/05/1977,       0.265
00:00:00 01/06/1977,       0.265
00:00:00 01/07/1977,       0.265
00:00:00 01/08/1977,       0.265
00:00:00 01/09/1977,       0.265
00:00:00 01/10/1977,       0.233
00:00:00 01/11/1977,       0.206
00:00:00 01/12/1977,       0.198
00:00:00 01/01/1978,       0.190
00:00:00 01/02/1978,       0.189
00:00:00 01/03/1978,       0.202
00:00:00 01/04/1978,       0.219
00:00:00 01/05/1978,       0.224
00:00:00 01/06/1978,       0.224
00:00:00 01/07/1978,       0.227
00:00:00 01/08/1978,       0.227
00:00:00 01/09/1978,       0.227
00:00:00 01/10/1978,       0.220
00:00:00 01/11/1978,       0.209
00:00:00 01/12/1978,       0.198
00:00:00 01/01/1979,       0.179
00:00:00 01/02/1979,       0.167
00:00:00 01/03/1979,       0.164
00:00:00 01/04/1979,       0.162
00:00:00 01/05/1979,""
00:00:00 01/06/1979,""
00:00:00 01/07/1979,""
00:00:00 01/08/1979,""
00:00:00 01/09/1979,""
00:00:00 01/10/1979,""
00:00:00 01/11/1979,""
00:00:00 01/12/1979,""
00:00:00 01/01/1980,       0.128
00:00:00 01/02/1980,       0.125
00:00:00 01/03/1980,       0.133
00:00:00 01/04/1980,       0.130
00:00:00 01/05/1980,       0.124
00:00:00 01/06/1980,       0.125
00:00:00 01/07/1980,       0.125
00:00:00 01/08/1980,       0.123
00:00:00 01/09/1980,       0.118
00:00:00 01/10/1980,       0.114
00:00:00 01/11/1980,       0.110
00:00:00 01/12/1980,       0.112
00:00:00 01/01/1981,       0.110
00:00:00 01/02/1981,       0.121
00:00:00 01/03/1981,       0.154
00:00:00 01/04/1981,       0.161
00:00:00 01/05/1981,       0.159
00:00:00 01/06/1981,       0.156
00:00:00 01/07/1981,       0.152
00:00:00 01/08/1981,       0.149
00:00:00 01/09/1981,       0.155
00:00:00 01/10/1981,       0.148
00:00:00 01/11/1981,       0.128
00:00:00 01/12/1981,       0.123
00:00:00 01/01/1982,       0.123
00:00:00 01/02/1982,       0.110
00:00:00 01/03/1982,       0.098
00:00:00 01/04/1982,       0.099
00:00:00 01/05/1982,       0.110
00:00:00 01/06/1982,       0.117
00:00:00 01/07/1982,       0.122
00:00:00 01/08/1982,       0.123
00:00:00 01/09/1982,       0.122
00:00:00 01/10/1982,       0.119
00:00:00 01/11/1982,       0.121
00:00:00 01/12/1982,       0.116
00:00:00 01/01/1983,       0.102
00:00:00 01/02/1983,       0.096
00:00:00 01/03/1983,       0.086
00:00:00 01/04/1983,       0.087
00:00:00 01/05/1983,       0.076
00:00:00 01/06/1983,       0.078
00:00:00 01/07/1983,       0.077
00:00:00 01/08/1983,       0.081
00:00:00 01/09/1983,       0.077
00:00:00 01/10/1983,       0.072
00:00:00 01/11/1983,""
00:00:00 01/12/1983,""
00:00:00 01/01/1984,""
00:00:00 01/02/1984,       0.062
00:00:00 01/03/1984,       0.059
00:00:00 01/04/1984,       0.059
00:00:00 01/05/1984,       0.054
00:00:00 01/06/1984,       0.046
00:00:00 01/07/1984,       0.045
00:00:00 01/08/1984,       0.044
00:00:00 01/09/1984,       0.041
00:00:00 01/10/1984,       0.047
00:00:00 01/11/1984,       0.052
00:00:00 01/12/1984,       0.034
00:00:00 01/01/1985,       0.030
00:00:00 01/02/1985,       0.068
00:00:00 01/03/1985,       0.109
00:00:00 01/04/1985,       0.027
00:00:00 01/05/1985,       0.021
00:00:00 01/06/1985,       0.020
00:00:00 01/07/1985,       0.019
00:00:00 01/08/1985,       0.021
00:00:00 01/09/1985,       0.024
00:00:00 01/10/1985,       0.021
00:00:00 01/11/1985,       0.017
00:00:00 01/12/1985,       0.011
00:00:00 01/01/1986,       0.007
00:00:00 01/02/1986,       0.006
00:00:00 01/03/1986,       0.005
00:00:00 01/04/1986,       0.001
00:00:00 01/05/1986,       0.003
00:00:00 01/06/1986,       0.007
00:00:00 01/07/1986,       0.000
00:00:00 01/08/1986,       0.000
00:00:00 01/09/1986,       0.000
00:00:00 01/10/1986,       0.000
00:00:00 01/11/1986,       0.000
00:00:00 01/12/1986,       0.000
00:00:00 01/01/1987,       0.000
00:00:00 01/02/1987,       0.000
00:00:00 01/03/1987,       0.000
00:00:00 01/04/1987,       0.000
00:00:00 01/05/1987,       0.000
00:00:00 01/06/1987,       0.000
00:00:00 01/07/1987,       0.000
00:00:00 01/08/1987,       0.000
00:00:00 01/09/1987,       0.000
00:00:00 01/10/1987,       0.000
00:00:00 01/11/1987,       0.000
00:00:00 01/12/1987,       0.000
00:00:00 01/01/1988,       0.000
00:00:00 01/02/1988,       0.000
00:00:00 01/03/1988,       0.000
00:00:00 01/04/1988,       0.000
00:00:00 01/05/1988,       0.000
00:00:00 01/06/1988,       0.000
00:00:00 01/07/1988,       0.000
00:00:00 01/08/1988,       0.000
00:00:00 01/09/1988,       0.000
00:00:00 01/10/1988,       0.000
00:00:00 01/11/1988,       0.000
00:00:00 01/12/1988,       0.000
00:00:00 01/01/1989,       0.000
00:00:00 01/02/1989,       0.000
00:00:00 01/03/1989,       0.000
00:00:00 01/04/1989,       0.000
00:00:00 01/05/1989,       0.000
00:00:00 01/06/1989,       0.000
00:00:00 01/07/1989,       0.000
00:00:00 01/08/1989,       0.000
00:00:00 01/09/1989,       0.000
00:00:00 01/10/1989,       0.018
00:00:00 01/11/1989,       0.014
00:00:00 01/12/1989,       0.010
00:00:00 01/01/1990,       0.016
00:00:00 01/02/1990,       0.015
00:00:00 01/03/1990,       0.015
00:00:00 01/04/1990,       0.017
00:00:00 01/05/1990,       0.013
00:00:00 01/06/1990,       0.010
00:00:00 01/07/1990,       0.006
00:00:00 01/08/1990,       0.007
00:00:00 01/09/1990,       0.007
00:00:00 01/10/1990,       0.006
00:00:00 01/11/1990,       0.005
00:00:00 01/12/1990,       0.002
00:00:00 01/01/1991,       0.000
00:00:00 01/02/1991,       0.000
00:00:00 01/03/1991,       0.000
00:00:00 01/04/1991,""
00:00:00 01/05/1991,""
00:00:00 01/06/1991,       0.000
00:00:00 01/07/1991,       0.000
00:00:00 01/08/1991,       0.000
00:00:00 01/09/1991,       0.000
00:00:00 01/10/1991,       0.000
00:00:00 01/11/1991,       0.000
00:00:00 01/12/1991,       0.000
00:00:00 01/01/1992,       0.000
00:00:00 01/02/1992,       0.000
00:00:00 01/03/1992,       0.000
00:00:00 01/04/1992,       0.000
00:00:00 01/05/1992,       0.000
00:00:00 01/06/1992,       0.000
00:00:00 01/07/1992,       0.000
00:00:00 01/08/1992,       0.000
00:00:00 01/09/1992,       0.000
00:00:00 01/10/1992,       0.000
00:00:00 01/11/1992,       0.000
00:00:00 01/12/1992,       0.000
00:00:00 01/01/1993,       0.000
00:00:00 01/02/1993,       0.000
00:00:00 01/03/1993,       0.000
00:00:00 01/04/1993,       0.000
00:00:00 01/05/1993,       0.000
00:00:00 01/06/1993,       0.000
00:00:00 01/07/1993,""
00:00:00 01/08/1993,""
00:00:00 01/09/1993,       0.000
00:00:00 01/10/1993,       0.000
00:00:00 01/11/1993,       0.000
00:00:00 01/12/1993,       0.000
00:00:00 01/01/1994,       0.000
00:00:00 01/02/1994,       0.000
00:00:00 01/03/1994,       0.000
00:00:00 01/04/1994,       0.000
00:00:00 01/05/1994,       0.000
00:00:00 01/06/1994,       0.000
00:00:00 01/07/1994,       0.000
00:00:00 01/08/1994,       0.000
00:00:00 01/09/1994,       0.000
00:00:00 01/10/1994,       0.000
00:00:00 01/11/1994,       0.000
00:00:00 01/12/1994,       0.000
00:00:00 01/01/1995,       0.000
00:00:00 01/02/1995,       0.000
00:00:00 01/03/1995,       0.000
00:00:00 01/04/1995,       0.000
00:00:00 01/05/1995,       0.000
00:00:00 01/06/1995,       0.000
00:00:00 01/07/1995,       0.000
00:00:00 01/08/1995,       0.000
00:00:00 01/09/1995,       0.000
00:00:00 01/10/1995,       0.000
00:00:00 01/11/1995,       0.000
00:00:00 01/12/1995,       0.000
00:00:00 01/01/1996,       0.000
00:00:00 01/02/1996,       0.010
00:00:00 01/03/1996,       0.104
00:00:00 01/04/1996,       0.152
00:00:00 01/05/1996,       0.008
00:00:00 01/06/1996,       0.000
00:00:00 01/07/1996,       0.000
00:00:00 01/08/1996,       0.000
00:00:00 01/09/1996,       0.000
00:00:00 01/10/1996,       0.000
00:00:00 01/11/1996,       0.000
00:00:00 01/12/1996,       0.000
00:00:00 01/01/1997,       0.000
00:00:00 01/02/1997,       0.000
00:00:00 01/03/1997,       0.000
00:00:00 01/04/1997,""
00:00:00 01/05/1997,""
00:00:00 01/06/1997,""
00:00:00 01/07/1997,""
00:00:00 01/08/1997,""
00:00:00 01/09/1997,""
00:00:00 01/10/1997,""
00:00:00 01/11/1997,       0.012
00:00:00 01/12/1997,       0.013
00:00:00 01/01/1998,       0.012
00:00:00 01/02/1998,       0.013
00:00:00 01/03/1998,       0.009
00:00:00 01/04/1998,       0.016
00:00:00 01/05/1998,       0.011
00:00:00 01/06/1998,       0.009
00:00:00 01/07/1998,       0.008
00:00:00 01/08/1998,       0.010
00:00:00 01/09/1998,       0.013
00:00:00 01/10/1998,       0.021
00:00:00 01/11/1998,       0.013
00:00:00 01/12/1998,       0.012
00:00:00 01/01/1999,       0.013
00:00:00 01/02/1999,       0.007
00:00:00 01/03/1999,       0.001
00:00:00 01/04/1999,       0.004
00:00:00 01/05/1999,       0.015
00:00:00 01/06/1999,       0.000
00:00:00 01/07/1999,       0.000
00:00:00 01/08/1999,       0.000
00:00:00 01/09/1999,       0.000
00:00:00 01/10/1999,       0.000
00:00:00 01/11/1999,       0.000
00:00:00 01/12/1999,       0.000
00:00:00 01/01/2000,       0.000
00:00:00 01/02/2000,       0.000
00:00:00 01/03/2000,       0.000
00:00:00 01/04/2000,       0.000
00:00:00 01/05/2000,       0.000
00:00:00 01/06/2000,       0.000
00:00:00 01/07/2000,       0.000
00:00:00 01/08/2000,       0.000
00:00:00 01/09/2000,       0.000
00:00:00 01/10/2000,       0.000
00:00:00 01/11/2000,       0.041
