"Time","A2H058"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/10/1982,""
00:00:00 01/11/1982,       0.000
00:00:00 01/12/1982,       0.002
00:00:00 01/01/1983,       0.000
00:00:00 01/02/1983,       0.094
00:00:00 01/03/1983,       0.000
00:00:00 01/04/1983,       0.000
00:00:00 01/05/1983,       0.000
00:00:00 01/06/1983,       0.000
00:00:00 01/07/1983,       0.000
00:00:00 01/08/1983,       0.000
00:00:00 01/09/1983,       0.000
00:00:00 01/10/1983,       0.000
00:00:00 01/11/1983,       0.000
00:00:00 01/12/1983,       0.232
00:00:00 01/01/1984,       0.100
00:00:00 01/02/1984,       0.001
00:00:00 01/03/1984,       0.000
00:00:00 01/04/1984,       0.000
00:00:00 01/05/1984,       0.000
00:00:00 01/06/1984,       0.000
00:00:00 01/07/1984,       0.000
00:00:00 01/08/1984,       0.000
00:00:00 01/09/1984,       0.000
00:00:00 01/10/1984,       0.000
00:00:00 01/11/1984,       0.010
00:00:00 01/12/1984,       0.000
00:00:00 01/01/1985,       0.001
00:00:00 01/02/1985,       0.002
00:00:00 01/03/1985,       0.000
00:00:00 01/04/1985,       0.000
00:00:00 01/05/1985,       0.000
00:00:00 01/06/1985,       0.000
00:00:00 01/07/1985,       0.000
00:00:00 01/08/1985,       0.000
00:00:00 01/09/1985,       0.000
00:00:00 01/10/1985,       0.000
00:00:00 01/11/1985,       0.027
00:00:00 01/12/1985,       0.126
00:00:00 01/01/1986,       0.010
00:00:00 01/02/1986,       0.000
00:00:00 01/03/1986,       0.000
00:00:00 01/04/1986,       0.000
00:00:00 01/05/1986,       0.000
00:00:00 01/06/1986,       0.000
00:00:00 01/07/1986,       0.000
00:00:00 01/08/1986,       0.000
00:00:00 01/09/1986,       0.000
00:00:00 01/10/1986,       0.000
00:00:00 01/11/1986,""
00:00:00 01/12/1986,       0.036
00:00:00 01/01/1987,       0.022
00:00:00 01/02/1987,""
00:00:00 01/03/1987,       0.011
00:00:00 01/04/1987,""
00:00:00 01/05/1987,       0.000
00:00:00 01/06/1987,       0.000
00:00:00 01/07/1987,       0.000
00:00:00 01/08/1987,       0.000
00:00:00 01/09/1987,       0.000
00:00:00 01/10/1987,       0.042
00:00:00 01/11/1987,       0.005
00:00:00 01/12/1987,       0.000
00:00:00 01/01/1988,       0.000
00:00:00 01/02/1988,       0.023
00:00:00 01/03/1988,       0.000
00:00:00 01/04/1988,       0.002
00:00:00 01/05/1988,       0.000
00:00:00 01/06/1988,       0.000
00:00:00 01/07/1988,       0.000
00:00:00 01/08/1988,       0.000
00:00:00 01/09/1988,       0.000
00:00:00 01/10/1988,       0.000
00:00:00 01/11/1988,       0.000
00:00:00 01/12/1988,       0.000
00:00:00 01/01/1989,       0.000
00:00:00 01/02/1989,       0.000
00:00:00 01/03/1989,       0.000
00:00:00 01/04/1989,       0.000
00:00:00 01/05/1989,       0.000
00:00:00 01/06/1989,       0.000
00:00:00 01/07/1989,       0.007
00:00:00 01/08/1989,       0.003
00:00:00 01/09/1989,       0.001
00:00:00 01/10/1989,       0.000
00:00:00 01/11/1989,       0.000
00:00:00 01/12/1989,       0.104
00:00:00 01/01/1990,       0.084
00:00:00 01/02/1990,       0.000
00:00:00 01/03/1990,       0.000
00:00:00 01/04/1990,       0.037
00:00:00 01/05/1990,       0.087
00:00:00 01/06/1990,""
00:00:00 01/07/1990,       0.009
00:00:00 01/08/1990,       0.010
00:00:00 01/09/1990,       0.006
00:00:00 01/10/1990,       0.002
00:00:00 01/11/1990,       0.000
00:00:00 01/12/1990,       0.000
00:00:00 01/01/1991,""
00:00:00 01/02/1991,       0.008
00:00:00 01/03/1991,       0.019
00:00:00 01/04/1991,       0.080
00:00:00 01/05/1991,       0.007
00:00:00 01/06/1991,       0.005
00:00:00 01/07/1991,       0.004
00:00:00 01/08/1991,       0.005
00:00:00 01/09/1991,       0.004
00:00:00 01/10/1991,       0.003
00:00:00 01/11/1991,       0.000
00:00:00 01/12/1991,       0.000
00:00:00 01/01/1992,       0.003
00:00:00 01/02/1992,       0.000
00:00:00 01/03/1992,       0.000
00:00:00 01/04/1992,       0.000
00:00:00 01/05/1992,       0.000
00:00:00 01/06/1992,       0.000
00:00:00 01/07/1992,       0.000
00:00:00 01/08/1992,       0.000
00:00:00 01/09/1992,       0.000
00:00:00 01/10/1992,       0.000
00:00:00 01/11/1992,       0.000
00:00:00 01/12/1992,       0.000
00:00:00 01/01/1993,       0.000
00:00:00 01/02/1993,       0.000
00:00:00 01/03/1993,       0.029
00:00:00 01/04/1993,       0.000
00:00:00 01/05/1993,       0.000
00:00:00 01/06/1993,       0.000
00:00:00 01/07/1993,       0.000
00:00:00 01/08/1993,       0.000
00:00:00 01/09/1993,       0.000
00:00:00 01/10/1993,       0.000
00:00:00 01/11/1993,       0.016
00:00:00 01/12/1993,       0.009
00:00:00 01/01/1994,       0.004
00:00:00 01/02/1994,       0.000
00:00:00 01/03/1994,       0.049
00:00:00 01/04/1994,       0.018
00:00:00 01/05/1994,       0.018
00:00:00 01/06/1994,       0.016
00:00:00 01/07/1994,       0.019
00:00:00 01/08/1994,       0.014
00:00:00 01/09/1994,       0.007
00:00:00 01/10/1994,       0.004
00:00:00 01/11/1994,       0.000
00:00:00 01/12/1994,       0.001
00:00:00 01/01/1995,""
00:00:00 01/02/1995,       0.000
00:00:00 01/03/1995,       0.000
00:00:00 01/04/1995,       0.008
00:00:00 01/05/1995,       0.014
00:00:00 01/06/1995,       0.016
00:00:00 01/07/1995,       0.008
00:00:00 01/08/1995,       0.005
00:00:00 01/09/1995,       0.003
00:00:00 01/10/1995,       0.002
00:00:00 01/11/1995,       0.000
00:00:00 01/12/1995,       0.008
00:00:00 01/01/1996,       0.034
00:00:00 01/02/1996,       0.059
00:00:00 01/03/1996,       1.237
00:00:00 01/04/1996,       0.089
00:00:00 01/05/1996,       0.068
00:00:00 01/06/1996,       0.064
00:00:00 01/07/1996,""
00:00:00 01/08/1996,""
00:00:00 01/09/1996,       0.037
00:00:00 01/10/1996,""
00:00:00 01/11/1996,       0.012
00:00:00 01/12/1996,       0.016
00:00:00 01/01/1997,""
00:00:00 01/02/1997,""
00:00:00 01/03/1997,       0.027
00:00:00 01/04/1997,       0.231
00:00:00 01/05/1997,       0.089
00:00:00 01/06/1997,       0.173
00:00:00 01/07/1997,       0.100
00:00:00 01/08/1997,       0.082
00:00:00 01/09/1997,       0.071
00:00:00 01/10/1997,       0.069
00:00:00 01/11/1997,       0.045
00:00:00 01/12/1997,       0.029
00:00:00 01/01/1998,       0.031
00:00:00 01/02/1998,       0.053
00:00:00 01/03/1998,       0.026
00:00:00 01/04/1998,       0.020
00:00:00 01/05/1998,       0.016
00:00:00 01/06/1998,       0.020
00:00:00 01/07/1998,       0.027
00:00:00 01/08/1998,""
00:00:00 01/09/1998,""
00:00:00 01/10/1998,""
00:00:00 01/11/1998,       0.020
00:00:00 01/12/1998,       0.041
00:00:00 01/01/1999,       0.042
00:00:00 01/02/1999,       0.035
00:00:00 01/03/1999,       0.022
00:00:00 01/04/1999,       0.016
00:00:00 01/05/1999,       0.011
00:00:00 01/06/1999,       0.021
00:00:00 01/07/1999,       0.024
00:00:00 01/08/1999,       0.022
00:00:00 01/09/1999,       0.021
00:00:00 01/10/1999,       0.019
00:00:00 01/11/1999,       0.014
00:00:00 01/12/1999,       0.010
00:00:00 01/01/2000,       0.014
00:00:00 01/02/2000,""
00:00:00 01/03/2000,""
00:00:00 01/04/2000,       0.202
00:00:00 01/05/2000,       0.139
00:00:00 01/06/2000,       0.112
00:00:00 01/07/2000,       0.104
00:00:00 01/08/2000,       0.080
00:00:00 01/09/2000,       0.071
00:00:00 01/10/2000,       0.070
00:00:00 01/11/2000,       0.256
00:00:00 01/12/2000,""
00:00:00 01/01/2001,""
00:00:00 01/02/2001,""
00:00:00 01/03/2001,       0.080
00:00:00 01/04/2001,       0.077
00:00:00 01/05/2001,       0.048
00:00:00 01/06/2001,       0.078
00:00:00 01/07/2001,       0.054
00:00:00 01/08/2001,       0.049
00:00:00 01/09/2001,       0.039
00:00:00 01/10/2001,       0.033
00:00:00 01/11/2001,       0.028
00:00:00 01/12/2001,       0.070
00:00:00 01/01/2002,       0.081
00:00:00 01/02/2002,       0.030
00:00:00 01/03/2002,       0.039
00:00:00 01/04/2002,       0.030
00:00:00 01/05/2002,       0.023
00:00:00 01/06/2002,       0.027
00:00:00 01/07/2002,       0.035
00:00:00 01/08/2002,       0.030
00:00:00 01/09/2002,       0.028
00:00:00 01/10/2002,       0.022
00:00:00 01/11/2002,       0.016
00:00:00 01/12/2002,       0.010
00:00:00 01/01/2003,       0.011
00:00:00 01/02/2003,       0.013
00:00:00 01/03/2003,       0.014
00:00:00 01/04/2003,       0.017
00:00:00 01/05/2003,       0.013
00:00:00 01/06/2003,       0.013
00:00:00 01/07/2003,       0.018
00:00:00 01/08/2003,       0.019
00:00:00 01/09/2003,       0.017
00:00:00 01/10/2003,       0.018
00:00:00 01/11/2003,       0.012
00:00:00 01/12/2003,       0.014
00:00:00 01/01/2004,       0.004
00:00:00 01/02/2004,""
00:00:00 01/03/2004,""
00:00:00 01/04/2004,""
00:00:00 01/05/2004,""
00:00:00 01/06/2004,""
00:00:00 01/07/2004,""
00:00:00 01/08/2004,""
00:00:00 01/09/2004,""
00:00:00 01/10/2004,""
00:00:00 01/11/2004,""
00:00:00 01/12/2004,""
00:00:00 01/01/2005,       0.022
00:00:00 01/02/2005,       0.055
00:00:00 01/03/2005,       0.026
00:00:00 01/04/2005,       0.015
00:00:00 01/05/2005,       0.011
00:00:00 01/06/2005,       0.015
00:00:00 01/07/2005,       0.015
00:00:00 01/08/2005,""
00:00:00 01/09/2005,""
00:00:00 01/10/2005,""
00:00:00 01/11/2005,""
00:00:00 01/12/2005,""
00:00:00 01/01/2006,""
00:00:00 01/02/2006,""
00:00:00 01/03/2006,       0.304
00:00:00 01/04/2006,       0.404
00:00:00 01/05/2006,       0.127
00:00:00 01/06/2006,       0.029
00:00:00 01/07/2006,       0.041
00:00:00 01/08/2006,       0.039
00:00:00 01/09/2006,       0.055
00:00:00 01/10/2006,       0.023
00:00:00 01/11/2006,       0.019
00:00:00 01/12/2006,       0.079
00:00:00 01/01/2007,       0.038
00:00:00 01/02/2007,       0.035
00:00:00 01/03/2007,       0.022
00:00:00 01/04/2007,       0.014
00:00:00 01/05/2007,       0.015
00:00:00 01/06/2007,       0.019
00:00:00 01/07/2007,       0.035
00:00:00 01/08/2007,       0.021
00:00:00 01/09/2007,       0.010
00:00:00 01/10/2007,       0.019
00:00:00 01/11/2007,       0.068
00:00:00 01/12/2007,       0.025
00:00:00 01/01/2008,       0.038
00:00:00 01/02/2008,       0.350
00:00:00 01/03/2008,       0.057
00:00:00 01/04/2008,       0.321
00:00:00 01/05/2008,       0.054
00:00:00 01/06/2008,       0.077
00:00:00 01/07/2008,       0.063
