"Time","A2H050"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/05/1973,""
00:00:00 01/06/1973,""
00:00:00 01/07/1973,""
00:00:00 01/08/1973,""
00:00:00 01/09/1973,       0.007
00:00:00 01/10/1973,       0.031
00:00:00 01/11/1973,       0.036
00:00:00 01/12/1973,       0.049
00:00:00 01/01/1974,       0.090
00:00:00 01/02/1974,       0.165
00:00:00 01/03/1974,       0.300
00:00:00 01/04/1974,       0.075
00:00:00 01/05/1974,       0.301
00:00:00 01/06/1974,       0.083
00:00:00 01/07/1974,       0.059
00:00:00 01/08/1974,       0.049
00:00:00 01/09/1974,       0.030
00:00:00 01/10/1974,       0.015
00:00:00 01/11/1974,       0.001
00:00:00 01/12/1974,       0.169
00:00:00 01/01/1975,       0.266
00:00:00 01/02/1975,       0.290
00:00:00 01/03/1975,       0.609
00:00:00 01/04/1975,       0.236
00:00:00 01/05/1975,       0.790
00:00:00 01/06/1975,       0.247
00:00:00 01/07/1975,       0.152
00:00:00 01/08/1975,       0.115
00:00:00 01/09/1975,       0.075
00:00:00 01/10/1975,       0.031
00:00:00 01/11/1975,       0.001
00:00:00 01/12/1975,       0.041
00:00:00 01/01/1976,       0.332
00:00:00 01/02/1976,       1.388
00:00:00 01/03/1976,""
00:00:00 01/04/1976,       1.656
00:00:00 01/05/1976,       1.200
00:00:00 01/06/1976,       1.241
00:00:00 01/07/1976,       0.467
00:00:00 01/08/1976,       0.327
00:00:00 01/09/1976,       0.244
00:00:00 01/10/1976,       0.156
00:00:00 01/11/1976,       0.980
00:00:00 01/12/1976,       0.332
00:00:00 01/01/1977,       0.298
00:00:00 01/02/1977,       0.455
00:00:00 01/03/1977,       1.423
00:00:00 01/04/1977,       1.542
00:00:00 01/05/1977,       0.814
00:00:00 01/06/1977,       0.348
00:00:00 01/07/1977,       0.269
00:00:00 01/08/1977,       0.232
00:00:00 01/09/1977,       0.179
00:00:00 01/10/1977,       0.214
00:00:00 01/11/1977,       0.271
00:00:00 01/12/1977,       0.223
00:00:00 01/01/1978,       0.295
00:00:00 01/02/1978,       3.977
00:00:00 01/03/1978,       3.047
00:00:00 01/04/1978,       1.697
00:00:00 01/05/1978,       0.850
00:00:00 01/06/1978,       0.499
00:00:00 01/07/1978,       0.377
00:00:00 01/08/1978,       0.344
00:00:00 01/09/1978,       0.277
00:00:00 01/10/1978,       0.262
00:00:00 01/11/1978,       0.187
00:00:00 01/12/1978,       0.129
00:00:00 01/01/1979,       0.073
00:00:00 01/02/1979,       0.124
00:00:00 01/03/1979,       0.220
00:00:00 01/04/1979,       0.147
00:00:00 01/05/1979,       0.074
00:00:00 01/06/1979,       0.079
00:00:00 01/07/1979,       0.088
00:00:00 01/08/1979,       0.137
00:00:00 01/09/1979,       0.134
00:00:00 01/10/1979,       0.087
00:00:00 01/11/1979,       0.105
00:00:00 01/12/1979,       0.519
00:00:00 01/01/1980,       0.337
00:00:00 01/02/1980,       0.494
00:00:00 01/03/1980,       0.839
00:00:00 01/04/1980,       0.485
00:00:00 01/05/1980,       0.207
00:00:00 01/06/1980,       0.128
00:00:00 01/07/1980,       0.135
00:00:00 01/08/1980,       0.168
00:00:00 01/09/1980,       0.099
00:00:00 01/10/1980,       0.092
00:00:00 01/11/1980,       0.062
00:00:00 01/12/1980,       0.139
00:00:00 01/01/1981,       0.193
00:00:00 01/02/1981,       0.296
00:00:00 01/03/1981,       0.338
00:00:00 01/04/1981,       0.889
00:00:00 01/05/1981,       0.235
00:00:00 01/06/1981,""
00:00:00 01/07/1981,       0.178
00:00:00 01/08/1981,       0.153
00:00:00 01/09/1981,       0.140
00:00:00 01/10/1981,       0.185
00:00:00 01/11/1981,       0.231
00:00:00 01/12/1981,       0.070
00:00:00 01/01/1982,       0.156
00:00:00 01/02/1982,       0.526
00:00:00 01/03/1982,       0.206
00:00:00 01/04/1982,       0.186
00:00:00 01/05/1982,       0.123
00:00:00 01/06/1982,       0.111
00:00:00 01/07/1982,       0.108
00:00:00 01/08/1982,       0.116
00:00:00 01/09/1982,       0.105
00:00:00 01/10/1982,       0.081
00:00:00 01/11/1982,       0.120
00:00:00 01/12/1982,       0.101
00:00:00 01/01/1983,       0.125
00:00:00 01/02/1983,       0.123
00:00:00 01/03/1983,       0.088
00:00:00 01/04/1983,       0.059
00:00:00 01/05/1983,       0.051
00:00:00 01/06/1983,       0.052
00:00:00 01/07/1983,       0.081
00:00:00 01/08/1983,       0.072
00:00:00 01/09/1983,       0.060
00:00:00 01/10/1983,       0.053
00:00:00 01/11/1983,       0.088
00:00:00 01/12/1983,       0.153
00:00:00 01/01/1984,       0.379
00:00:00 01/02/1984,       0.237
00:00:00 01/03/1984,       0.060
00:00:00 01/04/1984,       0.091
00:00:00 01/05/1984,       0.073
00:00:00 01/06/1984,       0.064
00:00:00 01/07/1984,       0.070
00:00:00 01/08/1984,       0.068
00:00:00 01/09/1984,       0.053
00:00:00 01/10/1984,       0.053
00:00:00 01/11/1984,       0.113
00:00:00 01/12/1984,       0.118
00:00:00 01/01/1985,       0.167
00:00:00 01/02/1985,       0.362
00:00:00 01/03/1985,       0.209
00:00:00 01/04/1985,       0.199
00:00:00 01/05/1985,       0.074
00:00:00 01/06/1985,       0.072
00:00:00 01/07/1985,       0.064
00:00:00 01/08/1985,       0.073
00:00:00 01/09/1985,       0.066
00:00:00 01/10/1985,       0.074
00:00:00 01/11/1985,       0.070
00:00:00 01/12/1985,       0.206
00:00:00 01/01/1986,       0.170
00:00:00 01/02/1986,       0.160
00:00:00 01/03/1986,       0.128
00:00:00 01/04/1986,       0.062
00:00:00 01/05/1986,       0.120
00:00:00 01/06/1986,       0.056
00:00:00 01/07/1986,       0.071
00:00:00 01/08/1986,       0.058
00:00:00 01/09/1986,       0.065
00:00:00 01/10/1986,       0.061
00:00:00 01/11/1986,       0.136
00:00:00 01/12/1986,       0.285
00:00:00 01/01/1987,       0.475
00:00:00 01/02/1987,       0.769
00:00:00 01/03/1987,       0.326
00:00:00 01/04/1987,       0.707
00:00:00 01/05/1987,       0.218
00:00:00 01/06/1987,       0.106
00:00:00 01/07/1987,       0.098
00:00:00 01/08/1987,       0.094
00:00:00 01/09/1987,       0.089
00:00:00 01/10/1987,       0.426
00:00:00 01/11/1987,       0.198
00:00:00 01/12/1987,       0.226
00:00:00 01/01/1988,       0.191
00:00:00 01/02/1988,       0.251
00:00:00 01/03/1988,       0.221
00:00:00 01/04/1988,       1.110
00:00:00 01/05/1988,       0.245
00:00:00 01/06/1988,       0.154
00:00:00 01/07/1988,       0.147
00:00:00 01/08/1988,       0.135
00:00:00 01/09/1988,       0.107
00:00:00 01/10/1988,       0.150
00:00:00 01/11/1988,       0.114
00:00:00 01/12/1988,       0.119
00:00:00 01/01/1989,       0.268
00:00:00 01/02/1989,       0.233
00:00:00 01/03/1989,       0.776
00:00:00 01/04/1989,       0.374
00:00:00 01/05/1989,       0.241
00:00:00 01/06/1989,       0.203
00:00:00 01/07/1989,       0.223
00:00:00 01/08/1989,       0.152
00:00:00 01/09/1989,       0.122
00:00:00 01/10/1989,       0.087
00:00:00 01/11/1989,       0.083
00:00:00 01/12/1989,       0.350
00:00:00 01/01/1990,       0.194
00:00:00 01/02/1990,       0.165
00:00:00 01/03/1990,       0.181
00:00:00 01/04/1990,       0.219
00:00:00 01/05/1990,       0.364
00:00:00 01/06/1990,       0.211
00:00:00 01/07/1990,       0.140
00:00:00 01/08/1990,       0.136
00:00:00 01/09/1990,       0.116
00:00:00 01/10/1990,       0.097
00:00:00 01/11/1990,       0.122
00:00:00 01/12/1990,       0.086
00:00:00 01/01/1991,       0.123
00:00:00 01/02/1991,       0.340
00:00:00 01/03/1991,       0.510
00:00:00 01/04/1991,       0.682
00:00:00 01/05/1991,       0.210
00:00:00 01/06/1991,       0.132
00:00:00 01/07/1991,       0.141
00:00:00 01/08/1991,       0.135
00:00:00 01/09/1991,       0.118
00:00:00 01/10/1991,       0.097
00:00:00 01/11/1991,       0.165
00:00:00 01/12/1991,       0.126
00:00:00 01/01/1992,       0.133
00:00:00 01/02/1992,       0.098
00:00:00 01/03/1992,       0.088
00:00:00 01/04/1992,       0.085
00:00:00 01/05/1992,       0.077
00:00:00 01/06/1992,       0.075
00:00:00 01/07/1992,       0.095
00:00:00 01/08/1992,       0.085
00:00:00 01/09/1992,       0.092
00:00:00 01/10/1992,       0.081
00:00:00 01/11/1992,       0.079
00:00:00 01/12/1992,       0.171
00:00:00 01/01/1993,       0.357
00:00:00 01/02/1993,       0.138
00:00:00 01/03/1993,       0.316
00:00:00 01/04/1993,       0.173
00:00:00 01/05/1993,       0.112
00:00:00 01/06/1993,       0.110
00:00:00 01/07/1993,       0.104
00:00:00 01/08/1993,       0.086
00:00:00 01/09/1993,       0.087
00:00:00 01/10/1993,       0.081
00:00:00 01/11/1993,       0.575
00:00:00 01/12/1993,       0.228
00:00:00 01/01/1994,       0.154
00:00:00 01/02/1994,       0.387
00:00:00 01/03/1994,       0.835
00:00:00 01/04/1994,       0.297
00:00:00 01/05/1994,       0.203
00:00:00 01/06/1994,       0.139
00:00:00 01/07/1994,       0.136
00:00:00 01/08/1994,       0.146
00:00:00 01/09/1994,       0.130
00:00:00 01/10/1994,       0.088
00:00:00 01/11/1994,       0.142
00:00:00 01/12/1994,       0.164
00:00:00 01/01/1995,       0.196
00:00:00 01/02/1995,       0.558
00:00:00 01/03/1995,       0.128
00:00:00 01/04/1995,       0.350
00:00:00 01/05/1995,       0.230
00:00:00 01/06/1995,       0.188
00:00:00 01/07/1995,       0.154
00:00:00 01/08/1995,       0.140
00:00:00 01/09/1995,       0.115
00:00:00 01/10/1995,       0.100
00:00:00 01/11/1995,       0.107
00:00:00 01/12/1995,       0.503
00:00:00 01/01/1996,       1.172
00:00:00 01/02/1996,       1.126
00:00:00 01/03/1996,       3.001
00:00:00 01/04/1996,       0.747
00:00:00 01/05/1996,       0.617
00:00:00 01/06/1996,       0.382
00:00:00 01/07/1996,       0.296
00:00:00 01/08/1996,       0.272
00:00:00 01/09/1996,       0.258
00:00:00 01/10/1996,       0.169
00:00:00 01/11/1996,       0.242
00:00:00 01/12/1996,       0.319
00:00:00 01/01/1997,       0.547
00:00:00 01/02/1997,       0.741
00:00:00 01/03/1997,       0.529
00:00:00 01/04/1997,""
00:00:00 01/05/1997,       1.448
00:00:00 01/06/1997,       1.371
00:00:00 01/07/1997,       0.855
00:00:00 01/08/1997,       0.604
00:00:00 01/09/1997,       0.445
00:00:00 01/10/1997,       0.496
00:00:00 01/11/1997,""
00:00:00 01/12/1997,       0.350
00:00:00 01/01/1998,       0.367
00:00:00 01/02/1998,       1.251
00:00:00 01/03/1998,       1.023
00:00:00 01/04/1998,       0.480
00:00:00 01/05/1998,       0.297
00:00:00 01/06/1998,       0.250
00:00:00 01/07/1998,       0.256
00:00:00 01/08/1998,       0.250
00:00:00 01/09/1998,       0.227
