"Time","A2H033"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/07/1964,""
00:00:00 01/08/1964,""
00:00:00 01/09/1964,""
00:00:00 01/10/1964,""
00:00:00 01/11/1964,""
00:00:00 01/12/1964,       0.065
00:00:00 01/01/1965,       0.066
00:00:00 01/02/1965,       0.118
00:00:00 01/03/1965,       0.167
00:00:00 01/04/1965,       0.063
00:00:00 01/05/1965,       0.064
00:00:00 01/06/1965,       0.062
00:00:00 01/07/1965,       0.061
00:00:00 01/08/1965,       0.061
00:00:00 01/09/1965,       0.061
00:00:00 01/10/1965,       0.061
00:00:00 01/11/1965,       0.060
00:00:00 01/12/1965,       0.065
00:00:00 01/01/1966,       0.069
00:00:00 01/02/1966,       0.190
00:00:00 01/03/1966,       0.082
00:00:00 01/04/1966,       0.061
00:00:00 01/05/1966,       0.060
00:00:00 01/06/1966,       0.060
00:00:00 01/07/1966,       0.058
00:00:00 01/08/1966,       0.058
00:00:00 01/09/1966,       0.058
00:00:00 01/10/1966,       0.056
00:00:00 01/11/1966,       0.178
00:00:00 01/12/1966,       0.065
00:00:00 01/01/1967,       0.102
00:00:00 01/02/1967,       0.099
00:00:00 01/03/1967,       0.381
00:00:00 01/04/1967,       0.105
00:00:00 01/05/1967,       0.108
00:00:00 01/06/1967,       0.068
00:00:00 01/07/1967,       0.067
00:00:00 01/08/1967,       0.071
00:00:00 01/09/1967,       0.074
00:00:00 01/10/1967,       0.072
00:00:00 01/11/1967,       0.193
00:00:00 01/12/1967,       0.146
00:00:00 01/01/1968,       0.185
00:00:00 01/02/1968,       0.159
00:00:00 01/03/1968,       0.334
00:00:00 01/04/1968,       0.273
00:00:00 01/05/1968,       0.198
00:00:00 01/06/1968,       0.102
00:00:00 01/07/1968,       0.102
00:00:00 01/08/1968,       0.097
00:00:00 01/09/1968,       0.074
00:00:00 01/10/1968,       0.074
00:00:00 01/11/1968,       0.071
00:00:00 01/12/1968,       0.083
00:00:00 01/01/1969,       0.078
00:00:00 01/02/1969,       0.070
00:00:00 01/03/1969,       0.109
00:00:00 01/04/1969,       0.179
00:00:00 01/05/1969,       0.170
00:00:00 01/06/1969,       0.088
00:00:00 01/07/1969,       0.074
00:00:00 01/08/1969,       0.071
00:00:00 01/09/1969,       0.068
00:00:00 01/10/1969,       0.068
00:00:00 01/11/1969,       0.224
00:00:00 01/12/1969,       0.377
00:00:00 01/01/1970,       0.447
00:00:00 01/02/1970,       0.236
00:00:00 01/03/1970,       0.073
00:00:00 01/04/1970,       0.067
00:00:00 01/05/1970,       0.107
00:00:00 01/06/1970,       0.074
00:00:00 01/07/1970,       0.068
00:00:00 01/08/1970,       0.066
00:00:00 01/09/1970,       0.064
00:00:00 01/10/1970,       0.064
00:00:00 01/11/1970,       0.064
00:00:00 01/12/1970,       0.153
00:00:00 01/01/1971,       0.267
00:00:00 01/02/1971,       0.323
00:00:00 01/03/1971,       0.304
00:00:00 01/04/1971,       0.172
00:00:00 01/05/1971,       0.354
00:00:00 01/06/1971,       0.067
00:00:00 01/07/1971,       0.066
00:00:00 01/08/1971,       0.066
00:00:00 01/09/1971,       0.066
00:00:00 01/10/1971,       0.126
00:00:00 01/11/1971,       0.069
00:00:00 01/12/1971,       0.445
00:00:00 01/01/1972,       0.186
00:00:00 01/02/1972,""
00:00:00 01/03/1972,""
00:00:00 01/04/1972,""
00:00:00 01/05/1972,""
00:00:00 01/06/1972,""
00:00:00 01/07/1972,""
00:00:00 01/08/1972,""
00:00:00 01/09/1972,""
00:00:00 01/10/1972,""
00:00:00 01/11/1972,""
00:00:00 01/12/1972,""
00:00:00 01/01/1973,""
00:00:00 01/02/1973,""
00:00:00 01/03/1973,""
00:00:00 01/04/1973,""
00:00:00 01/05/1973,""
00:00:00 01/06/1973,""
00:00:00 01/07/1973,""
00:00:00 01/08/1973,""
00:00:00 01/09/1973,""
00:00:00 01/10/1973,       0.071
00:00:00 01/11/1973,       0.068
00:00:00 01/12/1973,       0.067
00:00:00 01/01/1974,       0.120
00:00:00 01/02/1974,""
00:00:00 01/03/1974,""
00:00:00 01/04/1974,""
00:00:00 01/05/1974,""
00:00:00 01/06/1974,""
00:00:00 01/07/1974,       0.066
00:00:00 01/08/1974,       0.067
00:00:00 01/09/1974,       0.068
00:00:00 01/10/1974,       0.062
00:00:00 01/11/1974,       0.063
00:00:00 01/12/1974,""
00:00:00 01/01/1975,""
00:00:00 01/02/1975,""
00:00:00 01/03/1975,""
00:00:00 01/04/1975,""
00:00:00 01/05/1975,""
00:00:00 01/06/1975,""
00:00:00 01/07/1975,""
00:00:00 01/08/1975,""
00:00:00 01/09/1975,       0.078
00:00:00 01/10/1975,       0.081
00:00:00 01/11/1975,       0.067
00:00:00 01/12/1975,       0.065
00:00:00 01/01/1976,       0.224
00:00:00 01/02/1976,""
00:00:00 01/03/1976,""
00:00:00 01/04/1976,""
00:00:00 01/05/1976,       0.286
00:00:00 01/06/1976,       0.214
00:00:00 01/07/1976,       0.154
00:00:00 01/08/1976,       0.154
00:00:00 01/09/1976,       0.137
00:00:00 01/10/1976,       0.113
00:00:00 01/11/1976,       0.650
00:00:00 01/12/1976,       0.682
00:00:00 01/01/1977,       0.180
00:00:00 01/02/1977,       0.386
00:00:00 01/03/1977,       0.313
00:00:00 01/04/1977,       0.214
00:00:00 01/05/1977,       0.253
00:00:00 01/06/1977,       0.198
00:00:00 01/07/1977,       0.224
00:00:00 01/08/1977,       0.193
00:00:00 01/09/1977,       0.179
00:00:00 01/10/1977,       0.207
00:00:00 01/11/1977,       0.203
00:00:00 01/12/1977,       0.273
00:00:00 01/01/1978,       0.225
00:00:00 01/02/1978,       0.297
00:00:00 01/03/1978,       0.472
00:00:00 01/04/1978,       0.310
00:00:00 01/05/1978,       0.200
00:00:00 01/06/1978,       0.254
00:00:00 01/07/1978,       0.226
00:00:00 01/08/1978,       0.221
00:00:00 01/09/1978,       0.228
00:00:00 01/10/1978,       0.217
00:00:00 01/11/1978,       0.178
00:00:00 01/12/1978,       0.186
00:00:00 01/01/1979,       0.198
00:00:00 01/02/1979,       0.214
00:00:00 01/03/1979,       0.214
00:00:00 01/04/1979,       0.178
00:00:00 01/05/1979,       0.178
00:00:00 01/06/1979,       0.178
00:00:00 01/07/1979,       0.178
00:00:00 01/08/1979,       0.178
00:00:00 01/09/1979,       0.178
00:00:00 01/10/1979,       0.178
00:00:00 01/11/1979,       0.299
00:00:00 01/12/1979,       0.218
00:00:00 01/01/1980,       0.274
00:00:00 01/02/1980,       0.224
00:00:00 01/03/1980,       0.224
00:00:00 01/04/1980,       0.178
00:00:00 01/05/1980,       0.178
00:00:00 01/06/1980,       0.169
00:00:00 01/07/1980,       0.154
00:00:00 01/08/1980,       0.137
00:00:00 01/09/1980,       0.121
00:00:00 01/10/1980,       0.130
00:00:00 01/11/1980,       0.139
00:00:00 01/12/1980,       0.182
00:00:00 01/01/1981,       0.211
00:00:00 01/02/1981,       0.169
00:00:00 01/03/1981,       0.177
00:00:00 01/04/1981,       0.163
00:00:00 01/05/1981,       0.114
00:00:00 01/06/1981,       0.128
00:00:00 01/07/1981,       0.115
00:00:00 01/08/1981,       0.117
00:00:00 01/09/1981,       0.117
00:00:00 01/10/1981,""
00:00:00 01/11/1981,""
00:00:00 01/12/1981,""
00:00:00 01/01/1982,       0.352
00:00:00 01/02/1982,       0.358
00:00:00 01/03/1982,       0.196
00:00:00 01/04/1982,       0.105
00:00:00 01/05/1982,       0.089
00:00:00 01/06/1982,       0.085
00:00:00 01/07/1982,       0.084
00:00:00 01/08/1982,       0.096
00:00:00 01/09/1982,       0.100
00:00:00 01/10/1982,       0.092
00:00:00 01/11/1982,       0.099
00:00:00 01/12/1982,       0.106
00:00:00 01/01/1983,       0.097
00:00:00 01/02/1983,       0.090
00:00:00 01/03/1983,       0.119
00:00:00 01/04/1983,       0.093
00:00:00 01/05/1983,       0.088
00:00:00 01/06/1983,       0.091
00:00:00 01/07/1983,       0.092
00:00:00 01/08/1983,       0.094
00:00:00 01/09/1983,       0.093
00:00:00 01/10/1983,       0.088
00:00:00 01/11/1983,       0.094
00:00:00 01/12/1983,       0.095
00:00:00 01/01/1984,       0.105
00:00:00 01/02/1984,       0.130
00:00:00 01/03/1984,""
00:00:00 01/04/1984,""
00:00:00 01/05/1984,""
00:00:00 01/06/1984,""
00:00:00 01/07/1984,       0.081
00:00:00 01/08/1984,       0.084
00:00:00 01/09/1984,       0.079
00:00:00 01/10/1984,       0.083
00:00:00 01/11/1984,       0.090
00:00:00 01/12/1984,""
00:00:00 01/01/1985,       0.079
00:00:00 01/02/1985,       0.119
00:00:00 01/03/1985,       0.139
00:00:00 01/04/1985,       0.140
00:00:00 01/05/1985,       0.143
00:00:00 01/06/1985,       0.149
00:00:00 01/07/1985,       0.139
00:00:00 01/08/1985,       0.124
00:00:00 01/09/1985,       0.109
00:00:00 01/10/1985,       0.106
00:00:00 01/11/1985,       0.105
00:00:00 01/12/1985,       0.116
00:00:00 01/01/1986,       0.102
00:00:00 01/02/1986,       0.114
00:00:00 01/03/1986,       0.111
00:00:00 01/04/1986,       0.129
00:00:00 01/05/1986,       0.122
00:00:00 01/06/1986,       0.113
00:00:00 01/07/1986,       0.112
00:00:00 01/08/1986,       0.106
00:00:00 01/09/1986,       0.106
00:00:00 01/10/1986,       0.102
00:00:00 01/11/1986,       0.092
00:00:00 01/12/1986,       0.069
00:00:00 01/01/1987,       0.088
00:00:00 01/02/1987,       0.080
00:00:00 01/03/1987,       0.088
00:00:00 01/04/1987,       0.102
00:00:00 01/05/1987,       0.095
00:00:00 01/06/1987,       0.099
00:00:00 01/07/1987,       0.094
00:00:00 01/08/1987,       0.093
00:00:00 01/09/1987,       0.091
00:00:00 01/10/1987,       0.089
00:00:00 01/11/1987,       0.085
00:00:00 01/12/1987,       0.088
00:00:00 01/01/1988,       0.087
00:00:00 01/02/1988,       0.088
00:00:00 01/03/1988,       0.086
00:00:00 01/04/1988,       0.090
00:00:00 01/05/1988,       0.091
00:00:00 01/06/1988,       0.094
00:00:00 01/07/1988,       0.094
00:00:00 01/08/1988,       0.091
00:00:00 01/09/1988,       0.087
00:00:00 01/10/1988,       0.086
00:00:00 01/11/1988,       0.086
00:00:00 01/12/1988,       0.083
00:00:00 01/01/1989,       0.082
00:00:00 01/02/1989,       0.081
00:00:00 01/03/1989,       0.084
00:00:00 01/04/1989,       0.084
00:00:00 01/05/1989,       0.087
00:00:00 01/06/1989,       0.086
00:00:00 01/07/1989,       0.084
00:00:00 01/08/1989,""
00:00:00 01/09/1989,""
00:00:00 01/10/1989,       0.083
00:00:00 01/11/1989,       0.079
00:00:00 01/12/1989,       0.080
00:00:00 01/01/1990,       0.080
00:00:00 01/02/1990,       0.078
00:00:00 01/03/1990,       0.078
00:00:00 01/04/1990,       0.075
00:00:00 01/05/1990,       0.078
00:00:00 01/06/1990,""
00:00:00 01/07/1990,       0.086
