"Time","A2H047"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/08/1971,""
00:00:00 01/09/1971,       0.025
00:00:00 01/10/1971,       0.050
00:00:00 01/11/1971,       0.018
00:00:00 01/12/1971,       0.226
00:00:00 01/01/1972,       0.230
00:00:00 01/02/1972,       0.270
00:00:00 01/03/1972,       0.071
00:00:00 01/04/1972,       0.126
00:00:00 01/05/1972,       0.050
00:00:00 01/06/1972,       0.039
00:00:00 01/07/1972,       0.036
00:00:00 01/08/1972,       0.027
00:00:00 01/09/1972,       0.024
00:00:00 01/10/1972,""
00:00:00 01/11/1972,""
00:00:00 01/12/1972,""
00:00:00 01/01/1973,""
00:00:00 01/02/1973,""
00:00:00 01/03/1973,""
00:00:00 01/04/1973,""
00:00:00 01/05/1973,""
00:00:00 01/06/1973,""
00:00:00 01/07/1973,""
00:00:00 01/08/1973,""
00:00:00 01/09/1973,""
00:00:00 01/10/1973,""
00:00:00 01/11/1973,""
00:00:00 01/12/1973,""
00:00:00 01/01/1974,""
00:00:00 01/02/1974,""
00:00:00 01/03/1974,""
00:00:00 01/04/1974,""
00:00:00 01/05/1974,""
00:00:00 01/06/1974,""
00:00:00 01/07/1974,""
00:00:00 01/08/1974,""
00:00:00 01/09/1974,""
00:00:00 01/10/1974,       0.030
00:00:00 01/11/1974,       0.049
00:00:00 01/12/1974,       0.377
00:00:00 01/01/1975,       0.246
00:00:00 01/02/1975,""
00:00:00 01/03/1975,""
00:00:00 01/04/1975,       0.223
00:00:00 01/05/1975,       0.421
00:00:00 01/06/1975,       0.133
00:00:00 01/07/1975,       0.077
00:00:00 01/08/1975,       0.072
00:00:00 01/09/1975,       0.056
00:00:00 01/10/1975,       0.024
00:00:00 01/11/1975,       0.019
00:00:00 01/12/1975,       0.196
00:00:00 01/01/1976,       0.336
00:00:00 01/02/1976,       0.892
00:00:00 01/03/1976,       0.461
00:00:00 01/04/1976,       0.821
00:00:00 01/05/1976,       0.397
00:00:00 01/06/1976,       0.506
00:00:00 01/07/1976,       0.177
00:00:00 01/08/1976,       0.126
00:00:00 01/09/1976,       0.085
00:00:00 01/10/1976,       0.069
00:00:00 01/11/1976,""
00:00:00 01/12/1976,       0.244
00:00:00 01/01/1977,       0.184
00:00:00 01/02/1977,       0.431
00:00:00 01/03/1977,       0.975
00:00:00 01/04/1977,       0.662
00:00:00 01/05/1977,       0.225
00:00:00 01/06/1977,       0.084
00:00:00 01/07/1977,       0.069
00:00:00 01/08/1977,       0.066
00:00:00 01/09/1977,       0.057
00:00:00 01/10/1977,       0.165
00:00:00 01/11/1977,       0.164
00:00:00 01/12/1977,       0.309
00:00:00 01/01/1978,       0.175
00:00:00 01/02/1978,       1.578
00:00:00 01/03/1978,       0.946
00:00:00 01/04/1978,       0.525
00:00:00 01/05/1978,       0.340
00:00:00 01/06/1978,       0.151
00:00:00 01/07/1978,       0.147
00:00:00 01/08/1978,       0.122
00:00:00 01/09/1978,       0.114
00:00:00 01/10/1978,       0.124
00:00:00 01/11/1978,       0.120
00:00:00 01/12/1978,       0.074
00:00:00 01/01/1979,       0.073
00:00:00 01/02/1979,       0.153
00:00:00 01/03/1979,       0.257
00:00:00 01/04/1979,       0.158
00:00:00 01/05/1979,       0.085
00:00:00 01/06/1979,       0.057
00:00:00 01/07/1979,       0.050
00:00:00 01/08/1979,       0.032
00:00:00 01/09/1979,       0.023
00:00:00 01/10/1979,       0.070
00:00:00 01/11/1979,       0.165
00:00:00 01/12/1979,       0.759
00:00:00 01/01/1980,       0.308
00:00:00 01/02/1980,       0.576
00:00:00 01/03/1980,       0.615
00:00:00 01/04/1980,       0.264
00:00:00 01/05/1980,       0.101
00:00:00 01/06/1980,       0.049
00:00:00 01/07/1980,       0.055
00:00:00 01/08/1980,       0.052
00:00:00 01/09/1980,       0.046
00:00:00 01/10/1980,       0.117
00:00:00 01/11/1980,       0.070
00:00:00 01/12/1980,       0.222
00:00:00 01/01/1981,       0.337
00:00:00 01/02/1981,       0.464
00:00:00 01/03/1981,       0.478
00:00:00 01/04/1981,       0.970
00:00:00 01/05/1981,       0.207
00:00:00 01/06/1981,       0.120
00:00:00 01/07/1981,       0.145
00:00:00 01/08/1981,       0.088
00:00:00 01/09/1981,       0.076
00:00:00 01/10/1981,       0.129
00:00:00 01/11/1981,       0.198
00:00:00 01/12/1981,       0.088
00:00:00 01/01/1982,       0.137
00:00:00 01/02/1982,       0.414
00:00:00 01/03/1982,       0.217
00:00:00 01/04/1982,       0.146
00:00:00 01/05/1982,       0.070
00:00:00 01/06/1982,       0.043
00:00:00 01/07/1982,       0.052
00:00:00 01/08/1982,       0.072
00:00:00 01/09/1982,       0.139
00:00:00 01/10/1982,       0.269
00:00:00 01/11/1982,       0.163
00:00:00 01/12/1982,       0.097
00:00:00 01/01/1983,       0.345
00:00:00 01/02/1983,       0.209
00:00:00 01/03/1983,       0.073
00:00:00 01/04/1983,       0.104
00:00:00 01/05/1983,       0.032
00:00:00 01/06/1983,       0.051
00:00:00 01/07/1983,       0.090
00:00:00 01/08/1983,       0.054
00:00:00 01/09/1983,       0.040
00:00:00 01/10/1983,       0.020
00:00:00 01/11/1983,       0.140
00:00:00 01/12/1983,       0.302
00:00:00 01/01/1984,       0.672
00:00:00 01/02/1984,       0.250
00:00:00 01/03/1984,       0.043
00:00:00 01/04/1984,       0.186
00:00:00 01/05/1984,       0.050
00:00:00 01/06/1984,       0.030
00:00:00 01/07/1984,       0.050
00:00:00 01/08/1984,       0.058
00:00:00 01/09/1984,       0.025
00:00:00 01/10/1984,       0.035
00:00:00 01/11/1984,       0.319
00:00:00 01/12/1984,       0.306
00:00:00 01/01/1985,       0.195
00:00:00 01/02/1985,       0.492
00:00:00 01/03/1985,       0.105
00:00:00 01/04/1985,       0.141
00:00:00 01/05/1985,       0.028
00:00:00 01/06/1985,       0.035
00:00:00 01/07/1985,       0.033
00:00:00 01/08/1985,       0.048
00:00:00 01/09/1985,       0.027
00:00:00 01/10/1985,       0.091
00:00:00 01/11/1985,       0.226
00:00:00 01/12/1985,       0.319
00:00:00 01/01/1986,       0.466
00:00:00 01/02/1986,       0.260
00:00:00 01/03/1986,       0.132
00:00:00 01/04/1986,       0.127
00:00:00 01/05/1986,       0.071
00:00:00 01/06/1986,       0.025
00:00:00 01/07/1986,       0.110
00:00:00 01/08/1986,       0.041
00:00:00 01/09/1986,       0.044
00:00:00 01/10/1986,       0.017
00:00:00 01/11/1986,       0.283
00:00:00 01/12/1986,       0.485
00:00:00 01/01/1987,       0.436
00:00:00 01/02/1987,       1.087
00:00:00 01/03/1987,       0.543
00:00:00 01/04/1987,""
00:00:00 01/05/1987,       0.085
00:00:00 01/06/1987,       0.042
00:00:00 01/07/1987,       0.047
00:00:00 01/08/1987,       0.043
00:00:00 01/09/1987,       0.069
00:00:00 01/10/1987,       0.600
00:00:00 01/11/1987,       0.218
00:00:00 01/12/1987,       0.419
00:00:00 01/01/1988,       0.429
00:00:00 01/02/1988,       0.370
00:00:00 01/03/1988,       0.259
00:00:00 01/04/1988,       1.055
00:00:00 01/05/1988,       0.150
00:00:00 01/06/1988,       0.070
00:00:00 01/07/1988,       0.084
00:00:00 01/08/1988,       0.081
00:00:00 01/09/1988,       0.076
00:00:00 01/10/1988,       0.179
00:00:00 01/11/1988,       0.134
00:00:00 01/12/1988,       0.112
00:00:00 01/01/1989,       0.334
00:00:00 01/02/1989,       0.364
00:00:00 01/03/1989,       1.195
00:00:00 01/04/1989,       0.353
00:00:00 01/05/1989,       0.227
00:00:00 01/06/1989,       0.102
00:00:00 01/07/1989,       0.204
00:00:00 01/08/1989,       0.078
00:00:00 01/09/1989,       0.074
00:00:00 01/10/1989,       0.038
00:00:00 01/11/1989,       0.077
00:00:00 01/12/1989,       0.441
00:00:00 01/01/1990,       0.227
00:00:00 01/02/1990,       0.156
00:00:00 01/03/1990,       0.344
00:00:00 01/04/1990,       0.192
00:00:00 01/05/1990,       0.421
00:00:00 01/06/1990,       0.130
00:00:00 01/07/1990,       0.075
00:00:00 01/08/1990,       0.072
00:00:00 01/09/1990,       0.057
00:00:00 01/10/1990,       0.047
00:00:00 01/11/1990,       0.086
00:00:00 01/12/1990,       0.100
00:00:00 01/01/1991,       0.225
00:00:00 01/02/1991,       0.448
00:00:00 01/03/1991,       0.686
00:00:00 01/04/1991,       0.552
00:00:00 01/05/1991,       0.100
00:00:00 01/06/1991,       0.055
00:00:00 01/07/1991,       0.064
00:00:00 01/08/1991,       0.064
00:00:00 01/09/1991,       0.047
00:00:00 01/10/1991,       0.052
00:00:00 01/11/1991,       0.123
00:00:00 01/12/1991,       0.106
00:00:00 01/01/1992,       0.172
00:00:00 01/02/1992,       0.148
00:00:00 01/03/1992,       0.069
00:00:00 01/04/1992,       0.061
00:00:00 01/05/1992,       0.042
00:00:00 01/06/1992,       0.013
00:00:00 01/07/1992,       0.024
00:00:00 01/08/1992,       0.022
00:00:00 01/09/1992,       0.049
00:00:00 01/10/1992,       0.017
00:00:00 01/11/1992,       0.054
00:00:00 01/12/1992,       0.425
00:00:00 01/01/1993,       0.292
00:00:00 01/02/1993,       0.107
00:00:00 01/03/1993,       0.122
00:00:00 01/04/1993,       0.143
00:00:00 01/05/1993,       0.074
00:00:00 01/06/1993,       0.019
00:00:00 01/07/1993,       0.031
00:00:00 01/08/1993,       0.024
00:00:00 01/09/1993,       0.047
00:00:00 01/10/1993,       0.025
00:00:00 01/11/1993,       0.783
00:00:00 01/12/1993,       0.292
00:00:00 01/01/1994,       0.175
00:00:00 01/02/1994,       0.577
00:00:00 01/03/1994,""
00:00:00 01/04/1994,       0.187
00:00:00 01/05/1994,       0.234
00:00:00 01/06/1994,       0.073
00:00:00 01/07/1994,       0.056
00:00:00 01/08/1994,       0.053
00:00:00 01/09/1994,       0.046
00:00:00 01/10/1994,""
00:00:00 01/11/1994,""
00:00:00 01/12/1994,       0.179
00:00:00 01/01/1995,       0.459
00:00:00 01/02/1995,       0.714
00:00:00 01/03/1995,       0.164
00:00:00 01/04/1995,       0.618
00:00:00 01/05/1995,       0.264
00:00:00 01/06/1995,       0.195
00:00:00 01/07/1995,       0.083
00:00:00 01/08/1995,       0.059
00:00:00 01/09/1995,       0.063
00:00:00 01/10/1995,       0.039
00:00:00 01/11/1995,       0.224
00:00:00 01/12/1995,       0.698
00:00:00 01/01/1996,       1.141
00:00:00 01/02/1996,       1.067
00:00:00 01/03/1996,       1.950
00:00:00 01/04/1996,       0.421
00:00:00 01/05/1996,       0.418
00:00:00 01/06/1996,       0.230
00:00:00 01/07/1996,       0.147
00:00:00 01/08/1996,       0.124
00:00:00 01/09/1996,       0.160
00:00:00 01/10/1996,       0.083
00:00:00 01/11/1996,       0.299
00:00:00 01/12/1996,       0.407
00:00:00 01/01/1997,       0.970
00:00:00 01/02/1997,       1.155
00:00:00 01/03/1997,       0.424
00:00:00 01/04/1997,       1.986
