"Time","A2H117"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/07/1989,""
00:00:00 01/08/1989,       1.291
00:00:00 01/09/1989,       1.993
00:00:00 01/10/1989,       3.171
00:00:00 01/11/1989,       2.503
00:00:00 01/12/1989,       1.312
00:00:00 01/01/1990,       1.613
00:00:00 01/02/1990,       2.748
00:00:00 01/03/1990,       2.307
00:00:00 01/04/1990,       1.279
00:00:00 01/05/1990,       1.396
00:00:00 01/06/1990,       1.113
00:00:00 01/07/1990,       1.712
00:00:00 01/08/1990,       2.053
00:00:00 01/09/1990,       2.568
00:00:00 01/10/1990,       3.800
00:00:00 01/11/1990,       3.427
00:00:00 01/12/1990,       4.588
00:00:00 01/01/1991,       1.071
00:00:00 01/02/1991,       1.863
00:00:00 01/03/1991,       0.908
00:00:00 01/04/1991,       0.985
00:00:00 01/05/1991,       1.246
00:00:00 01/06/1991,       1.676
00:00:00 01/07/1991,       2.007
00:00:00 01/08/1991,       2.124
00:00:00 01/09/1991,       2.919
00:00:00 01/10/1991,       3.587
00:00:00 01/11/1991,       3.195
00:00:00 01/12/1991,       3.018
00:00:00 01/01/1992,       2.668
00:00:00 01/02/1992,       4.321
00:00:00 01/03/1992,       4.942
00:00:00 01/04/1992,       5.373
00:00:00 01/05/1992,       3.437
00:00:00 01/06/1992,       1.860
00:00:00 01/07/1992,       2.252
00:00:00 01/08/1992,       2.030
00:00:00 01/09/1992,       2.007
00:00:00 01/10/1992,       2.713
00:00:00 01/11/1992,       2.863
00:00:00 01/12/1992,       0.950
00:00:00 01/01/1993,       1.121
00:00:00 01/02/1993,       1.799
00:00:00 01/03/1993,       2.027
00:00:00 01/04/1993,       1.940
00:00:00 01/05/1993,       0.738
00:00:00 01/06/1993,       1.347
00:00:00 01/07/1993,       1.549
00:00:00 01/08/1993,       1.469
00:00:00 01/09/1993,       2.157
00:00:00 01/10/1993,       3.029
00:00:00 01/11/1993,       1.250
00:00:00 01/12/1993,       1.492
00:00:00 01/01/1994,       1.329
00:00:00 01/02/1994,       0.920
00:00:00 01/03/1994,       0.236
00:00:00 01/04/1994,       1.374
00:00:00 01/05/1994,       0.751
00:00:00 01/06/1994,       1.482
00:00:00 01/07/1994,       2.073
00:00:00 01/08/1994,       2.319
00:00:00 01/09/1994,       2.905
00:00:00 01/10/1994,       4.364
00:00:00 01/11/1994,       4.334
00:00:00 01/12/1994,       2.361
00:00:00 01/01/1995,       1.872
00:00:00 01/02/1995,       1.625
00:00:00 01/03/1995,       2.217
00:00:00 01/04/1995,       1.625
00:00:00 01/05/1995,       1.308
00:00:00 01/06/1995,       0.688
00:00:00 01/07/1995,       1.778
00:00:00 01/08/1995,       2.093
00:00:00 01/09/1995,       2.525
00:00:00 01/10/1995,       3.178
00:00:00 01/11/1995,       2.977
00:00:00 01/12/1995,       1.219
00:00:00 01/01/1996,       0.561
00:00:00 01/02/1996,       1.183
00:00:00 01/03/1996,       0.371
00:00:00 01/04/1996,       0.776
00:00:00 01/05/1996,       0.878
00:00:00 01/06/1996,       0.746
00:00:00 01/07/1996,       1.512
00:00:00 01/08/1996,       1.725
00:00:00 01/09/1996,       2.271
00:00:00 01/10/1996,       4.397
00:00:00 01/11/1996,       4.051
00:00:00 01/12/1996,       2.029
00:00:00 01/01/1997,       1.309
00:00:00 01/02/1997,       1.343
00:00:00 01/03/1997,       2.472
00:00:00 01/04/1997,       0.647
00:00:00 01/05/1997,       1.522
00:00:00 01/06/1997,       1.026
00:00:00 01/07/1997,       1.788
00:00:00 01/08/1997,       2.587
00:00:00 01/09/1997,       2.563
00:00:00 01/10/1997,       2.584
00:00:00 01/11/1997,       3.732
00:00:00 01/12/1997,       2.181
00:00:00 01/01/1998,       2.847
00:00:00 01/02/1998,       2.261
00:00:00 01/03/1998,       3.116
00:00:00 01/04/1998,       3.157
00:00:00 01/05/1998,       2.078
00:00:00 01/06/1998,       1.357
00:00:00 01/07/1998,       2.758
00:00:00 01/08/1998,       2.680
00:00:00 01/09/1998,       2.819
00:00:00 01/10/1998,       3.992
00:00:00 01/11/1998,       2.005
00:00:00 01/12/1998,       1.544
00:00:00 01/01/1999,       1.433
00:00:00 01/02/1999,       2.357
00:00:00 01/03/1999,       2.936
00:00:00 01/04/1999,       3.118
00:00:00 01/05/1999,       2.551
00:00:00 01/06/1999,       1.012
00:00:00 01/07/1999,       2.068
00:00:00 01/08/1999,       2.165
00:00:00 01/09/1999,       2.696
00:00:00 01/10/1999,       3.573
00:00:00 01/11/1999,       4.227
00:00:00 01/12/1999,       4.921
00:00:00 01/01/2000,       3.539
00:00:00 01/02/2000,       1.359
00:00:00 01/03/2000,       1.169
00:00:00 01/04/2000,       1.334
00:00:00 01/05/2000,       0.990
00:00:00 01/06/2000,       1.375
00:00:00 01/07/2000,       2.152
00:00:00 01/08/2000,       2.178
00:00:00 01/09/2000,       2.333
00:00:00 01/10/2000,       3.328
00:00:00 01/11/2000,       2.895
00:00:00 01/12/2000,       1.840
00:00:00 01/01/2001,       1.287
00:00:00 01/02/2001,       3.458
00:00:00 01/03/2001,       3.246
00:00:00 01/04/2001,       2.262
00:00:00 01/05/2001,       2.353
00:00:00 01/06/2001,       1.637
00:00:00 01/07/2001,       2.231
00:00:00 01/08/2001,       2.363
00:00:00 01/09/2001,       2.720
00:00:00 01/10/2001,       3.527
00:00:00 01/11/2001,       3.388
00:00:00 01/12/2001,       1.316
00:00:00 01/01/2002,       1.222
00:00:00 01/02/2002,       2.665
00:00:00 01/03/2002,       2.837
00:00:00 01/04/2002,       2.788
00:00:00 01/05/2002,       2.713
00:00:00 01/06/2002,       1.763
00:00:00 01/07/2002,       2.356
00:00:00 01/08/2002,       2.612
00:00:00 01/09/2002,       2.642
00:00:00 01/10/2002,       3.032
00:00:00 01/11/2002,       4.408
00:00:00 01/12/2002,       3.653
00:00:00 01/01/2003,       3.388
00:00:00 01/02/2003,       3.104
00:00:00 01/03/2003,       2.382
00:00:00 01/04/2003,       2.172
00:00:00 01/05/2003,       2.208
00:00:00 01/06/2003,       1.466
00:00:00 01/07/2003,       1.912
00:00:00 01/08/2003,       1.834
00:00:00 01/09/2003,       2.116
00:00:00 01/10/2003,       3.556
00:00:00 01/11/2003,       3.257
00:00:00 01/12/2003,       2.564
00:00:00 01/01/2004,       3.380
00:00:00 01/02/2004,       1.602
00:00:00 01/03/2004,       1.435
00:00:00 01/04/2004,       0.774
00:00:00 01/05/2004,       1.717
00:00:00 01/06/2004,       1.271
00:00:00 01/07/2004,       2.271
00:00:00 01/08/2004,       2.363
00:00:00 01/09/2004,       2.781
00:00:00 01/10/2004,       3.785
00:00:00 01/11/2004,       4.246
00:00:00 01/12/2004,       3.464
00:00:00 01/01/2005,       1.930
00:00:00 01/02/2005,       2.318
00:00:00 01/03/2005,       2.394
00:00:00 01/04/2005,""
00:00:00 01/05/2005,       1.605
00:00:00 01/06/2005,       1.835
00:00:00 01/07/2005,       2.432
00:00:00 01/08/2005,       2.589
00:00:00 01/09/2005,       3.046
00:00:00 01/10/2005,       3.982
00:00:00 01/11/2005,       4.421
00:00:00 01/12/2005,       3.410
00:00:00 01/01/2006,       2.863
00:00:00 01/02/2006,       1.020
00:00:00 01/03/2006,       1.387
00:00:00 01/04/2006,       1.520
00:00:00 01/05/2006,       1.830
00:00:00 01/06/2006,       1.423
00:00:00 01/07/2006,       2.354
00:00:00 01/08/2006,       2.354
00:00:00 01/09/2006,       2.571
00:00:00 01/10/2006,       3.209
00:00:00 01/11/2006,       3.959
00:00:00 01/12/2006,       1.300
00:00:00 01/01/2007,       2.607
00:00:00 01/02/2007,       2.831
00:00:00 01/03/2007,       3.746
00:00:00 01/04/2007,       3.962
00:00:00 01/05/2007,       2.670
00:00:00 01/06/2007,       1.764
00:00:00 01/07/2007,       1.760
00:00:00 01/08/2007,       2.090
00:00:00 01/09/2007,       2.786
00:00:00 01/10/2007,       4.399
00:00:00 01/11/2007,       1.987
00:00:00 01/12/2007,       2.852
00:00:00 01/01/2008,       1.457
00:00:00 01/02/2008,       1.398
00:00:00 01/03/2008,       2.411
00:00:00 01/04/2008,       1.780
00:00:00 01/05/2008,       2.168
00:00:00 01/06/2008,       1.205
00:00:00 01/07/2008,       2.106
00:00:00 01/08/2008,       1.982
00:00:00 01/09/2008,       2.308
00:00:00 01/10/2008,       4.810
00:00:00 01/11/2008,       5.495
00:00:00 01/12/2008,       1.374
00:00:00 01/01/2009,       2.917
00:00:00 01/02/2009,       1.787
00:00:00 01/03/2009,       0.953
00:00:00 01/04/2009,       1.527
00:00:00 01/05/2009,       1.917
00:00:00 01/06/2009,       1.267
00:00:00 01/07/2009,       2.060
00:00:00 01/08/2009,       2.508
00:00:00 01/09/2009,       2.822
00:00:00 01/10/2009,       4.175
00:00:00 01/11/2009,       3.767
00:00:00 01/12/2009,       2.359
00:00:00 01/01/2010,       1.799
00:00:00 01/02/2010,       1.126
00:00:00 01/03/2010,       2.835
00:00:00 01/04/2010,       3.573
00:00:00 01/05/2010,       0.863
00:00:00 01/06/2010,       0.884
00:00:00 01/07/2010,       2.367
00:00:00 01/08/2010,       2.833
00:00:00 01/09/2010,       3.532
00:00:00 01/10/2010,       4.007
00:00:00 01/11/2010,       4.673
00:00:00 01/12/2010,       3.111
00:00:00 01/01/2011,       1.732
00:00:00 01/02/2011,       0.601
00:00:00 01/03/2011,       2.673
00:00:00 01/04/2011,       1.995
00:00:00 01/05/2011,       1.295
00:00:00 01/06/2011,       1.149
00:00:00 01/07/2011,       2.301
00:00:00 01/08/2011,       2.860
00:00:00 01/09/2011,       3.709
00:00:00 01/10/2011,       4.466
00:00:00 01/11/2011,       4.585
00:00:00 01/12/2011,       2.778
00:00:00 01/01/2012,       2.207
00:00:00 01/02/2012,       2.520
00:00:00 01/03/2012,       3.090
00:00:00 01/04/2012,       3.646
00:00:00 01/05/2012,       2.242
00:00:00 01/06/2012,       1.718
00:00:00 01/07/2012,       2.508
00:00:00 01/08/2012,       2.558
00:00:00 01/09/2012,       3.523
00:00:00 01/10/2012,       3.913
00:00:00 01/11/2012,       3.431
00:00:00 01/12/2012,       2.978
00:00:00 01/01/2013,       2.308
00:00:00 01/02/2013,       2.204
00:00:00 01/03/2013,       3.385
00:00:00 01/04/2013,       3.301
00:00:00 01/05/2013,       2.258
00:00:00 01/06/2013,       1.557
00:00:00 01/07/2013,       2.407
00:00:00 01/08/2013,       2.672
00:00:00 01/09/2013,       3.147
00:00:00 01/10/2013,       5.543
00:00:00 01/11/2013,       4.070
00:00:00 01/12/2013,       3.340
00:00:00 01/01/2014,       2.130
00:00:00 01/02/2014,       3.679
00:00:00 01/03/2014,       1.823
00:00:00 01/04/2014,       0.418
00:00:00 01/05/2014,       1.594
00:00:00 01/06/2014,       1.494
00:00:00 01/07/2014,       2.632
00:00:00 01/08/2014,       2.800
00:00:00 01/09/2014,       3.275
00:00:00 01/10/2014,       4.491
