A2H012,,
,,
,,
Date,Time,Discharge in cumecs
1/5/1938,12:00:00,2.645
1/6/1938,12:00:00,1.057
1/7/1938,12:00:00,1.079
1/8/1938,12:00:00,0.953
1/9/1938,12:00:00,0.832
1/10/1938,12:00:00,0.641
1/11/1938,12:00:00,1.242
1/12/1938,12:00:00,0.382
1/1/1939,12:00:00,3.229
1/2/1939,12:00:00,3.311
1/3/1939,12:00:00,11.578
1/4/1939,12:00:00,3.82
1/5/1939,12:00:00,1.635
1/6/1939,12:00:00,1.448
1/7/1939,12:00:00,1.339
1/8/1939,12:00:00,1.928
1/9/1939,12:00:00,1.502
1/10/1939,12:00:00,1.143
1/11/1939,12:00:00,1.339
1/12/1939,12:00:00,7.353
1/1/1940,12:00:00,6.976
1/2/1940,12:00:00,1.501
1/3/1940,12:00:00,1.997
1/4/1940,12:00:00,2.46
1/5/1940,12:00:00,1.273
1/6/1940,12:00:00,1.724
1/7/1940,12:00:00,1.757
1/8/1940,12:00:00,1.358
1/9/1940,12:00:00,1.16
1/10/1940,12:00:00,3.276
1/11/1940,12:00:00,1.592
1/12/1940,12:00:00,5.377
1/1/1941,12:00:00,6.617
1/2/1941,12:00:00,7.988
1/3/1941,12:00:00,5.532
1/4/1941,12:00:00,3.952
1/5/1941,12:00:00,6.353
1/6/1941,12:00:00,1.619
1/7/1941,12:00:00,1.421
1/8/1941,12:00:00,1.42
1/9/1941,12:00:00,1.216
1/10/1941,12:00:00,0.917
1/11/1941,12:00:00,1.237
1/12/1941,12:00:00,0.626
1/1/1942,12:00:00,1.821
1/2/1942,12:00:00,6.11
1/3/1942,12:00:00,3.021
1/4/1942,12:00:00,4.372
1/5/1942,12:00:00,1.23
1/6/1942,12:00:00,0.956
1/7/1942,12:00:00,1.181
1/8/1942,12:00:00,1.059
1/9/1942,12:00:00,1.409
1/10/1942,12:00:00,0.928
1/11/1942,12:00:00,1.967
1/12/1942,12:00:00,2.248
1/1/1943,12:00:00,13.129
1/2/1943,12:00:00,3.801
1/3/1943,12:00:00,1.544
1/4/1943,12:00:00,3.029
1/5/1943,12:00:00,3.376
1/6/1943,12:00:00,3.433
1/7/1943,12:00:00,2.11
1/8/1943,12:00:00,6.802
1/9/1943,12:00:00,2.355
1/10/1943,12:00:00,3.372
1/11/1943,12:00:00,2.749
1/12/1943,12:00:00,5.956
1/1/1944,12:00:00,6.462
1/2/1944,12:00:00,9.678
1/3/1944,12:00:00,40
1/4/1944,12:00:00,10.381
1/5/1944,12:00:00,4.09
1/6/1944,12:00:00,2.981
1/7/1944,12:00:00,6.671
1/8/1944,12:00:00,3.395
1/9/1944,12:00:00,2.432
1/10/1944,12:00:00,4.143
1/11/1944,12:00:00,4.782
1/12/1944,12:00:00,6.553
1/1/1945,12:00:00,1.872
1/2/1945,12:00:00,1.624
1/3/1945,12:00:00,5.856
1/4/1945,12:00:00,14.662
1/5/1945,12:00:00,3.31
1/6/1945,12:00:00,2.584
1/7/1945,12:00:00,2.408
1/8/1945,12:00:00,2.197
1/9/1945,12:00:00,1.852
1/10/1945,12:00:00,1.342
1/11/1945,12:00:00,1.151
1/12/1945,12:00:00,1.985
1/1/1946,12:00:00,1.593
1/2/1946,12:00:00,5.383
1/3/1946,12:00:00,14.226
1/4/1946,12:00:00,4.886
1/5/1946,12:00:00,3.328
1/6/1946,12:00:00,2.23
1/7/1946,12:00:00,1.961
