"Time","C2H272"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/08/2004,""
00:00:00 01/09/2004,       1.856
00:00:00 01/10/2004,       4.481
00:00:00 01/11/2004,       3.208
00:00:00 01/12/2004,      16.151
00:00:00 01/01/2005,       8.133
00:00:00 01/02/2005,       2.394
00:00:00 01/03/2005,       0.372
00:00:00 01/04/2005,       0.441
00:00:00 01/05/2005,       0.239
00:00:00 01/06/2005,       0.002
00:00:00 01/07/2005,       1.431
00:00:00 01/08/2005,       5.648
00:00:00 01/09/2005,       2.884
00:00:00 01/10/2005,       2.291
00:00:00 01/11/2005,      26.550
00:00:00 01/12/2005,      21.929
00:00:00 01/01/2006,      20.059
00:00:00 01/02/2006,       9.195
00:00:00 01/03/2006,     317.935
00:00:00 01/04/2006,     495.600
00:00:00 01/05/2006,      49.724
00:00:00 01/06/2006,       3.008
00:00:00 01/07/2006,       6.159
00:00:00 01/08/2006,       5.645
00:00:00 01/09/2006,      12.068
00:00:00 01/10/2006,       9.360
00:00:00 01/11/2006,       8.663
00:00:00 01/12/2006,       9.234
00:00:00 01/01/2007,      12.955
00:00:00 01/02/2007,       0.398
00:00:00 01/03/2007,       3.719
00:00:00 01/04/2007,       3.913
00:00:00 01/05/2007,       6.328
00:00:00 01/06/2007,       6.926
00:00:00 01/07/2007,       8.149
00:00:00 01/08/2007,       2.643
00:00:00 01/09/2007,       3.629
00:00:00 01/10/2007,       7.012
00:00:00 01/11/2007,       1.700
00:00:00 01/12/2007,""
00:00:00 01/01/2008,       5.637
00:00:00 01/02/2008,       5.941
00:00:00 01/03/2008,       4.472
00:00:00 01/04/2008,       3.748
00:00:00 01/05/2008,       3.241
00:00:00 01/06/2008,       2.645
00:00:00 01/07/2008,       2.595
00:00:00 01/08/2008,       3.419
00:00:00 01/09/2008,       5.947
00:00:00 01/10/2008,       5.999
00:00:00 01/11/2008,       3.803
00:00:00 01/12/2008,       2.494
00:00:00 01/01/2009,       0.287
00:00:00 01/02/2009,       0.449
00:00:00 01/03/2009,       5.217
00:00:00 01/04/2009,      54.478
00:00:00 01/05/2009,       0.617
00:00:00 01/06/2009,       0.331
00:00:00 01/07/2009,       0.059
00:00:00 01/08/2009,       0.000
00:00:00 01/09/2009,       0.181
00:00:00 01/10/2009,       1.913
00:00:00 01/11/2009,       1.808
00:00:00 01/12/2009,       4.152
00:00:00 01/01/2010,       2.072
00:00:00 01/02/2010,     272.215
00:00:00 01/03/2010,     282.982
00:00:00 01/04/2010,      19.283
00:00:00 01/05/2010,      91.839
00:00:00 01/06/2010,       1.255
00:00:00 01/07/2010,       0.428
00:00:00 01/08/2010,       2.253
00:00:00 01/09/2010,       4.813
00:00:00 01/10/2010,       4.996
00:00:00 01/11/2010,       3.075
00:00:00 01/12/2010,       2.058
00:00:00 01/01/2011,     184.138
00:00:00 01/02/2011,     765.051
00:00:00 01/03/2011,     176.635
00:00:00 01/04/2011,       2.286
00:00:00 01/05/2011,       1.030
00:00:00 01/06/2011,       0.000
00:00:00 01/07/2011,       0.000
00:00:00 01/08/2011,       0.000
00:00:00 01/09/2011,       0.000
00:00:00 01/10/2011,       0.184
00:00:00 01/11/2011,""
00:00:00 01/12/2011,""
00:00:00 01/01/2012,""
00:00:00 01/02/2012,       0.378
00:00:00 01/03/2012,       0.214
00:00:00 01/04/2012,       2.077
00:00:00 01/05/2012,       1.597
00:00:00 01/06/2012,       0.708
00:00:00 01/07/2012,       5.139
00:00:00 01/08/2012,       0.000
00:00:00 01/09/2012,       0.000
00:00:00 01/10/2012,       0.779
00:00:00 01/11/2012,       0.759
00:00:00 01/12/2012,       1.646
00:00:00 01/01/2013,       0.809
00:00:00 01/02/2013,       0.384
00:00:00 01/03/2013,       1.081
00:00:00 01/04/2013,       1.444
00:00:00 01/05/2013,       0.770
00:00:00 01/06/2013,       0.986
00:00:00 01/07/2013,       0.766
00:00:00 01/08/2013,       0.056
00:00:00 01/09/2013,       0.000
00:00:00 01/10/2013,       0.001
00:00:00 01/11/2013,       0.014
00:00:00 01/12/2013,       2.239
00:00:00 01/01/2014,      43.516
00:00:00 01/02/2014,      26.897
00:00:00 01/03/2014,      53.074
00:00:00 01/04/2014,     291.908
00:00:00 01/05/2014,       5.549
00:00:00 01/06/2014,       1.950
00:00:00 01/07/2014,       2.276
00:00:00 01/08/2014,       1.248
00:00:00 01/09/2014,       1.698
00:00:00 01/10/2014,       2.631
00:00:00 01/11/2014,       0.844
00:00:00 01/12/2014,       0.725
00:00:00 01/01/2015,       1.030
00:00:00 01/02/2015,       0.638
00:00:00 01/03/2015,       0.762
00:00:00 01/04/2015,       0.699
00:00:00 01/05/2015,       2.678
00:00:00 01/06/2015,       4.907
00:00:00 01/07/2015,""
00:00:00 01/08/2015,       2.372
00:00:00 01/09/2015,""
00:00:00 01/10/2015,       2.005
00:00:00 01/11/2015,       3.714
00:00:00 01/12/2015,       2.940
00:00:00 01/01/2016,       2.455
00:00:00 01/02/2016,       1.301
00:00:00 01/03/2016,       1.175
00:00:00 01/04/2016,       1.079
00:00:00 01/05/2016,       0.878
00:00:00 01/06/2016,       1.405
00:00:00 01/07/2016,       0.529
00:00:00 01/08/2016,       0.610
00:00:00 01/09/2016,       0.610
00:00:00 01/10/2016,       1.165
00:00:00 01/11/2016,       2.441
00:00:00 01/12/2016,""
00:00:00 01/01/2017,""
00:00:00 01/02/2017,""
00:00:00 01/03/2017,       7.328
00:00:00 01/04/2017,      46.519
00:00:00 01/05/2017,       1.112
00:00:00 01/06/2017,       2.902
00:00:00 01/07/2017,       2.440
00:00:00 01/08/2017,       2.985
00:00:00 01/09/2017,       3.686
00:00:00 01/10/2017,       1.548
00:00:00 01/11/2017,       1.842
00:00:00 01/12/2017,       4.338
00:00:00 01/01/2018,       2.249
00:00:00 01/02/2018,       1.200
00:00:00 01/03/2018,       1.813
00:00:00 01/04/2018,       1.702
00:00:00 01/05/2018,      51.697
00:00:00 01/06/2018,       4.302
00:00:00 01/07/2018,       0.655
00:00:00 01/08/2018,       1.930
00:00:00 01/09/2018,       0.445
00:00:00 01/10/2018,       0.282
00:00:00 01/11/2018,       1.477
00:00:00 01/12/2018,       0.622
00:00:00 01/01/2019,       0.958
00:00:00 01/02/2019,       0.713
00:00:00 01/03/2019,       0.370
00:00:00 01/04/2019,       1.637
00:00:00 01/05/2019,       1.089
00:00:00 01/06/2019,       2.835
00:00:00 01/07/2019,       2.311
00:00:00 01/08/2019,       2.065
00:00:00 01/09/2019,       1.786
00:00:00 01/10/2019,""
