,A2H008,
,,
,,
Date,Time,Discharge in cumecs 
1/5/1933,12:00:00,0.028
1/6/1933,12:00:00,0.028
1/7/1933,12:00:00,0.028
1/8/1933,12:00:00,0.028
1/9/1933,12:00:00,0.028
1/10/1933,12:00:00,0.028
1/11/1933,12:00:00,0.028
1/12/1933,12:00:00,0.028
1/1/1934,12:00:00,0.028
1/2/1934,12:00:00,0.028
1/3/1934,12:00:00,0.028
1/4/1934,12:00:00,0.028
1/5/1934,12:00:00,0.028
1/6/1934,12:00:00,0.028
1/7/1934,12:00:00,0.028
1/8/1934,12:00:00,0.028
1/9/1934,12:00:00,0.028
1/10/1934,12:00:00,0.028
1/11/1934,12:00:00,0.028
1/12/1934,12:00:00,0.028
1/1/1935,12:00:00,0.028
1/2/1935,12:00:00,0.028
1/3/1935,12:00:00,0.028
1/4/1935,12:00:00,0.028
1/5/1935,12:00:00,0.028
1/6/1935,12:00:00,0.027
1/7/1935,12:00:00,0.027
1/8/1935,12:00:00,0.027
1/9/1935,12:00:00,0.027
1/10/1935,12:00:00,0.027
1/11/1935,12:00:00,0.027
1/12/1935,12:00:00,0.027
1/1/1936,12:00:00,0.026
1/2/1936,12:00:00,0.024
1/3/1936,12:00:00,0.024
1/4/1936,12:00:00,0.024
1/5/1936,12:00:00,0.024
1/6/1936,12:00:00,0.027
1/7/1936,12:00:00,0.027
1/8/1936,12:00:00,0.027
1/9/1936,12:00:00,0.027
1/10/1936,12:00:00,0.027
1/11/1936,12:00:00,0.027
1/12/1936,12:00:00,0.029
1/1/1937,12:00:00,0.03
1/2/1937,12:00:00,0.03
1/3/1937,12:00:00,0.03
1/4/1937,12:00:00,0.03
1/5/1937,12:00:00,0.03
1/6/1937,12:00:00,0.03
1/7/1937,12:00:00,0.03
1/8/1937,12:00:00,0.03
1/9/1937,12:00:00,0.03
1/10/1937,12:00:00,0.03
1/11/1937,12:00:00,0.03
1/12/1937,12:00:00,
1/1/1938,12:00:00,
1/2/1938,12:00:00,
1/3/1938,12:00:00,0.03
1/4/1938,12:00:00,0.031
1/5/1938,12:00:00,0.033
1/6/1938,12:00:00,0.034
1/7/1938,12:00:00,0.034
1/8/1938,12:00:00,0.034
1/9/1938,12:00:00,0.031
1/10/1938,12:00:00,0.031
1/11/1938,12:00:00,0.032
1/12/1938,12:00:00,0.033
1/1/1939,12:00:00,0.036
1/2/1939,12:00:00,0.035
1/3/1939,12:00:00,0.038
1/4/1939,12:00:00,0.034
1/5/1939,12:00:00,0.031
1/6/1939,12:00:00,0.032
1/7/1939,12:00:00,0.03
1/8/1939,12:00:00,0.031
1/9/1939,12:00:00,0.03
1/10/1939,12:00:00,0.032
1/11/1939,12:00:00,0.031
1/12/1939,12:00:00,0.03
1/1/1940,12:00:00,0.035
1/2/1940,12:00:00,0.034
1/3/1940,12:00:00,0.037
1/4/1940,12:00:00,0.035
1/5/1940,12:00:00,0.031
1/6/1940,12:00:00,0.031
1/7/1940,12:00:00,0.031
1/8/1940,12:00:00,0.032
1/9/1940,12:00:00,0.033
1/10/1940,12:00:00,0.038
1/11/1940,12:00:00,0.039
1/12/1940,12:00:00,0.033
1/1/1941,12:00:00,0.034
1/2/1941,12:00:00,0.03
1/3/1941,12:00:00,0.032
1/4/1941,12:00:00,0.032
1/5/1941,12:00:00,0.034
1/6/1941,12:00:00,0.033
1/7/1941,12:00:00,0.032
1/8/1941,12:00:00,0.031
1/9/1941,12:00:00,0.035
1/10/1941,12:00:00,0.035
1/11/1941,12:00:00,0.035
1/12/1941,12:00:00,0.033
1/1/1942,12:00:00,0.035
1/2/1942,12:00:00,0.034
1/3/1942,12:00:00,0.034
1/4/1942,12:00:00,0.033
1/5/1942,12:00:00,0.034
1/6/1942,12:00:00,0.034
1/7/1942,12:00:00,0.033
1/8/1942,12:00:00,0.033
1/9/1942,12:00:00,0.033
1/10/1942,12:00:00,0.033
1/11/1942,12:00:00,0.034
1/12/1942,12:00:00,0.033
1/1/1943,12:00:00,0.036
1/2/1943,12:00:00,0.035
1/3/1943,12:00:00,0.034
1/4/1943,12:00:00,0.034
1/5/1943,12:00:00,0.035
1/6/1943,12:00:00,0.035
1/7/1943,12:00:00,0.034
1/8/1943,12:00:00,0.034
1/9/1943,12:00:00,0.036
1/10/1943,12:00:00,0.033
1/11/1943,12:00:00,0.034
1/12/1943,12:00:00,0.036
1/1/1944,12:00:00,
1/2/1944,12:00:00,
1/3/1944,12:00:00,
1/4/1944,12:00:00,
1/5/1944,12:00:00,
1/6/1944,12:00:00,
1/7/1944,12:00:00,
1/8/1944,12:00:00,
1/9/1944,12:00:00,0.04
1/10/1944,12:00:00,0.04
1/11/1944,12:00:00,0.041
1/12/1944,12:00:00,0.041
1/1/1945,12:00:00,0.058
1/2/1945,12:00:00,0.039
1/3/1945,12:00:00,0.041
1/4/1945,12:00:00,0.052
1/5/1945,12:00:00,0.053
1/6/1945,12:00:00,0.044
1/7/1945,12:00:00,0.044
1/8/1945,12:00:00,0.044
1/9/1945,12:00:00,0.046
1/10/1945,12:00:00,0.046
1/11/1945,12:00:00,0.043
1/12/1945,12:00:00,0.041
