"Time","C2H003"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/11/1915,""
00:00:00 01/12/1915,""
00:00:00 01/01/1916,     433.823
00:00:00 01/02/1916,     136.810
00:00:00 01/03/1916,      13.683
00:00:00 01/04/1916,""
00:00:00 01/05/1916,""
00:00:00 01/06/1916,""
00:00:00 01/07/1916,""
00:00:00 01/08/1916,""
00:00:00 01/09/1916,""
00:00:00 01/10/1916,""
00:00:00 01/11/1916,""
00:00:00 01/12/1916,""
00:00:00 01/01/1917,""
00:00:00 01/02/1917,      66.360
00:00:00 01/03/1917,      95.728
00:00:00 01/04/1917,""
00:00:00 01/05/1917,""
00:00:00 01/06/1917,""
00:00:00 01/07/1917,""
00:00:00 01/08/1917,""
00:00:00 01/09/1917,""
00:00:00 01/10/1917,""
00:00:00 01/11/1917,""
00:00:00 01/12/1917,""
00:00:00 01/01/1918,""
00:00:00 01/02/1918,""
00:00:00 01/03/1918,""
00:00:00 01/04/1918,""
00:00:00 01/05/1918,""
00:00:00 01/06/1918,""
00:00:00 01/07/1918,""
00:00:00 01/08/1918,""
00:00:00 01/09/1918,""
00:00:00 01/10/1918,""
00:00:00 01/11/1918,""
00:00:00 01/12/1918,""
00:00:00 01/01/1919,""
00:00:00 01/02/1919,""
00:00:00 01/03/1919,""
00:00:00 01/04/1919,""
00:00:00 01/05/1919,""
00:00:00 01/06/1919,""
00:00:00 01/07/1919,""
00:00:00 01/08/1919,""
00:00:00 01/09/1919,""
00:00:00 01/10/1919,""
00:00:00 01/11/1919,""
00:00:00 01/12/1919,""
00:00:00 01/01/1920,""
00:00:00 01/02/1920,""
00:00:00 01/03/1920,""
00:00:00 01/04/1920,""
00:00:00 01/05/1920,""
00:00:00 01/06/1920,""
00:00:00 01/07/1920,""
00:00:00 01/08/1920,""
00:00:00 01/09/1920,""
00:00:00 01/10/1920,""
00:00:00 01/11/1920,""
00:00:00 01/12/1920,""
00:00:00 01/01/1921,""
00:00:00 01/02/1921,""
00:00:00 01/03/1921,""
00:00:00 01/04/1921,""
00:00:00 01/05/1921,""
00:00:00 01/06/1921,""
00:00:00 01/07/1921,""
00:00:00 01/08/1921,""
00:00:00 01/09/1921,""
00:00:00 01/10/1921,""
00:00:00 01/11/1921,""
00:00:00 01/12/1921,""
00:00:00 01/01/1922,""
00:00:00 01/02/1922,""
00:00:00 01/03/1922,""
00:00:00 01/04/1922,""
00:00:00 01/05/1922,""
00:00:00 01/06/1922,""
00:00:00 01/07/1922,""
00:00:00 01/08/1922,""
00:00:00 01/09/1922,""
00:00:00 01/10/1922,""
00:00:00 01/11/1922,""
00:00:00 01/12/1922,""
00:00:00 01/01/1923,""
00:00:00 01/02/1923,""
00:00:00 01/03/1923,""
00:00:00 01/04/1923,""
00:00:00 01/05/1923,""
00:00:00 01/06/1923,""
00:00:00 01/07/1923,""
00:00:00 01/08/1923,""
00:00:00 01/09/1923,""
00:00:00 01/10/1923,""
00:00:00 01/11/1923,       0.482
00:00:00 01/12/1923,       6.255
00:00:00 01/01/1924,       7.679
00:00:00 01/02/1924,      67.307
00:00:00 01/03/1924,      84.340
00:00:00 01/04/1924,      81.650
00:00:00 01/05/1924,      31.693
00:00:00 01/06/1924,       8.543
00:00:00 01/07/1924,       4.827
00:00:00 01/08/1924,       3.815
00:00:00 01/09/1924,       2.885
00:00:00 01/10/1924,       1.566
00:00:00 01/11/1924,      14.409
00:00:00 01/12/1924,     155.697
00:00:00 01/01/1925,     114.494
00:00:00 01/02/1925,     107.732
00:00:00 01/03/1925,     102.531
00:00:00 01/04/1925,     992.774
00:00:00 01/05/1925,     238.217
00:00:00 01/06/1925,     362.868
00:00:00 01/07/1925,      45.972
00:00:00 01/08/1925,      24.110
00:00:00 01/09/1925,      13.639
00:00:00 01/10/1925,      24.690
00:00:00 01/11/1925,      47.052
00:00:00 01/12/1925,      67.189
00:00:00 01/01/1926,      17.811
00:00:00 01/02/1926,      33.454
00:00:00 01/03/1926,      74.298
00:00:00 01/04/1926,      30.644
00:00:00 01/05/1926,      13.077
00:00:00 01/06/1926,       5.366
00:00:00 01/07/1926,       6.066
00:00:00 01/08/1926,       3.896
00:00:00 01/09/1926,       2.602
00:00:00 01/10/1926,      21.728
00:00:00 01/11/1926,       8.656
00:00:00 01/12/1926,      17.409
00:00:00 01/01/1927,      62.518
00:00:00 01/02/1927,      50.861
00:00:00 01/03/1927,     135.194
00:00:00 01/04/1927,     150.112
00:00:00 01/05/1927,      62.160
00:00:00 01/06/1927,       8.848
00:00:00 01/07/1927,       4.989
00:00:00 01/08/1927,       4.010
00:00:00 01/09/1927,       8.335
00:00:00 01/10/1927,       2.316
00:00:00 01/11/1927,      27.469
00:00:00 01/12/1927,      41.604
00:00:00 01/01/1928,      37.332
00:00:00 01/02/1928,      91.812
00:00:00 01/03/1928,      34.694
00:00:00 01/04/1928,      69.058
00:00:00 01/05/1928,      14.134
00:00:00 01/06/1928,       6.309
00:00:00 01/07/1928,       3.602
00:00:00 01/08/1928,       2.079
00:00:00 01/09/1928,       1.613
00:00:00 01/10/1928,       6.111
00:00:00 01/11/1928,      15.237
00:00:00 01/12/1928,      10.665
00:00:00 01/01/1929,      49.050
00:00:00 01/02/1929,      75.305
00:00:00 01/03/1929,      89.680
00:00:00 01/04/1929,     259.320
00:00:00 01/05/1929,      25.826
00:00:00 01/06/1929,       9.931
00:00:00 01/07/1929,      19.859
00:00:00 01/08/1929,      11.411
00:00:00 01/09/1929,       5.688
00:00:00 01/10/1929,      80.244
00:00:00 01/11/1929,     124.280
00:00:00 01/12/1929,     330.164
00:00:00 01/01/1930,     428.697
00:00:00 01/02/1930,     164.631
00:00:00 01/03/1930,      70.472
00:00:00 01/04/1930,      49.168
00:00:00 01/05/1930,      22.082
00:00:00 01/06/1930,       6.898
00:00:00 01/07/1930,       5.779
00:00:00 01/08/1930,       4.746
00:00:00 01/09/1930,       4.957
00:00:00 01/10/1930,       3.127
00:00:00 01/11/1930,       3.540
00:00:00 01/12/1930,       9.538
00:00:00 01/01/1931,       9.764
00:00:00 01/02/1931,""
00:00:00 01/03/1931,""
00:00:00 01/04/1931,""
00:00:00 01/05/1931,""
00:00:00 01/06/1931,       4.821
00:00:00 01/07/1931,       1.820
00:00:00 01/08/1931,       3.466
00:00:00 01/09/1931,       2.860
00:00:00 01/10/1931,       0.707
00:00:00 01/11/1931,       0.173
00:00:00 01/12/1931,""
00:00:00 01/01/1932,""
00:00:00 01/02/1932,""
00:00:00 01/03/1932,""
00:00:00 01/04/1932,""
00:00:00 01/05/1932,""
00:00:00 01/06/1932,""
00:00:00 01/07/1932,""
00:00:00 01/08/1932,       3.307
00:00:00 01/09/1932,       1.628
00:00:00 01/10/1932,       0.818
00:00:00 01/11/1932,""
00:00:00 01/12/1932,""
00:00:00 01/01/1933,""
00:00:00 01/02/1933,""
00:00:00 01/03/1933,""
00:00:00 01/04/1933,""
00:00:00 01/05/1933,""
00:00:00 01/06/1933,       1.657
00:00:00 01/07/1933,       0.480
00:00:00 01/08/1933,       0.424
00:00:00 01/09/1933,       0.357
00:00:00 01/10/1933,       0.216
00:00:00 01/11/1933,       0.470
00:00:00 01/12/1933,""
00:00:00 01/01/1934,""
00:00:00 01/02/1934,""
00:00:00 01/03/1934,""
00:00:00 01/04/1934,""
00:00:00 01/05/1934,""
00:00:00 01/06/1934,""
00:00:00 01/07/1934,      18.488
00:00:00 01/08/1934,      15.926
00:00:00 01/09/1934,      78.174
00:00:00 01/10/1934,      11.659
00:00:00 01/11/1934,      18.388
00:00:00 01/12/1934,     159.600
00:00:00 01/01/1935,     249.679
00:00:00 01/02/1935,      56.831
00:00:00 01/03/1935,      47.105
00:00:00 01/04/1935,      81.347
00:00:00 01/05/1935,      34.559
00:00:00 01/06/1935,      18.265
00:00:00 01/07/1935,       7.965
00:00:00 01/08/1935,       6.559
00:00:00 01/09/1935,       4.356
00:00:00 01/10/1935,       3.444
00:00:00 01/11/1935,       2.427
00:00:00 01/12/1935,       8.007
00:00:00 01/01/1936,       4.676
00:00:00 01/02/1936,     148.124
00:00:00 01/03/1936,      89.576
00:00:00 01/04/1936,      21.868
00:00:00 01/05/1936,      84.633
00:00:00 01/06/1936,      86.136
00:00:00 01/07/1936,      48.781
00:00:00 01/08/1936,      13.145
00:00:00 01/09/1936,       6.748
00:00:00 01/10/1936,       2.147
00:00:00 01/11/1936,       2.550
00:00:00 01/12/1936,     227.557
00:00:00 01/01/1937,     105.156
00:00:00 01/02/1937,     239.578
00:00:00 01/03/1937,     325.788
00:00:00 01/04/1937,      56.444
00:00:00 01/05/1937,      30.303
00:00:00 01/06/1937,       8.004
00:00:00 01/07/1937,       7.169
00:00:00 01/08/1937,       6.555
00:00:00 01/09/1937,       5.291
00:00:00 01/10/1937,       4.463
00:00:00 01/11/1937,       6.301
00:00:00 01/12/1937,      19.075
00:00:00 01/01/1938,      15.503
00:00:00 01/02/1938,      13.524
00:00:00 01/03/1938,      13.863
00:00:00 01/04/1938,      11.570
00:00:00 01/05/1938,      11.279
00:00:00 01/06/1938,      11.448
00:00:00 01/07/1938,      13.437
00:00:00 01/08/1938,      14.139
00:00:00 01/09/1938,      13.100
00:00:00 01/10/1938,       7.340
00:00:00 01/11/1938,      17.059
00:00:00 01/12/1938,      13.127
00:00:00 01/01/1939,      47.400
00:00:00 01/02/1939,     145.458
00:00:00 01/03/1939,     271.657
00:00:00 01/04/1939,     155.458
00:00:00 01/05/1939,      35.472
00:00:00 01/06/1939,      36.145
00:00:00 01/07/1939,      28.532
00:00:00 01/08/1939,      29.941
00:00:00 01/09/1939,      27.391
00:00:00 01/10/1939,      34.312
00:00:00 01/11/1939,      28.245
00:00:00 01/12/1939,     160.323
00:00:00 01/01/1940,     190.919
00:00:00 01/02/1940,      75.822
00:00:00 01/03/1940,      74.251
00:00:00 01/04/1940,      46.719
00:00:00 01/05/1940,      32.150
00:00:00 01/06/1940,      31.242
00:00:00 01/07/1940,      31.854
00:00:00 01/08/1940,      30.589
00:00:00 01/09/1940,      24.966
00:00:00 01/10/1940,      20.458
00:00:00 01/11/1940,      24.514
00:00:00 01/12/1940,      75.268
00:00:00 01/01/1941,     115.114
00:00:00 01/02/1941,     173.425
00:00:00 01/03/1941,     180.217
00:00:00 01/04/1941,      52.083
00:00:00 01/05/1941,     129.394
00:00:00 01/06/1941,      19.805
00:00:00 01/07/1941,      15.913
00:00:00 01/08/1941,      24.008
00:00:00 01/09/1941,      26.871
00:00:00 01/10/1941,      39.472
00:00:00 01/11/1941,      28.000
00:00:00 01/12/1941,      24.261
00:00:00 01/01/1942,      63.555
00:00:00 01/02/1942,      28.697
00:00:00 01/03/1942,      24.451
00:00:00 01/04/1942,      32.054
00:00:00 01/05/1942,      19.803
00:00:00 01/06/1942,      31.786
00:00:00 01/07/1942,      32.564
00:00:00 01/08/1942,      34.665
00:00:00 01/09/1942,      28.764
