"Time","C2H021"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/09/1952,""
00:00:00 01/10/1952,       0.510
00:00:00 01/11/1952,       0.412
00:00:00 01/12/1952,       4.614
00:00:00 01/01/1953,       8.284
00:00:00 01/02/1953,       3.909
00:00:00 01/03/1953,       5.453
00:00:00 01/04/1953,       3.133
00:00:00 01/05/1953,""
00:00:00 01/06/1953,       1.301
00:00:00 01/07/1953,       1.155
00:00:00 01/08/1953,       0.982
00:00:00 01/09/1953,       0.831
00:00:00 01/10/1953,       0.340
00:00:00 01/11/1953,       0.962
00:00:00 01/12/1953,       2.060
00:00:00 01/01/1954,       4.003
00:00:00 01/02/1954,       4.332
00:00:00 01/03/1954,       5.607
00:00:00 01/04/1954,       1.801
00:00:00 01/05/1954,""
00:00:00 01/06/1954,       1.369
00:00:00 01/07/1954,       0.990
00:00:00 01/08/1954,""
00:00:00 01/09/1954,       0.432
00:00:00 01/10/1954,       0.526
00:00:00 01/11/1954,""
00:00:00 01/12/1954,""
00:00:00 01/01/1955,""
00:00:00 01/02/1955,""
00:00:00 01/03/1955,""
00:00:00 01/04/1955,""
00:00:00 01/05/1955,""
00:00:00 01/06/1955,""
00:00:00 01/07/1955,""
00:00:00 01/08/1955,""
00:00:00 01/09/1955,""
00:00:00 01/10/1955,""
00:00:00 01/11/1955,""
00:00:00 01/12/1955,""
00:00:00 01/01/1956,""
00:00:00 01/02/1956,""
00:00:00 01/03/1956,""
00:00:00 01/04/1956,""
00:00:00 01/05/1956,""
00:00:00 01/06/1956,""
00:00:00 01/07/1956,""
00:00:00 01/08/1956,       1.394
00:00:00 01/09/1956,       0.998
00:00:00 01/10/1956,       1.076
00:00:00 01/11/1956,       1.215
00:00:00 01/12/1956,       1.822
00:00:00 01/01/1957,       1.629
00:00:00 01/02/1957,       3.601
00:00:00 01/03/1957,       6.016
00:00:00 01/04/1957,       6.893
00:00:00 01/05/1957,       1.787
00:00:00 01/06/1957,       1.248
00:00:00 01/07/1957,       1.627
00:00:00 01/08/1957,       5.233
00:00:00 01/09/1957,       1.613
00:00:00 01/10/1957,       4.648
00:00:00 01/11/1957,       5.922
00:00:00 01/12/1957,       2.148
00:00:00 01/01/1958,       3.210
00:00:00 01/02/1958,       4.736
00:00:00 01/03/1958,       4.624
00:00:00 01/04/1958,       3.679
00:00:00 01/05/1958,       6.319
00:00:00 01/06/1958,       1.802
00:00:00 01/07/1958,       1.693
00:00:00 01/08/1958,       1.327
00:00:00 01/09/1958,       0.992
00:00:00 01/10/1958,       3.649
00:00:00 01/11/1958,       0.528
00:00:00 01/12/1958,       2.275
00:00:00 01/01/1959,       5.690
00:00:00 01/02/1959,       3.637
00:00:00 01/03/1959,       3.475
00:00:00 01/04/1959,       1.743
00:00:00 01/05/1959,       0.696
00:00:00 01/06/1959,       2.247
00:00:00 01/07/1959,       1.198
00:00:00 01/08/1959,       1.226
00:00:00 01/09/1959,       0.923
00:00:00 01/10/1959,       0.753
00:00:00 01/11/1959,       1.023
00:00:00 01/12/1959,       3.685
00:00:00 01/01/1960,       3.033
00:00:00 01/02/1960,       2.048
00:00:00 01/03/1960,       1.296
00:00:00 01/04/1960,       2.357
00:00:00 01/05/1960,       2.146
00:00:00 01/06/1960,       1.755
00:00:00 01/07/1960,       1.194
00:00:00 01/08/1960,       0.953
00:00:00 01/09/1960,       1.512
00:00:00 01/10/1960,       0.733
00:00:00 01/11/1960,       1.038
00:00:00 01/12/1960,       2.792
00:00:00 01/01/1961,       6.645
00:00:00 01/02/1961,       4.132
00:00:00 01/03/1961,       2.740
00:00:00 01/04/1961,       2.749
00:00:00 01/05/1961,       3.823
00:00:00 01/06/1961,       2.320
00:00:00 01/07/1961,       2.006
00:00:00 01/08/1961,       1.729
00:00:00 01/09/1961,       1.733
00:00:00 01/10/1961,       0.902
00:00:00 01/11/1961,       0.689
00:00:00 01/12/1961,       1.928
00:00:00 01/01/1962,       3.908
00:00:00 01/02/1962,       1.542
00:00:00 01/03/1962,       2.059
00:00:00 01/04/1962,       1.072
00:00:00 01/05/1962,       3.248
00:00:00 01/06/1962,       1.126
00:00:00 01/07/1962,       0.868
00:00:00 01/08/1962,       1.389
00:00:00 01/09/1962,       1.131
00:00:00 01/10/1962,       0.606
00:00:00 01/11/1962,       0.277
00:00:00 01/12/1962,       7.463
00:00:00 01/01/1963,       1.743
00:00:00 01/02/1963,       4.386
00:00:00 01/03/1963,       1.408
00:00:00 01/04/1963,       1.282
00:00:00 01/05/1963,       2.844
00:00:00 01/06/1963,       0.877
00:00:00 01/07/1963,       2.019
00:00:00 01/08/1963,       3.819
00:00:00 01/09/1963,       0.711
00:00:00 01/10/1963,       0.230
00:00:00 01/11/1963,       0.624
00:00:00 01/12/1963,       4.498
00:00:00 01/01/1964,       7.335
00:00:00 01/02/1964,       5.898
00:00:00 01/03/1964,       6.279
00:00:00 01/04/1964,       2.194
00:00:00 01/05/1964,       1.918
00:00:00 01/06/1964,       2.234
00:00:00 01/07/1964,       0.887
00:00:00 01/08/1964,       0.345
00:00:00 01/09/1964,       0.551
00:00:00 01/10/1964,       0.750
00:00:00 01/11/1964,       5.279
00:00:00 01/12/1964,       4.322
00:00:00 01/01/1965,       2.826
00:00:00 01/02/1965,       6.600
00:00:00 01/03/1965,       4.325
00:00:00 01/04/1965,       1.411
00:00:00 01/05/1965,       5.437
00:00:00 01/06/1965,       1.746
00:00:00 01/07/1965,       1.304
00:00:00 01/08/1965,       2.694
00:00:00 01/09/1965,       2.196
00:00:00 01/10/1965,       1.243
00:00:00 01/11/1965,       0.924
00:00:00 01/12/1965,       0.758
00:00:00 01/01/1966,       2.070
00:00:00 01/02/1966,       2.454
00:00:00 01/03/1966,       8.953
00:00:00 01/04/1966,       4.436
00:00:00 01/05/1966,       1.225
00:00:00 01/06/1966,       1.145
00:00:00 01/07/1966,       1.068
00:00:00 01/08/1966,       1.306
00:00:00 01/09/1966,""
00:00:00 01/10/1966,""
00:00:00 01/11/1966,       2.189
00:00:00 01/12/1966,       1.122
00:00:00 01/01/1967,       4.757
00:00:00 01/02/1967,       4.964
00:00:00 01/03/1967,      10.588
00:00:00 01/04/1967,       8.761
00:00:00 01/05/1967,       8.690
00:00:00 01/06/1967,       6.190
00:00:00 01/07/1967,       3.653
00:00:00 01/08/1967,       2.401
00:00:00 01/09/1967,       2.111
00:00:00 01/10/1967,       3.346
00:00:00 01/11/1967,       4.446
00:00:00 01/12/1967,       8.051
00:00:00 01/01/1968,       4.086
00:00:00 01/02/1968,       2.355
00:00:00 01/03/1968,       4.216
00:00:00 01/04/1968,       5.215
00:00:00 01/05/1968,       5.221
00:00:00 01/06/1968,       3.875
00:00:00 01/07/1968,       3.220
00:00:00 01/08/1968,       2.148
00:00:00 01/09/1968,       2.789
00:00:00 01/10/1968,       2.626
00:00:00 01/11/1968,       2.339
00:00:00 01/12/1968,       3.083
00:00:00 01/01/1969,       5.304
00:00:00 01/02/1969,       1.494
00:00:00 01/03/1969,       2.985
00:00:00 01/04/1969,       6.174
00:00:00 01/05/1969,       5.967
00:00:00 01/06/1969,       3.658
00:00:00 01/07/1969,       2.616
00:00:00 01/08/1969,       2.285
00:00:00 01/09/1969,       3.760
00:00:00 01/10/1969,       4.142
00:00:00 01/11/1969,       8.852
00:00:00 01/12/1969,       8.337
00:00:00 01/01/1970,      10.223
00:00:00 01/02/1970,       7.445
00:00:00 01/03/1970,       5.786
00:00:00 01/04/1970,       3.036
00:00:00 01/05/1970,       0.839
00:00:00 01/06/1970,       0.881
00:00:00 01/07/1970,       0.391
00:00:00 01/08/1970,       2.489
00:00:00 01/09/1970,       1.604
00:00:00 01/10/1970,       0.983
00:00:00 01/11/1970,       3.132
00:00:00 01/12/1970,      10.733
00:00:00 01/01/1971,      10.022
00:00:00 01/02/1971,      10.281
00:00:00 01/03/1971,       9.643
00:00:00 01/04/1971,      10.170
00:00:00 01/05/1971,      10.983
00:00:00 01/06/1971,       6.398
00:00:00 01/07/1971,       5.128
00:00:00 01/08/1971,       3.461
00:00:00 01/09/1971,       2.238
00:00:00 01/10/1971,       2.983
00:00:00 01/11/1971,       2.498
00:00:00 01/12/1971,       8.095
00:00:00 01/01/1972,      11.536
00:00:00 01/02/1972,      13.827
00:00:00 01/03/1972,       8.653
00:00:00 01/04/1972,       9.433
00:00:00 01/05/1972,       7.656
00:00:00 01/06/1972,       5.573
00:00:00 01/07/1972,       4.333
00:00:00 01/08/1972,       2.827
00:00:00 01/09/1972,       2.418
00:00:00 01/10/1972,       2.030
00:00:00 01/11/1972,       2.360
00:00:00 01/12/1972,       3.698
00:00:00 01/01/1973,       6.427
00:00:00 01/02/1973,       7.737
00:00:00 01/03/1973,       6.158
00:00:00 01/04/1973,       4.348
00:00:00 01/05/1973,       8.519
00:00:00 01/06/1973,       6.660
00:00:00 01/07/1973,       2.938
00:00:00 01/08/1973,       2.073
00:00:00 01/09/1973,       3.263
00:00:00 01/10/1973,       5.387
00:00:00 01/11/1973,       9.660
00:00:00 01/12/1973,       7.340
00:00:00 01/01/1974,       9.202
00:00:00 01/02/1974,       9.421
00:00:00 01/03/1974,       8.733
00:00:00 01/04/1974,      17.183
00:00:00 01/05/1974,      18.830
00:00:00 01/06/1974,      18.345
00:00:00 01/07/1974,      13.948
00:00:00 01/08/1974,      12.795
00:00:00 01/09/1974,      11.314
00:00:00 01/10/1974,      13.559
00:00:00 01/11/1974,      12.268
00:00:00 01/12/1974,      18.598
00:00:00 01/01/1975,      17.591
00:00:00 01/02/1975,      18.694
00:00:00 01/03/1975,      18.401
00:00:00 01/04/1975,      18.808
00:00:00 01/05/1975,      18.301
00:00:00 01/06/1975,      16.843
00:00:00 01/07/1975,      13.010
00:00:00 01/08/1975,      10.541
00:00:00 01/09/1975,      14.760
00:00:00 01/10/1975,      10.680
00:00:00 01/11/1975,      10.571
00:00:00 01/12/1975,      16.016
00:00:00 01/01/1976,      18.932
00:00:00 01/02/1976,      18.263
00:00:00 01/03/1976,      18.757
00:00:00 01/04/1976,      18.651
00:00:00 01/05/1976,      14.519
00:00:00 01/06/1976,      14.253
00:00:00 01/07/1976,      10.285
00:00:00 01/08/1976,       9.793
00:00:00 01/09/1976,       9.742
00:00:00 01/10/1976,       9.816
00:00:00 01/11/1976,      17.676
00:00:00 01/12/1976,      16.818
00:00:00 01/01/1977,      18.158
00:00:00 01/02/1977,      17.648
00:00:00 01/03/1977,      14.444
00:00:00 01/04/1977,      14.139
00:00:00 01/05/1977,      13.337
00:00:00 01/06/1977,       9.664
00:00:00 01/07/1977,      10.969
00:00:00 01/08/1977,      10.734
00:00:00 01/09/1977,      12.343
00:00:00 01/10/1977,""
00:00:00 01/11/1977,""
00:00:00 01/12/1977,""
00:00:00 01/01/1978,""
00:00:00 01/02/1978,""
00:00:00 01/03/1978,""
00:00:00 01/04/1978,""
00:00:00 01/05/1978,""
00:00:00 01/06/1978,""
