"Time","C2H021"
00:00:00 01/07/1978,""
00:00:00 01/08/1978,""
00:00:00 01/09/1978,""
00:00:00 01/10/1978,""
00:00:00 01/11/1978,      10.240
00:00:00 01/12/1978,       7.941
00:00:00 01/01/1979,       8.894
00:00:00 01/02/1979,       7.615
00:00:00 01/03/1979,       9.449
00:00:00 01/04/1979,       7.474
00:00:00 01/05/1979,       7.289
00:00:00 01/06/1979,       7.285
00:00:00 01/07/1979,       8.004
00:00:00 01/08/1979,       8.498
00:00:00 01/09/1979,      10.641
00:00:00 01/10/1979,       7.674
00:00:00 01/11/1979,      11.087
00:00:00 01/12/1979,      21.975
00:00:00 01/01/1980,      15.357
00:00:00 01/02/1980,      25.722
00:00:00 01/03/1980,      18.679
00:00:00 01/04/1980,       8.923
00:00:00 01/05/1980,       8.112
00:00:00 01/06/1980,       8.058
00:00:00 01/07/1980,       8.641
00:00:00 01/08/1980,       8.132
00:00:00 01/09/1980,       7.734
00:00:00 01/10/1980,       8.885
00:00:00 01/11/1980,       6.752
00:00:00 01/12/1980,       8.499
00:00:00 01/01/1981,      14.721
00:00:00 01/02/1981,      11.069
00:00:00 01/03/1981,      18.053
00:00:00 01/04/1981,      17.382
00:00:00 01/05/1981,       8.676
00:00:00 01/06/1981,       7.535
00:00:00 01/07/1981,       8.324
00:00:00 01/08/1981,       7.806
00:00:00 01/09/1981,       7.688
00:00:00 01/10/1981,       9.298
00:00:00 01/11/1981,       9.509
00:00:00 01/12/1981,       7.750
00:00:00 01/01/1982,       9.831
00:00:00 01/02/1982,      14.548
00:00:00 01/03/1982,       9.648
00:00:00 01/04/1982,       9.827
00:00:00 01/05/1982,       7.453
00:00:00 01/06/1982,       6.837
00:00:00 01/07/1982,       7.385
00:00:00 01/08/1982,       8.010
00:00:00 01/09/1982,       7.533
00:00:00 01/10/1982,       6.739
00:00:00 01/11/1982,       8.226
00:00:00 01/12/1982,       5.609
00:00:00 01/01/1983,       8.739
00:00:00 01/02/1983,       9.189
00:00:00 01/03/1983,       6.764
00:00:00 01/04/1983,       4.951
00:00:00 01/05/1983,       5.136
00:00:00 01/06/1983,       4.443
00:00:00 01/07/1983,       6.659
00:00:00 01/08/1983,       5.904
00:00:00 01/09/1983,       5.482
00:00:00 01/10/1983,       4.018
00:00:00 01/11/1983,       6.459
00:00:00 01/12/1983,       7.922
00:00:00 01/01/1984,      12.058
00:00:00 01/02/1984,       8.568
00:00:00 01/03/1984,       4.006
00:00:00 01/04/1984,       5.326
00:00:00 01/05/1984,       4.660
00:00:00 01/06/1984,       4.495
00:00:00 01/07/1984,       5.973
00:00:00 01/08/1984,       6.128
00:00:00 01/09/1984,       5.806
00:00:00 01/10/1984,       5.393
00:00:00 01/11/1984,       5.444
00:00:00 01/12/1984,       6.844
00:00:00 01/01/1985,       7.153
00:00:00 01/02/1985,       7.640
00:00:00 01/03/1985,       6.677
00:00:00 01/04/1985,       8.571
00:00:00 01/05/1985,       4.376
00:00:00 01/06/1985,       4.247
00:00:00 01/07/1985,       4.959
00:00:00 01/08/1985,       5.138
00:00:00 01/09/1985,       4.177
00:00:00 01/10/1985,       4.063
00:00:00 01/11/1985,       3.307
00:00:00 01/12/1985,       7.973
00:00:00 01/01/1986,       8.249
00:00:00 01/02/1986,       9.689
00:00:00 01/03/1986,      10.988
00:00:00 01/04/1986,       6.018
00:00:00 01/05/1986,       5.889
00:00:00 01/06/1986,       4.568
00:00:00 01/07/1986,       6.037
00:00:00 01/08/1986,       5.267
00:00:00 01/09/1986,       5.112
00:00:00 01/10/1986,       4.448
00:00:00 01/11/1986,       5.131
00:00:00 01/12/1986,       8.671
00:00:00 01/01/1987,      12.149
00:00:00 01/02/1987,       9.321
00:00:00 01/03/1987,      12.403
00:00:00 01/04/1987,      10.954
00:00:00 01/05/1987,       6.963
00:00:00 01/06/1987,       5.596
00:00:00 01/07/1987,       5.574
00:00:00 01/08/1987,       5.423
00:00:00 01/09/1987,       5.589
00:00:00 01/10/1987,       6.987
00:00:00 01/11/1987,       7.809
00:00:00 01/12/1987,      11.163
00:00:00 01/01/1988,      14.938
00:00:00 01/02/1988,       9.073
00:00:00 01/03/1988,       5.101
00:00:00 01/04/1988,      15.611
00:00:00 01/05/1988,       7.464
00:00:00 01/06/1988,       5.529
00:00:00 01/07/1988,       5.444
00:00:00 01/08/1988,       5.320
00:00:00 01/09/1988,       4.543
00:00:00 01/10/1988,       6.538
00:00:00 01/11/1988,       5.114
00:00:00 01/12/1988,       5.058
00:00:00 01/01/1989,       6.662
00:00:00 01/02/1989,       7.596
00:00:00 01/03/1989,      16.847
00:00:00 01/04/1989,       8.203
00:00:00 01/05/1989,       7.115
00:00:00 01/06/1989,       7.006
00:00:00 01/07/1989,       8.274
00:00:00 01/08/1989,       6.396
00:00:00 01/09/1989,       6.069
00:00:00 01/10/1989,       5.034
00:00:00 01/11/1989,       4.466
00:00:00 01/12/1989,       7.498
00:00:00 01/01/1990,      11.184
00:00:00 01/02/1990,       7.064
00:00:00 01/03/1990,      10.314
00:00:00 01/04/1990,       7.995
00:00:00 01/05/1990,       9.137
00:00:00 01/06/1990,      10.025
00:00:00 01/07/1990,       6.484
00:00:00 01/08/1990,       5.943
00:00:00 01/09/1990,       5.813
00:00:00 01/10/1990,       5.110
00:00:00 01/11/1990,       4.969
00:00:00 01/12/1990,       4.776
00:00:00 01/01/1991,       8.494
00:00:00 01/02/1991,       8.743
00:00:00 01/03/1991,      16.574
00:00:00 01/04/1991,      20.049
00:00:00 01/05/1991,       6.725
00:00:00 01/06/1991,       5.393
00:00:00 01/07/1991,       6.346
00:00:00 01/08/1991,       6.743
00:00:00 01/09/1991,       5.628
00:00:00 01/10/1991,       4.764
00:00:00 01/11/1991,       5.597
00:00:00 01/12/1991,       5.908
00:00:00 01/01/1992,       5.652
00:00:00 01/02/1992,       5.164
00:00:00 01/03/1992,       6.244
00:00:00 01/04/1992,       4.609
00:00:00 01/05/1992,       5.147
00:00:00 01/06/1992,       4.523
00:00:00 01/07/1992,       5.776
00:00:00 01/08/1992,       5.355
00:00:00 01/09/1992,       5.464
00:00:00 01/10/1992,       4.724
00:00:00 01/11/1992,       4.173
00:00:00 01/12/1992,       7.568
00:00:00 01/01/1993,       6.523
00:00:00 01/02/1993,       6.661
00:00:00 01/03/1993,       8.770
00:00:00 01/04/1993,       9.252
00:00:00 01/05/1993,       6.625
00:00:00 01/06/1993,       4.748
00:00:00 01/07/1993,       5.364
00:00:00 01/08/1993,       5.363
00:00:00 01/09/1993,       5.202
00:00:00 01/10/1993,       4.959
00:00:00 01/11/1993,       9.524
00:00:00 01/12/1993,       8.158
00:00:00 01/01/1994,       8.646
00:00:00 01/02/1994,       9.036
00:00:00 01/03/1994,      15.503
00:00:00 01/04/1994,       8.951
00:00:00 01/05/1994,       8.541
00:00:00 01/06/1994,       7.286
00:00:00 01/07/1994,       7.208
00:00:00 01/08/1994,       6.279
00:00:00 01/09/1994,       6.605
00:00:00 01/10/1994,       3.919
00:00:00 01/11/1994,       7.488
00:00:00 01/12/1994,       8.331
00:00:00 01/01/1995,       8.149
00:00:00 01/02/1995,       9.558
00:00:00 01/03/1995,       7.078
00:00:00 01/04/1995,       8.890
00:00:00 01/05/1995,      10.512
00:00:00 01/06/1995,""
00:00:00 01/07/1995,       6.625
00:00:00 01/08/1995,       5.972
00:00:00 01/09/1995,       5.670
00:00:00 01/10/1995,       3.285
00:00:00 01/11/1995,       7.296
00:00:00 01/12/1995,      10.388
00:00:00 01/01/1996,      17.058
00:00:00 01/02/1996,       0.006
00:00:00 01/03/1996,       0.000
00:00:00 01/04/1996,""
