"Time","A2H035"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/07/1964,""
00:00:00 01/08/1964,       0.187
00:00:00 01/09/1964,       0.180
00:00:00 01/10/1964,       0.174
00:00:00 01/11/1964,       0.579
00:00:00 01/12/1964,       0.220
00:00:00 01/01/1965,       0.635
00:00:00 01/02/1965,       1.293
00:00:00 01/03/1965,       0.734
00:00:00 01/04/1965,       0.187
00:00:00 01/05/1965,       0.199
00:00:00 01/06/1965,       0.191
00:00:00 01/07/1965,       0.187
00:00:00 01/08/1965,       0.187
00:00:00 01/09/1965,       0.187
00:00:00 01/10/1965,       0.191
00:00:00 01/11/1965,       0.177
00:00:00 01/12/1965,       0.721
00:00:00 01/01/1966,       0.630
00:00:00 01/02/1966,       0.729
00:00:00 01/03/1966,       1.073
00:00:00 01/04/1966,       0.199
00:00:00 01/05/1966,       0.190
00:00:00 01/06/1966,       0.174
00:00:00 01/07/1966,       0.174
00:00:00 01/08/1966,       0.174
00:00:00 01/09/1966,       0.174
00:00:00 01/10/1966,       0.174
00:00:00 01/11/1966,       0.581
00:00:00 01/12/1966,       0.263
00:00:00 01/01/1967,       1.197
00:00:00 01/02/1967,       0.923
00:00:00 01/03/1967,       1.797
00:00:00 01/04/1967,       0.605
00:00:00 01/05/1967,       0.526
00:00:00 01/06/1967,       0.345
00:00:00 01/07/1967,       0.315
00:00:00 01/08/1967,       0.293
00:00:00 01/09/1967,       0.275
00:00:00 01/10/1967,       0.270
00:00:00 01/11/1967,       1.304
00:00:00 01/12/1967,       0.319
00:00:00 01/01/1968,       0.333
00:00:00 01/02/1968,       0.362
00:00:00 01/03/1968,       0.281
00:00:00 01/04/1968,       0.321
00:00:00 01/05/1968,       0.266
00:00:00 01/06/1968,       0.235
00:00:00 01/07/1968,       0.216
00:00:00 01/08/1968,       0.211
00:00:00 01/09/1968,       0.211
00:00:00 01/10/1968,       0.211
00:00:00 01/11/1968,       0.199
00:00:00 01/12/1968,       0.203
00:00:00 01/01/1969,       0.202
00:00:00 01/02/1969,       0.209
00:00:00 01/03/1969,       0.234
00:00:00 01/04/1969,       0.276
00:00:00 01/05/1969,       0.258
00:00:00 01/06/1969,       0.245
00:00:00 01/07/1969,       0.206
00:00:00 01/08/1969,       0.198
00:00:00 01/09/1969,       0.187
00:00:00 01/10/1969,       0.194
00:00:00 01/11/1969,       0.989
00:00:00 01/12/1969,       0.336
00:00:00 01/01/1970,       0.223
00:00:00 01/02/1970,       0.223
00:00:00 01/03/1970,       0.226
00:00:00 01/04/1970,       0.227
00:00:00 01/05/1970,       0.211
00:00:00 01/06/1970,       0.203
00:00:00 01/07/1970,       0.199
00:00:00 01/08/1970,       0.189
00:00:00 01/09/1970,       0.187
00:00:00 01/10/1970,       0.187
00:00:00 01/11/1970,       0.187
00:00:00 01/12/1970,       0.218
00:00:00 01/01/1971,       2.828
00:00:00 01/02/1971,       8.018
00:00:00 01/03/1971,       9.516
00:00:00 01/04/1971,       0.477
00:00:00 01/05/1971,       1.391
00:00:00 01/06/1971,       0.239
00:00:00 01/07/1971,       0.220
00:00:00 01/08/1971,       0.211
00:00:00 01/09/1971,       0.208
00:00:00 01/10/1971,       0.254
00:00:00 01/11/1971,       0.236
00:00:00 01/12/1971,       4.572
00:00:00 01/01/1972,       3.982
00:00:00 01/02/1972,""
00:00:00 01/03/1972,""
00:00:00 01/04/1972,""
00:00:00 01/05/1972,""
00:00:00 01/06/1972,""
00:00:00 01/07/1972,""
00:00:00 01/08/1972,""
00:00:00 01/09/1972,""
00:00:00 01/10/1972,""
00:00:00 01/11/1972,""
00:00:00 01/12/1972,""
00:00:00 01/01/1973,""
00:00:00 01/02/1973,""
00:00:00 01/03/1973,""
00:00:00 01/04/1973,""
00:00:00 01/05/1973,""
00:00:00 01/06/1973,""
00:00:00 01/07/1973,""
00:00:00 01/08/1973,""
00:00:00 01/09/1973,""
00:00:00 01/10/1973,       0.270
00:00:00 01/11/1973,       0.307
00:00:00 01/12/1973,       0.308
00:00:00 01/01/1974,       0.399
00:00:00 01/02/1974,       0.723
00:00:00 01/03/1974,       0.450
00:00:00 01/04/1974,       0.532
00:00:00 01/05/1974,       0.510
00:00:00 01/06/1974,       0.271
00:00:00 01/07/1974,       0.269
00:00:00 01/08/1974,       0.263
00:00:00 01/09/1974,       0.269
00:00:00 01/10/1974,       0.268
00:00:00 01/11/1974,       0.254
00:00:00 01/12/1974,       0.585
00:00:00 01/01/1975,       2.586
00:00:00 01/02/1975,       1.126
00:00:00 01/03/1975,       0.866
00:00:00 01/04/1975,       0.554
00:00:00 01/05/1975,       1.046
00:00:00 01/06/1975,       0.759
00:00:00 01/07/1975,       1.702
00:00:00 01/08/1975,       0.405
00:00:00 01/09/1975,       0.310
00:00:00 01/10/1975,       0.293
00:00:00 01/11/1975,       0.289
00:00:00 01/12/1975,       0.306
00:00:00 01/01/1976,       1.341
00:00:00 01/02/1976,       0.454
00:00:00 01/03/1976,       0.441
00:00:00 01/04/1976,       1.725
00:00:00 01/05/1976,       0.521
00:00:00 01/06/1976,       0.817
00:00:00 01/07/1976,       0.467
00:00:00 01/08/1976,       0.472
00:00:00 01/09/1976,       0.418
00:00:00 01/10/1976,       0.352
00:00:00 01/11/1976,       1.515
00:00:00 01/12/1976,       0.953
00:00:00 01/01/1977,       0.355
00:00:00 01/02/1977,       0.382
00:00:00 01/03/1977,       2.044
00:00:00 01/04/1977,       1.962
00:00:00 01/05/1977,       2.469
00:00:00 01/06/1977,       0.661
00:00:00 01/07/1977,       0.543
00:00:00 01/08/1977,       0.511
00:00:00 01/09/1977,       0.472
00:00:00 01/10/1977,       0.471
00:00:00 01/11/1977,       0.419
00:00:00 01/12/1977,       0.496
00:00:00 01/01/1978,       0.484
00:00:00 01/02/1978,       2.097
00:00:00 01/03/1978,       7.812
00:00:00 01/04/1978,       4.322
00:00:00 01/05/1978,       0.669
00:00:00 01/06/1978,       0.572
00:00:00 01/07/1978,       0.566
00:00:00 01/08/1978,       0.516
00:00:00 01/09/1978,       0.523
00:00:00 01/10/1978,       0.532
00:00:00 01/11/1978,       0.536
00:00:00 01/12/1978,""
00:00:00 01/01/1979,""
00:00:00 01/02/1979,""
00:00:00 01/03/1979,""
00:00:00 01/04/1979,""
00:00:00 01/05/1979,""
00:00:00 01/06/1979,""
00:00:00 01/07/1979,""
00:00:00 01/08/1979,""
00:00:00 01/09/1979,""
00:00:00 01/10/1979,""
00:00:00 01/11/1979,""
00:00:00 01/12/1979,""
00:00:00 01/01/1980,""
00:00:00 01/02/1980,       0.666
00:00:00 01/03/1980,       0.575
00:00:00 01/04/1980,       0.407
00:00:00 01/05/1980,       0.407
00:00:00 01/06/1980,       0.407
00:00:00 01/07/1980,       0.407
00:00:00 01/08/1980,       0.404
00:00:00 01/09/1980,       0.375
00:00:00 01/10/1980,       0.424
00:00:00 01/11/1980,       0.380
00:00:00 01/12/1980,       0.529
00:00:00 01/01/1981,       1.076
00:00:00 01/02/1981,       0.602
00:00:00 01/03/1981,       0.485
00:00:00 01/04/1981,       0.547
00:00:00 01/05/1981,       0.400
00:00:00 01/06/1981,       0.394
00:00:00 01/07/1981,       0.379
00:00:00 01/08/1981,       0.384
00:00:00 01/09/1981,       0.368
00:00:00 01/10/1981,       0.378
00:00:00 01/11/1981,       0.386
00:00:00 01/12/1981,""
00:00:00 01/01/1982,""
00:00:00 01/02/1982,""
00:00:00 01/03/1982,       0.532
00:00:00 01/04/1982,       0.432
00:00:00 01/05/1982,       0.392
00:00:00 01/06/1982,       0.373
00:00:00 01/07/1982,       0.369
00:00:00 01/08/1982,       0.373
00:00:00 01/09/1982,       0.374
00:00:00 01/10/1982,""
