"Time","A2H044"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/08/1971,""
00:00:00 01/09/1971,       1.045
00:00:00 01/10/1971,       1.715
00:00:00 01/11/1971,       1.242
00:00:00 01/12/1971,       4.192
00:00:00 01/01/1972,       3.600
00:00:00 01/02/1972,      10.385
00:00:00 01/03/1972,       2.122
00:00:00 01/04/1972,       3.114
00:00:00 01/05/1972,       1.514
00:00:00 01/06/1972,       1.249
00:00:00 01/07/1972,       1.164
00:00:00 01/08/1972,       1.172
00:00:00 01/09/1972,""
00:00:00 01/10/1972,""
00:00:00 01/11/1972,       1.709
00:00:00 01/12/1972,       2.764
00:00:00 01/01/1973,       2.864
00:00:00 01/02/1973,       1.586
00:00:00 01/03/1973,       1.759
00:00:00 01/04/1973,       2.654
00:00:00 01/05/1973,""
00:00:00 01/06/1973,       1.183
00:00:00 01/07/1973,       1.140
00:00:00 01/08/1973,       1.107
00:00:00 01/09/1973,       1.179
00:00:00 01/10/1973,       1.581
00:00:00 01/11/1973,       2.472
00:00:00 01/12/1973,       2.906
00:00:00 01/01/1974,       3.001
00:00:00 01/02/1974,       2.524
00:00:00 01/03/1974,       3.719
00:00:00 01/04/1974,       3.551
00:00:00 01/05/1974,       5.607
00:00:00 01/06/1974,       1.900
00:00:00 01/07/1974,       1.487
00:00:00 01/08/1974,       1.483
00:00:00 01/09/1974,       1.314
00:00:00 01/10/1974,       1.419
00:00:00 01/11/1974,       1.734
00:00:00 01/12/1974,       5.743
00:00:00 01/01/1975,       4.603
00:00:00 01/02/1975,      15.907
00:00:00 01/03/1975,      10.819
00:00:00 01/04/1975,       3.847
00:00:00 01/05/1975,       7.418
00:00:00 01/06/1975,       3.061
00:00:00 01/07/1975,       2.230
00:00:00 01/08/1975,       2.153
00:00:00 01/09/1975,       1.713
00:00:00 01/10/1975,       1.394
00:00:00 01/11/1975,       1.272
00:00:00 01/12/1975,       3.595
00:00:00 01/01/1976,       5.381
00:00:00 01/02/1976,       6.965
00:00:00 01/03/1976,       6.813
00:00:00 01/04/1976,      10.051
00:00:00 01/05/1976,       5.418
00:00:00 01/06/1976,      11.137
00:00:00 01/07/1976,       3.155
00:00:00 01/08/1976,       2.718
00:00:00 01/09/1976,       2.107
00:00:00 01/10/1976,       1.890
00:00:00 01/11/1976,       5.615
00:00:00 01/12/1976,       2.975
00:00:00 01/01/1977,       3.205
00:00:00 01/02/1977,       4.245
00:00:00 01/03/1977,       9.151
00:00:00 01/04/1977,       7.129
00:00:00 01/05/1977,       4.491
00:00:00 01/06/1977,       2.329
00:00:00 01/07/1977,       2.097
00:00:00 01/08/1977,       2.091
00:00:00 01/09/1977,       2.182
00:00:00 01/10/1977,       2.975
00:00:00 01/11/1977,       2.541
00:00:00 01/12/1977,       3.583
00:00:00 01/01/1978,       2.543
00:00:00 01/02/1978,      18.845
00:00:00 01/03/1978,      14.664
00:00:00 01/04/1978,       6.802
00:00:00 01/05/1978,       4.530
00:00:00 01/06/1978,       2.410
00:00:00 01/07/1978,       2.524
00:00:00 01/08/1978,       2.521
00:00:00 01/09/1978,       2.683
00:00:00 01/10/1978,       2.457
00:00:00 01/11/1978,       2.432
00:00:00 01/12/1978,       2.227
00:00:00 01/01/1979,       1.965
00:00:00 01/02/1979,       2.685
00:00:00 01/03/1979,       2.864
00:00:00 01/04/1979,       2.249
00:00:00 01/05/1979,       1.945
00:00:00 01/06/1979,       1.613
00:00:00 01/07/1979,       1.536
00:00:00 01/08/1979,       1.874
00:00:00 01/09/1979,       2.194
00:00:00 01/10/1979,       1.969
00:00:00 01/11/1979,       2.570
00:00:00 01/12/1979,       7.660
00:00:00 01/01/1980,       4.222
00:00:00 01/02/1980,       6.186
00:00:00 01/03/1980,       7.565
00:00:00 01/04/1980,       4.321
00:00:00 01/05/1980,       2.314
00:00:00 01/06/1980,       1.888
00:00:00 01/07/1980,       1.956
00:00:00 01/08/1980,       1.915
00:00:00 01/09/1980,       1.725
00:00:00 01/10/1980,       2.375
00:00:00 01/11/1980,       1.656
00:00:00 01/12/1980,       2.838
00:00:00 01/01/1981,       4.336
00:00:00 01/02/1981,       4.400
00:00:00 01/03/1981,       4.896
00:00:00 01/04/1981,       6.336
00:00:00 01/05/1981,       2.539
00:00:00 01/06/1981,       2.360
00:00:00 01/07/1981,       2.430
00:00:00 01/08/1981,       2.127
00:00:00 01/09/1981,       2.219
00:00:00 01/10/1981,       2.616
00:00:00 01/11/1981,       3.451
00:00:00 01/12/1981,       1.932
00:00:00 01/01/1982,       3.249
00:00:00 01/02/1982,       5.676
00:00:00 01/03/1982,       3.240
00:00:00 01/04/1982,       2.522
00:00:00 01/05/1982,       2.192
00:00:00 01/06/1982,       1.916
00:00:00 01/07/1982,       2.036
00:00:00 01/08/1982,       2.294
00:00:00 01/09/1982,       1.903
00:00:00 01/10/1982,       1.688
00:00:00 01/11/1982,       2.423
00:00:00 01/12/1982,       2.245
00:00:00 01/01/1983,       2.975
00:00:00 01/02/1983,       3.340
00:00:00 01/03/1983,       2.340
00:00:00 01/04/1983,       2.006
00:00:00 01/05/1983,       1.612
00:00:00 01/06/1983,       1.545
00:00:00 01/07/1983,       2.024
00:00:00 01/08/1983,       1.696
00:00:00 01/09/1983,       1.594
00:00:00 01/10/1983,       1.313
00:00:00 01/11/1983,       2.167
00:00:00 01/12/1983,       3.885
00:00:00 01/01/1984,       5.823
00:00:00 01/02/1984,       3.158
00:00:00 01/03/1984,       1.376
00:00:00 01/04/1984,       2.664
00:00:00 01/05/1984,       1.628
00:00:00 01/06/1984,       1.310
00:00:00 01/07/1984,       1.575
00:00:00 01/08/1984,       1.628
00:00:00 01/09/1984,       1.305
00:00:00 01/10/1984,       1.210
00:00:00 01/11/1984,       2.509
00:00:00 01/12/1984,       2.289
00:00:00 01/01/1985,       2.839
00:00:00 01/02/1985,       5.236
00:00:00 01/03/1985,       2.200
00:00:00 01/04/1985,       2.771
00:00:00 01/05/1985,       1.296
00:00:00 01/06/1985,       1.470
00:00:00 01/07/1985,       1.448
00:00:00 01/08/1985,       1.541
00:00:00 01/09/1985,       1.379
00:00:00 01/10/1985,       1.846
00:00:00 01/11/1985,       3.140
00:00:00 01/12/1985,       6.806
00:00:00 01/01/1986,       3.970
00:00:00 01/02/1986,       3.265
00:00:00 01/03/1986,       3.107
00:00:00 01/04/1986,       2.306
00:00:00 01/05/1986,       2.062
00:00:00 01/06/1986,       1.289
00:00:00 01/07/1986,       1.757
00:00:00 01/08/1986,       1.445
00:00:00 01/09/1986,       1.372
00:00:00 01/10/1986,       1.218
00:00:00 01/11/1986,       2.275
00:00:00 01/12/1986,       5.562
00:00:00 01/01/1987,       5.104
00:00:00 01/02/1987,""
00:00:00 01/03/1987,       7.259
00:00:00 01/04/1987,       9.759
00:00:00 01/05/1987,       2.948
00:00:00 01/06/1987,       2.016
00:00:00 01/07/1987,       1.873
00:00:00 01/08/1987,       1.925
00:00:00 01/09/1987,       1.995
00:00:00 01/10/1987,       5.835
00:00:00 01/11/1987,       3.124
00:00:00 01/12/1987,       5.892
00:00:00 01/01/1988,       6.431
00:00:00 01/02/1988,       4.089
00:00:00 01/03/1988,       2.823
00:00:00 01/04/1988,       9.305
00:00:00 01/05/1988,       2.813
00:00:00 01/06/1988,       2.102
00:00:00 01/07/1988,       2.069
00:00:00 01/08/1988,""
00:00:00 01/09/1988,       1.753
00:00:00 01/10/1988,       2.752
00:00:00 01/11/1988,       2.474
00:00:00 01/12/1988,       2.183
00:00:00 01/01/1989,       4.301
00:00:00 01/02/1989,       3.879
00:00:00 01/03/1989,      11.942
00:00:00 01/04/1989,       4.764
00:00:00 01/05/1989,       2.889
00:00:00 01/06/1989,       2.541
00:00:00 01/07/1989,       3.497
00:00:00 01/08/1989,       2.185
00:00:00 01/09/1989,       1.971
00:00:00 01/10/1989,       1.652
00:00:00 01/11/1989,       1.917
00:00:00 01/12/1989,       5.483
00:00:00 01/01/1990,       3.640
00:00:00 01/02/1990,       2.490
00:00:00 01/03/1990,       4.115
00:00:00 01/04/1990,       3.702
00:00:00 01/05/1990,       5.127
00:00:00 01/06/1990,       3.082
00:00:00 01/07/1990,       2.517
00:00:00 01/08/1990,       2.522
00:00:00 01/09/1990,       2.050
00:00:00 01/10/1990,       1.800
00:00:00 01/11/1990,       2.163
00:00:00 01/12/1990,       1.730
00:00:00 01/01/1991,       4.045
00:00:00 01/02/1991,       4.841
00:00:00 01/03/1991,       6.907
00:00:00 01/04/1991,       5.786
00:00:00 01/05/1991,       2.606
00:00:00 01/06/1991,       2.502
00:00:00 01/07/1991,       2.349
00:00:00 01/08/1991,       2.225
00:00:00 01/09/1991,       2.121
00:00:00 01/10/1991,       2.153
00:00:00 01/11/1991,       3.042
00:00:00 01/12/1991,       2.455
00:00:00 01/01/1992,       4.310
00:00:00 01/02/1992,       2.740
00:00:00 01/03/1992,       1.963
00:00:00 01/04/1992,       1.843
00:00:00 01/05/1992,       1.948
00:00:00 01/06/1992,       1.675
00:00:00 01/07/1992,       1.932
00:00:00 01/08/1992,       1.783
00:00:00 01/09/1992,       1.984
00:00:00 01/10/1992,       1.795
00:00:00 01/11/1992,       2.022
00:00:00 01/12/1992,       5.154
00:00:00 01/01/1993,       4.383
00:00:00 01/02/1993,       3.921
00:00:00 01/03/1993,       3.367
00:00:00 01/04/1993,       4.326
00:00:00 01/05/1993,       2.556
00:00:00 01/06/1993,       1.842
00:00:00 01/07/1993,       1.824
00:00:00 01/08/1993,       1.722
00:00:00 01/09/1993,       1.792
00:00:00 01/10/1993,       1.661
00:00:00 01/11/1993,       7.236
00:00:00 01/12/1993,       4.615
00:00:00 01/01/1994,       4.567
00:00:00 01/02/1994,       6.733
00:00:00 01/03/1994,      11.812
00:00:00 01/04/1994,       4.471
00:00:00 01/05/1994,       3.556
00:00:00 01/06/1994,       2.534
00:00:00 01/07/1994,       2.721
00:00:00 01/08/1994,       2.731
00:00:00 01/09/1994,       2.400
00:00:00 01/10/1994,       2.404
00:00:00 01/11/1994,       4.010
00:00:00 01/12/1994,       3.297
00:00:00 01/01/1995,       5.637
00:00:00 01/02/1995,       5.819
00:00:00 01/03/1995,       3.696
00:00:00 01/04/1995,       7.235
00:00:00 01/05/1995,       4.106
00:00:00 01/06/1995,       3.251
00:00:00 01/07/1995,       2.629
00:00:00 01/08/1995,       2.541
00:00:00 01/09/1995,       2.333
00:00:00 01/10/1995,       2.070
00:00:00 01/11/1995,       3.665
00:00:00 01/12/1995,       5.696
00:00:00 01/01/1996,       9.856
00:00:00 01/02/1996,       8.676
00:00:00 01/03/1996,      21.220
00:00:00 01/04/1996,       6.152
00:00:00 01/05/1996,       5.471
00:00:00 01/06/1996,       4.158
00:00:00 01/07/1996,       3.335
00:00:00 01/08/1996,       3.023
00:00:00 01/09/1996,       3.071
00:00:00 01/10/1996,       2.612
00:00:00 01/11/1996,       3.970
00:00:00 01/12/1996,       4.017
