"Time","A2H090"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/10/1978,""
00:00:00 01/11/1978,       0.526
00:00:00 01/12/1978,       0.506
00:00:00 01/01/1979,       0.499
00:00:00 01/02/1979,       0.401
00:00:00 01/03/1979,       0.506
00:00:00 01/04/1979,       0.400
00:00:00 01/05/1979,       0.424
00:00:00 01/06/1979,       0.407
00:00:00 01/07/1979,       0.425
00:00:00 01/08/1979,       0.459
00:00:00 01/09/1979,       0.518
00:00:00 01/10/1979,       0.420
00:00:00 01/11/1979,       0.559
00:00:00 01/12/1979,       0.847
00:00:00 01/01/1980,       0.517
00:00:00 01/02/1980,       1.152
00:00:00 01/03/1980,       1.610
00:00:00 01/04/1980,       0.903
00:00:00 01/05/1980,       0.428
00:00:00 01/06/1980,       0.401
00:00:00 01/07/1980,       0.396
00:00:00 01/08/1980,       0.422
00:00:00 01/09/1980,       0.386
00:00:00 01/10/1980,       0.549
00:00:00 01/11/1980,       0.345
00:00:00 01/12/1980,       0.530
00:00:00 01/01/1981,       0.674
00:00:00 01/02/1981,       0.613
00:00:00 01/03/1981,       0.722
00:00:00 01/04/1981,       0.863
00:00:00 01/05/1981,       0.466
00:00:00 01/06/1981,       0.474
00:00:00 01/07/1981,       0.456
00:00:00 01/08/1981,       0.442
00:00:00 01/09/1981,       0.405
00:00:00 01/10/1981,       0.468
00:00:00 01/11/1981,       0.646
00:00:00 01/12/1981,       0.384
00:00:00 01/01/1982,       0.504
00:00:00 01/02/1982,       0.742
00:00:00 01/03/1982,       0.851
00:00:00 01/04/1982,       0.542
00:00:00 01/05/1982,       0.413
00:00:00 01/06/1982,       0.386
00:00:00 01/07/1982,       0.404
00:00:00 01/08/1982,       0.420
00:00:00 01/09/1982,""
00:00:00 01/10/1982,       0.312
00:00:00 01/11/1982,       0.358
00:00:00 01/12/1982,       0.340
00:00:00 01/01/1983,       0.391
00:00:00 01/02/1983,       0.547
00:00:00 01/03/1983,       0.417
00:00:00 01/04/1983,       0.265
00:00:00 01/05/1983,       0.263
00:00:00 01/06/1983,       0.271
00:00:00 01/07/1983,       0.356
00:00:00 01/08/1983,       0.288
00:00:00 01/09/1983,       0.270
00:00:00 01/10/1983,       0.173
00:00:00 01/11/1983,       0.421
00:00:00 01/12/1983,       0.635
00:00:00 01/01/1984,       0.886
00:00:00 01/02/1984,       0.703
00:00:00 01/03/1984,       0.138
00:00:00 01/04/1984,       0.372
00:00:00 01/05/1984,       0.316
00:00:00 01/06/1984,       0.217
00:00:00 01/07/1984,       0.313
00:00:00 01/08/1984,       0.328
00:00:00 01/09/1984,       0.252
00:00:00 01/10/1984,       0.162
00:00:00 01/11/1984,       0.324
00:00:00 01/12/1984,       0.275
00:00:00 01/01/1985,       0.514
00:00:00 01/02/1985,       0.525
00:00:00 01/03/1985,       0.289
00:00:00 01/04/1985,       0.546
00:00:00 01/05/1985,       0.221
00:00:00 01/06/1985,       0.250
00:00:00 01/07/1985,       0.229
00:00:00 01/08/1985,       0.183
00:00:00 01/09/1985,       0.174
00:00:00 01/10/1985,       0.238
00:00:00 01/11/1985,       0.207
00:00:00 01/12/1985,       0.571
00:00:00 01/01/1986,       0.517
00:00:00 01/02/1986,       0.501
00:00:00 01/03/1986,       0.540
00:00:00 01/04/1986,       0.320
00:00:00 01/05/1986,""
00:00:00 01/06/1986,       0.293
00:00:00 01/07/1986,       0.361
00:00:00 01/08/1986,       0.275
00:00:00 01/09/1986,       0.215
00:00:00 01/10/1986,       0.152
00:00:00 01/11/1986,       0.348
00:00:00 01/12/1986,       0.893
00:00:00 01/01/1987,       1.118
00:00:00 01/02/1987,       0.750
00:00:00 01/03/1987,       0.595
00:00:00 01/04/1987,       1.295
00:00:00 01/05/1987,       0.596
00:00:00 01/06/1987,       0.379
00:00:00 01/07/1987,       0.353
00:00:00 01/08/1987,       0.342
00:00:00 01/09/1987,       0.314
00:00:00 01/10/1987,       0.753
00:00:00 01/11/1987,       0.691
00:00:00 01/12/1987,       0.861
00:00:00 01/01/1988,       1.164
00:00:00 01/02/1988,       0.840
00:00:00 01/03/1988,       0.378
00:00:00 01/04/1988,       1.004
00:00:00 01/05/1988,       0.587
00:00:00 01/06/1988,       0.385
00:00:00 01/07/1988,       0.423
00:00:00 01/08/1988,       0.415
00:00:00 01/09/1988,       0.247
00:00:00 01/10/1988,       0.374
00:00:00 01/11/1988,       0.356
00:00:00 01/12/1988,       0.248
00:00:00 01/01/1989,       0.389
00:00:00 01/02/1989,       0.610
00:00:00 01/03/1989,       1.100
00:00:00 01/04/1989,       0.495
00:00:00 01/05/1989,       0.401
00:00:00 01/06/1989,       0.531
00:00:00 01/07/1989,       0.634
00:00:00 01/08/1989,       0.385
00:00:00 01/09/1989,       0.326
00:00:00 01/10/1989,       0.258
00:00:00 01/11/1989,       0.263
00:00:00 01/12/1989,       0.865
00:00:00 01/01/1990,       0.565
00:00:00 01/02/1990,       0.199
00:00:00 01/03/1990,       0.555
00:00:00 01/04/1990,       0.650
00:00:00 01/05/1990,       0.665
00:00:00 01/06/1990,       0.616
00:00:00 01/07/1990,       0.400
00:00:00 01/08/1990,       0.334
00:00:00 01/09/1990,       0.274
00:00:00 01/10/1990,       0.215
00:00:00 01/11/1990,       0.245
00:00:00 01/12/1990,       0.149
00:00:00 01/01/1991,       0.502
00:00:00 01/02/1991,       0.610
00:00:00 01/03/1991,       1.029
00:00:00 01/04/1991,       0.886
00:00:00 01/05/1991,       0.385
00:00:00 01/06/1991,       0.324
00:00:00 01/07/1991,       0.345
00:00:00 01/08/1991,       0.352
00:00:00 01/09/1991,       0.289
00:00:00 01/10/1991,       0.213
00:00:00 01/11/1991,       0.298
00:00:00 01/12/1991,       0.257
00:00:00 01/01/1992,       0.609
00:00:00 01/02/1992,       0.324
00:00:00 01/03/1992,       0.300
00:00:00 01/04/1992,       0.269
00:00:00 01/05/1992,       0.302
00:00:00 01/06/1992,       0.259
00:00:00 01/07/1992,       0.282
00:00:00 01/08/1992,       0.250
00:00:00 01/09/1992,       0.205
00:00:00 01/10/1992,       0.142
00:00:00 01/11/1992,       0.171
00:00:00 01/12/1992,       0.648
00:00:00 01/01/1993,       0.354
00:00:00 01/02/1993,       0.218
00:00:00 01/03/1993,       0.349
00:00:00 01/04/1993,       0.713
00:00:00 01/05/1993,       0.386
00:00:00 01/06/1993,       0.228
00:00:00 01/07/1993,       0.224
00:00:00 01/08/1993,       0.216
00:00:00 01/09/1993,       0.208
00:00:00 01/10/1993,       0.183
00:00:00 01/11/1993,       0.818
00:00:00 01/12/1993,       0.668
00:00:00 01/01/1994,       0.577
00:00:00 01/02/1994,       0.968
00:00:00 01/03/1994,       1.470
00:00:00 01/04/1994,       0.704
00:00:00 01/05/1994,       0.350
00:00:00 01/06/1994,       0.300
00:00:00 01/07/1994,       0.279
00:00:00 01/08/1994,       0.294
00:00:00 01/09/1994,       0.301
00:00:00 01/10/1994,       0.262
00:00:00 01/11/1994,       0.335
00:00:00 01/12/1994,       0.460
00:00:00 01/01/1995,       0.587
00:00:00 01/02/1995,       0.518
00:00:00 01/03/1995,       0.407
00:00:00 01/04/1995,       0.527
00:00:00 01/05/1995,       0.465
00:00:00 01/06/1995,       0.412
00:00:00 01/07/1995,       0.308
00:00:00 01/08/1995,       0.262
00:00:00 01/09/1995,       0.231
00:00:00 01/10/1995,       0.209
00:00:00 01/11/1995,       0.354
00:00:00 01/12/1995,       0.878
00:00:00 01/01/1996,       1.494
00:00:00 01/02/1996,       1.314
00:00:00 01/03/1996,       2.305
00:00:00 01/04/1996,       1.711
00:00:00 01/05/1996,       1.338
00:00:00 01/06/1996,       0.991
00:00:00 01/07/1996,       0.754
00:00:00 01/08/1996,       0.705
00:00:00 01/09/1996,       0.608
00:00:00 01/10/1996,       0.439
00:00:00 01/11/1996,       0.437
00:00:00 01/12/1996,       0.666
00:00:00 01/01/1997,       1.010
00:00:00 01/02/1997,       1.369
00:00:00 01/03/1997,       0.701
00:00:00 01/04/1997,       1.982
00:00:00 01/05/1997,       1.716
00:00:00 01/06/1997,       1.289
00:00:00 01/07/1997,       1.444
00:00:00 01/08/1997,       1.095
00:00:00 01/09/1997,       0.817
00:00:00 01/10/1997,       0.783
00:00:00 01/11/1997,       0.531
00:00:00 01/12/1997,       0.770
00:00:00 01/01/1998,       0.968
00:00:00 01/02/1998,       1.364
00:00:00 01/03/1998,       0.772
00:00:00 01/04/1998,       0.630
00:00:00 01/05/1998,       0.489
00:00:00 01/06/1998,       0.418
00:00:00 01/07/1998,       0.403
00:00:00 01/08/1998,       0.398
00:00:00 01/09/1998,       0.311
00:00:00 01/10/1998,       0.298
00:00:00 01/11/1998,       0.551
00:00:00 01/12/1998,       1.344
00:00:00 01/01/1999,       1.261
00:00:00 01/02/1999,       1.203
00:00:00 01/03/1999,       0.886
00:00:00 01/04/1999,       0.625
00:00:00 01/05/1999,       0.668
00:00:00 01/06/1999,       0.784
00:00:00 01/07/1999,       0.532
00:00:00 01/08/1999,       0.455
00:00:00 01/09/1999,       0.388
00:00:00 01/10/1999,       0.321
00:00:00 01/11/1999,       0.237
00:00:00 01/12/1999,       0.240
00:00:00 01/01/2000,       0.683
00:00:00 01/02/2000,       1.143
00:00:00 01/03/2000,       1.651
00:00:00 01/04/2000,       1.977
00:00:00 01/05/2000,       1.866
00:00:00 01/06/2000,       1.101
00:00:00 01/07/2000,       0.905
00:00:00 01/08/2000,       0.723
00:00:00 01/09/2000,       0.588
00:00:00 01/10/2000,       0.363
00:00:00 01/11/2000,       0.409
00:00:00 01/12/2000,       0.479
00:00:00 01/01/2001,       0.723
00:00:00 01/02/2001,       0.568
00:00:00 01/03/2001,       0.848
00:00:00 01/04/2001,       0.877
00:00:00 01/05/2001,       0.580
00:00:00 01/06/2001,       0.880
00:00:00 01/07/2001,       0.596
00:00:00 01/08/2001,       0.572
00:00:00 01/09/2001,       0.497
00:00:00 01/10/2001,       0.622
00:00:00 01/11/2001,       0.651
00:00:00 01/12/2001,       0.988
00:00:00 01/01/2002,       0.860
00:00:00 01/02/2002,       0.730
00:00:00 01/03/2002,       0.895
00:00:00 01/04/2002,       0.571
00:00:00 01/05/2002,       0.502
00:00:00 01/06/2002,       0.473
00:00:00 01/07/2002,       0.658
00:00:00 01/08/2002,       0.473
00:00:00 01/09/2002,       0.438
00:00:00 01/10/2002,       0.360
00:00:00 01/11/2002,       0.314
00:00:00 01/12/2002,       0.268
00:00:00 01/01/2003,       0.446
00:00:00 01/02/2003,       0.466
00:00:00 01/03/2003,       0.458
00:00:00 01/04/2003,       0.463
00:00:00 01/05/2003,       0.274
00:00:00 01/06/2003,       0.269
00:00:00 01/07/2003,       0.373
00:00:00 01/08/2003,       0.388
00:00:00 01/09/2003,       0.352
00:00:00 01/10/2003,       0.337
00:00:00 01/11/2003,       0.360
00:00:00 01/12/2003,       0.187
00:00:00 01/01/2004,       0.133
