"Time","C2H071"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/02/2009,""
00:00:00 01/03/2009,""
00:00:00 01/04/2009,""
00:00:00 01/05/2009,""
00:00:00 01/06/2009,""
00:00:00 01/07/2009,""
00:00:00 01/08/2009,""
00:00:00 01/09/2009,""
00:00:00 01/10/2009,""
00:00:00 01/11/2009,""
00:00:00 01/12/2009,""
00:00:00 01/01/2010,""
00:00:00 01/02/2010,""
00:00:00 01/03/2010,""
00:00:00 01/04/2010,""
00:00:00 01/05/2010,""
00:00:00 01/06/2010,""
00:00:00 01/07/2010,""
00:00:00 01/08/2010,""
00:00:00 01/09/2010,""
00:00:00 01/10/2010,""
00:00:00 01/11/2010,""
00:00:00 01/12/2010,""
00:00:00 01/01/2011,""
00:00:00 01/02/2011,""
00:00:00 01/03/2011,""
00:00:00 01/04/2011,""
00:00:00 01/05/2011,""
00:00:00 01/06/2011,""
00:00:00 01/07/2011,""
00:00:00 01/08/2011,      14.645
00:00:00 01/09/2011,      13.840
00:00:00 01/10/2011,      12.031
00:00:00 01/11/2011,      13.345
00:00:00 01/12/2011,      14.255
00:00:00 01/01/2012,      17.485
00:00:00 01/02/2012,      20.970
00:00:00 01/03/2012,      19.960
00:00:00 01/04/2012,      16.426
00:00:00 01/05/2012,      13.990
00:00:00 01/06/2012,      12.396
00:00:00 01/07/2012,      12.766
00:00:00 01/08/2012,      12.811
00:00:00 01/09/2012,      13.031
00:00:00 01/10/2012,      22.191
00:00:00 01/11/2012,      16.393
00:00:00 01/12/2012,      17.375
00:00:00 01/01/2013,      21.379
00:00:00 01/02/2013,      21.012
00:00:00 01/03/2013,      19.266
00:00:00 01/04/2013,      14.265
00:00:00 01/05/2013,      30.172
00:00:00 01/06/2013,      15.958
00:00:00 01/07/2013,      14.030
00:00:00 01/08/2013,      13.615
00:00:00 01/09/2013,      13.281
00:00:00 01/10/2013,      12.033
00:00:00 01/11/2013,      14.919
00:00:00 01/12/2013,      15.959
00:00:00 01/01/2014,      27.407
00:00:00 01/02/2014,      15.279
00:00:00 01/03/2014,      24.769
00:00:00 01/04/2014,      40.299
00:00:00 01/05/2014,      16.671
00:00:00 01/06/2014,      14.115
00:00:00 01/07/2014,      12.907
00:00:00 01/08/2014,      10.670
00:00:00 01/09/2014,""
00:00:00 01/10/2014,""
00:00:00 01/11/2014,""
00:00:00 01/12/2014,""
00:00:00 01/01/2015,      22.446
00:00:00 01/02/2015,      16.910
00:00:00 01/03/2015,      12.413
00:00:00 01/04/2015,      13.405
00:00:00 01/05/2015,      16.310
00:00:00 01/06/2015,      11.480
00:00:00 01/07/2015,      10.207
00:00:00 01/08/2015,       7.692
00:00:00 01/09/2015,      10.246
00:00:00 01/10/2015,      10.917
00:00:00 01/11/2015,       8.676
00:00:00 01/12/2015,       4.910
00:00:00 01/01/2016,      14.267
00:00:00 01/02/2016,      25.222
00:00:00 01/03/2016,      16.402
00:00:00 01/04/2016,      15.525
00:00:00 01/05/2016,      10.929
00:00:00 01/06/2016,      11.955
00:00:00 01/07/2016,      13.224
00:00:00 01/08/2016,      15.638
00:00:00 01/09/2016,      16.027
00:00:00 01/10/2016,      14.321
00:00:00 01/11/2016,""
00:00:00 01/12/2016,""
00:00:00 01/01/2017,""
00:00:00 01/02/2017,""
00:00:00 01/03/2017,""
00:00:00 01/04/2017,""
00:00:00 01/05/2017,""
00:00:00 01/06/2017,""
00:00:00 01/07/2017,""
00:00:00 01/08/2017,""
00:00:00 01/09/2017,      12.340
00:00:00 01/10/2017,      11.365
00:00:00 01/11/2017,""
00:00:00 01/12/2017,""
00:00:00 01/01/2018,""
00:00:00 01/02/2018,""
