,A2H014,
,,
,,
Time,Date,Discharge in cumecs
1/7/1938,12:00:00,0.112
1/8/1938,12:00:00,0.117
1/9/1938,12:00:00,0.105
1/10/1938,12:00:00,0.08
1/11/1938,12:00:00,0.127
1/12/1938,12:00:00,0.072
1/1/1939,12:00:00,0.39
1/2/1939,12:00:00,0.571
1/3/1939,12:00:00,2.506
1/4/1939,12:00:00,0.977
1/5/1939,12:00:00,0.31
1/6/1939,12:00:00,0.185
1/7/1939,12:00:00,0.23
1/8/1939,12:00:00,0.44
1/9/1939,12:00:00,0.255
1/10/1939,12:00:00,0.184
1/11/1939,12:00:00,0.23
1/12/1939,12:00:00,1.033
1/1/1940,12:00:00,2.066
1/2/1940,12:00:00,0.384
1/3/1940,12:00:00,0.504
1/4/1940,12:00:00,0.349
1/5/1940,12:00:00,0.226
1/6/1940,12:00:00,0.228
1/7/1940,12:00:00,0.304
1/8/1940,12:00:00,0.239
1/9/1940,12:00:00,0.158
1/10/1940,12:00:00,0.995
1/11/1940,12:00:00,0.38
1/12/1940,12:00:00,1.088
1/1/1941,12:00:00,1.136
1/2/1941,12:00:00,2.447
1/3/1941,12:00:00,1.59
1/4/1941,12:00:00,0.7
1/5/1941,12:00:00,1.526
1/6/1941,12:00:00,0.283
1/7/1941,12:00:00,0.188
1/8/1941,12:00:00,0.215
1/9/1941,12:00:00,0.209
1/10/1941,12:00:00,0.169
1/11/1941,12:00:00,0.211
1/12/1941,12:00:00,0.103
1/1/1942,12:00:00,0.743
1/2/1942,12:00:00,0.899
1/3/1942,12:00:00,0.713
1/4/1942,12:00:00,0.832
1/5/1942,12:00:00,0.224
1/6/1942,12:00:00,0.118
1/7/1942,12:00:00,0.136
1/8/1942,12:00:00,0.132
1/9/1942,12:00:00,0.208
1/10/1942,12:00:00,0.482
1/11/1942,12:00:00,0.174
1/12/1942,12:00:00,0.165
1/1/1943,12:00:00,2.776
1/2/1943,12:00:00,0.966
1/3/1943,12:00:00,0.174
1/4/1943,12:00:00,0.319
