,A2H014,
,,
,,
Time,Date,Discharge in cumecs
1/5/1991,12:00:00,0.928
1/6/1991,12:00:00,0.721
1/7/1991,12:00:00,0.82
1/8/1991,12:00:00,0.797
1/9/1991,12:00:00,0.752
1/10/1991,12:00:00,0.652
1/11/1991,12:00:00,0.857
1/12/1991,12:00:00,0.801
1/1/1992,12:00:00,1.677
1/2/1992,12:00:00,0.777
1/3/1992,12:00:00,0.726
1/4/1992,12:00:00,0.614
1/5/1992,12:00:00,0.638
1/6/1992,12:00:00,0.602
1/7/1992,12:00:00,0.608
1/8/1992,12:00:00,0.642
1/9/1992,12:00:00,0.665
1/10/1992,12:00:00,0.534
1/11/1992,12:00:00,0.556
1/12/1992,12:00:00,1.402
1/1/1993,12:00:00,1.144
1/2/1993,12:00:00,1.035
1/3/1993,12:00:00,1.43
1/4/1993,12:00:00,1.276
1/5/1993,12:00:00,0.857
1/6/1993,12:00:00,0.709
1/7/1993,12:00:00,0.688
1/8/1993,12:00:00,0.692
1/9/1993,12:00:00,0.668
1/10/1993,12:00:00,0.614
1/11/1993,12:00:00,2.277
1/12/1993,12:00:00,1.843
1/1/1994,12:00:00,1.756
1/2/1994,12:00:00,1.702
1/3/1994,12:00:00,4.022
1/4/1994,12:00:00,1.816
1/5/1994,12:00:00,1.104
1/6/1994,12:00:00,1.027
1/7/1994,12:00:00,0.932
1/8/1994,12:00:00,0.958
1/9/1994,12:00:00,0.912
1/10/1994,12:00:00,0.787
1/11/1994,12:00:00,0.92
1/12/1994,12:00:00,1.288
1/1/1995,12:00:00,1.921
1/2/1995,12:00:00,1.509
1/3/1995,12:00:00,1.378
1/4/1995,12:00:00,1.799
1/5/1995,12:00:00,1.383
1/6/1995,12:00:00,1.238
1/7/1995,12:00:00,1.074
1/8/1995,12:00:00,1.08
1/9/1995,12:00:00,0.992
1/10/1995,12:00:00,0.845
1/11/1995,12:00:00,1.116
1/12/1995,12:00:00,4.192
1/1/1996,12:00:00,6.668
1/2/1996,12:00:00,6.286
1/3/1996,12:00:00,
1/4/1996,12:00:00,7.015
1/5/1996,12:00:00,4.367
1/6/1996,12:00:00,3.693
1/7/1996,12:00:00,2.982
1/8/1996,12:00:00,2.717
1/9/1996,12:00:00,2.339
1/10/1996,12:00:00,1.759
1/11/1996,12:00:00,1.824
1/12/1996,12:00:00,2.201
1/1/1997,12:00:00,3.229
1/2/1997,12:00:00,4.736
1/3/1997,12:00:00,2.098
1/4/1997,12:00:00,13.488
1/5/1997,12:00:00,4.702
1/6/1997,12:00:00,5.439
1/7/1997,12:00:00,3.615
1/8/1997,12:00:00,2.691
1/9/1997,12:00:00,2.239
1/10/1997,12:00:00,2.44
1/11/1997,12:00:00,2.076
1/12/1997,12:00:00,3.335
1/1/1998,12:00:00,3.05
1/2/1998,12:00:00,4.97
1/3/1998,12:00:00,2.323
1/4/1998,12:00:00,1.999
1/5/1998,12:00:00,1.552
1/6/1998,12:00:00,1.424
1/7/1998,12:00:00,1.465
1/8/1998,12:00:00,1.412
1/9/1998,12:00:00,1.337
1/10/1998,12:00:00,1.466
1/11/1998,12:00:00,1.887
1/12/1998,12:00:00,4.769
1/1/1999,12:00:00,4.629
1/2/1999,12:00:00,3.649
1/3/1999,12:00:00,2.312
1/4/1999,12:00:00,1.839
1/5/1999,12:00:00,1.654
1/6/1999,12:00:00,2.072
1/7/1999,12:00:00,1.622
1/8/1999,12:00:00,1.486
1/9/1999,12:00:00,1.29
1/10/1999,12:00:00,1.195
1/11/1999,12:00:00,1.14
1/12/1999,12:00:00,1.567
1/1/2000,12:00:00,2.717
1/2/2000,12:00:00,5.345
1/3/2000,12:00:00,13.716
1/4/2000,12:00:00,10.108
1/5/2000,12:00:00,6.121
1/6/2000,12:00:00,3.936
1/7/2000,12:00:00,3.077
1/8/2000,12:00:00,2.72
1/9/2000,12:00:00,2.335
1/10/2000,12:00:00,2.199
1/11/2000,12:00:00,4.45
1/12/2000,12:00:00,5.309
1/1/2001,12:00:00,5.624
1/2/2001,12:00:00,2.543
1/3/2001,12:00:00,3.251
1/4/2001,12:00:00,
1/5/2001,12:00:00,
1/6/2001,12:00:00,3.233
1/7/2001,12:00:00,2.247
1/8/2001,12:00:00,2.219
1/9/2001,12:00:00,1.905
1/10/2001,12:00:00,2.33
1/11/2001,12:00:00,1.869
1/12/2001,12:00:00,3.556
1/1/2002,12:00:00,2.856
1/2/2002,12:00:00,2.304
1/3/2002,12:00:00,2.848
1/4/2002,12:00:00,2.415
1/5/2002,12:00:00,1.682
1/6/2002,12:00:00,1.637
1/7/2002,12:00:00,2.129
1/8/2002,12:00:00,1.606
1/9/2002,12:00:00,1.517
1/10/2002,12:00:00,1.368
1/11/2002,12:00:00,1.326
1/12/2002,12:00:00,1.202
1/1/2003,12:00:00,2.065
1/2/2003,12:00:00,1.874
1/3/2003,12:00:00,2.075
1/4/2003,12:00:00,1.674
1/5/2003,12:00:00,
1/6/2003,12:00:00,
1/7/2003,12:00:00,
1/8/2003,12:00:00,
1/9/2003,12:00:00,
1/10/2003,12:00:00,0.945
1/11/2003,12:00:00,0.934
1/12/2003,12:00:00,1.512
1/1/2004,12:00:00,1.499
1/2/2004,12:00:00,2.309
1/3/2004,12:00:00,5.167
1/4/2004,12:00:00,4.491
1/5/2004,12:00:00,3.225
1/6/2004,12:00:00,2.203
1/7/2004,12:00:00,1.955
1/8/2004,12:00:00,1.944
1/9/2004,12:00:00,1.82
1/10/2004,12:00:00,1.64
1/11/2004,12:00:00,1.557
1/12/2004,12:00:00,1.942
1/1/2005,12:00:00,2.747
1/2/2005,12:00:00,5.357
1/3/2005,12:00:00,2.345
1/4/2005,12:00:00,2.251
1/5/2005,12:00:00,2.923
1/6/2005,12:00:00,1.96
1/7/2005,12:00:00,1.891
1/8/2005,12:00:00,1.843
1/9/2005,12:00:00,1.756
1/10/2005,12:00:00,1.603
1/11/2005,12:00:00,1.585
1/12/2005,12:00:00,2.607
1/1/2006,12:00:00,2.225
1/2/2006,12:00:00,5.388
1/3/2006,12:00:00,7.618
1/4/2006,12:00:00,4.399
1/5/2006,12:00:00,2.477
1/6/2006,12:00:00,2.079
1/7/2006,12:00:00,1.991
1/8/2006,12:00:00,1.981
1/9/2006,12:00:00,2.461
1/10/2006,12:00:00,1.888
1/11/2006,12:00:00,1.886
1/12/2006,12:00:00,3.284
1/1/2007,12:00:00,4.667
1/2/2007,12:00:00,3.929
1/3/2007,12:00:00,2.343
1/4/2007,12:00:00,1.857
1/5/2007,12:00:00,2.033
1/6/2007,12:00:00,1.955
1/7/2007,12:00:00,2.472
1/8/2007,12:00:00,2.064
1/9/2007,12:00:00,1.981
1/10/2007,12:00:00,2.187
1/11/2007,12:00:00,4.758
1/12/2007,12:00:00,2.554
1/1/2008,12:00:00,3.835
1/2/2008,12:00:00,7.821
1/3/2008,12:00:00,3.689
1/4/2008,12:00:00,7.371
1/5/2008,12:00:00,3.289
1/6/2008,12:00:00,3.418
1/7/2008,12:00:00,2.745
1/8/2008,12:00:00,2.394
1/9/2008,12:00:00,2.266
1/10/2008,12:00:00,2.084
1/11/2008,12:00:00,2.456
1/12/2008,12:00:00,5.409
1/1/2009,12:00:00,3.418
1/2/2009,12:00:00,6.441
1/3/2009,12:00:00,5.155
1/4/2009,12:00:00,6.341
1/5/2009,12:00:00,2.788
1/6/2009,12:00:00,2.765
1/7/2009,12:00:00,2.737
1/8/2009,12:00:00,2.623
1/9/2009,12:00:00,2.43
1/10/2009,12:00:00,2.736
1/11/2009,12:00:00,2.701
1/12/2009,12:00:00,4.621
1/1/2010,12:00:00,5.768
1/2/2010,12:00:00,10.345
1/3/2010,12:00:00,9.352
1/4/2010,12:00:00,4.422
1/5/2010,12:00:00,6.401
1/6/2010,12:00:00,5.727
1/7/2010,12:00:00,3.135
1/8/2010,12:00:00,2.806
1/9/2010,12:00:00,2.548
1/10/2010,12:00:00,2.104
1/11/2010,12:00:00,2.178
1/12/2010,12:00:00,2.605
1/1/2011,12:00:00,6.721
1/2/2011,12:00:00,14.609
1/3/2011,12:00:00,6.225
1/4/2011,12:00:00,9.128
1/5/2011,12:00:00,5.609
1/6/2011,12:00:00,4.095
1/7/2011,12:00:00,3.9
1/8/2011,12:00:00,3.126
1/9/2011,12:00:00,3.115
1/10/2011,12:00:00,2.572
1/11/2011,12:00:00,4.008
1/12/2011,12:00:00,4.612
1/1/2012,12:00:00,8.5
1/2/2012,12:00:00,7.377
1/3/2012,12:00:00,5.36
1/4/2012,12:00:00,3.984
1/5/2012,12:00:00,3.236
1/6/2012,12:00:00,2.653
1/7/2012,12:00:00,2.642
1/8/2012,12:00:00,2.615
1/9/2012,12:00:00,2.429
1/10/2012,12:00:00,4.893
1/11/2012,12:00:00,4.561
1/12/2012,12:00:00,5.863
1/1/2013,12:00:00,5.651
1/2/2013,12:00:00,3.764
1/3/2013,12:00:00,3.837
1/4/2013,12:00:00,3.217
1/5/2013,12:00:00,5.554
1/6/2013,12:00:00,3.174
1/7/2013,12:00:00,2.906
1/8/2013,12:00:00,2.817
1/9/2013,12:00:00,2.742
1/10/2013,12:00:00,3.121
1/11/2013,12:00:00,3.158
1/12/2013,12:00:00,3.755
1/1/2014,12:00:00,8.188
1/2/2014,12:00:00,3.532
1/3/2014,12:00:00,11.78
1/4/2014,12:00:00,17.253
1/5/2014,12:00:00,5.192
1/6/2014,12:00:00,4.108
1/7/2014,12:00:00,4.019
1/8/2014,12:00:00,4.343
1/9/2014,12:00:00,3.41
1/10/2014,12:00:00,2.851
1/11/2014,12:00:00,2.924
1/12/2014,12:00:00,4.536
1/1/2015,12:00:00,7.955
1/2/2015,12:00:00,4.632
1/3/2015,12:00:00,3.479
1/4/2015,12:00:00,4.48
1/5/2015,12:00:00,3.474
1/6/2015,12:00:00,2.727
1/7/2015,12:00:00,2.677
1/8/2015,12:00:00,3.032
1/9/2015,12:00:00,2.899
1/10/2015,12:00:00,2.749
1/11/2015,12:00:00,2.206
1/12/2015,12:00:00,3.26
1/1/2016,12:00:00,3.118
1/2/2016,12:00:00,3.601
1/3/2016,12:00:00,3.627
1/4/2016,12:00:00,7.554
1/5/2016,12:00:00,2.858
1/6/2016,12:00:00,3.946
1/7/2016,12:00:00,3.122
1/8/2016,12:00:00,3.023
1/9/2016,12:00:00,3.362
1/10/2016,12:00:00,3.069
1/11/2016,12:00:00,3.124
1/12/2016,12:00:00,4.27
1/1/2017,12:00:00,4.167
1/2/2017,12:00:00,7.176
1/3/2017,12:00:00,8.526
1/4/2017,12:00:00,4.394
1/5/2017,12:00:00,4.399
1/6/2017,12:00:00,3.552
1/7/2017,12:00:00,2.96
1/8/2017,12:00:00,3.206
1/9/2017,12:00:00,2.71
1/10/2017,12:00:00,2.498
1/11/2017,12:00:00,2.895
1/12/2017,12:00:00,2.708
1/1/2018,12:00:00,6.843
1/2/2018,12:00:00,3.889
1/3/2018,12:00:00,5.462
1/4/2018,12:00:00,
1/5/2018,12:00:00,
1/6/2018,12:00:00,
1/7/2018,12:00:00,2.975
1/8/2018,12:00:00,3.139
1/9/2018,12:00:00,2.546
1/10/2018,12:00:00,2.257
1/11/2018,12:00:00,2.831
1/12/2018,12:00:00,2.566
1/1/2019,12:00:00,2.965
1/2/2019,12:00:00,6.129
1/3/2019,12:00:00,6.931
1/4/2019,12:00:00,3.102
1/5/2019,12:00:00,4.937
1/6/2019,12:00:00,2.864
1/7/2019,12:00:00,
