Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
B8H009,Great-Letaba River @ The Junction,851,-23.8793,30.36744,1960-01-12 to 2019-05-21
B8H010,Letsitele River @ Mohlabas Location,477,-23.89317,30.35765,1960-01-13 to 2019-10-12
B8H012,Madikeleni River @ Fredericksdal,1.15,-23.73404,30.06948,1961-05-22 to 1967-04-22
B8H013,Mooketsi River @ Mokeetsi,224,-23.60072,30.09531,1963-01-14 to 1976-04-30
B8H014,Great-Letaba River @ Grysappel,294,-23.88001,30.07964,1968-05-03 to 2019-10-07
B8H015,Little-Letaba River @ Rossbach,421,-23.22407,30.05364,1970-09-08 to 1973-01-05
B8H017,Great-Letaba River @ Prieska,2619,-23.64701,30.71844,1977-03-15 to 2019-09-04
B8H018,Letaba River @ Engelhardt dam Kruger National Park,12938,-23.83532,31.63744,1984-02-14 to 2019-04-02
B8H019,Tsende River @ Pioneer Dam Kruger National Park,380,-23.52622,31.39772,1984-01-04 to 2019-03-29
B8H033,Little-Letaba River @ Locatie Van Tabaan,2988,-23.28101,30.54309,1986-08-11 to 2019-07-03
B8H034,Great-Letaba River @ Black Heron Kruger National Park,10652,-23.70217,31.21661,1988-09-08 to 2019-04-01
B8H043,Ramadiepa River @ Waterval,88,-23.75071,30.10809,1977-07-01 to 1980-05-28
B8H069,Molototsi River @ Modjadjes 424 Lt,,-23.58599,30.34976,1997-09-04 to 2006-05-01
B9H001,Shisha River @ Vlakteplaas Kruger National Park,648,-22.83854,31.23709,1960-08-28 to 2019-08-21
B9H002,Shingwidzi River @ Silwervis Kruger National Park,810,-23.21628,31.22354,1983-11-15 to 2019-08-21
B9H003,Shingwidzi River @ Kanniedood Kruger National Park,4540,-23.14326,31.46262,1984-02-01 to 2013-02-19
B9H004,Mphongola River @ Sirheni Kruger National Park,739,-22.95096,31.23374,1983-11-15 to 2013-02-13
B9H005,Phugwane River @ Wik-en-Weeg Dam Kruger National Park,542,-23.0427,31.14979,1983-11-22 to 1992-12-13
C1H001,Vaal River @ Langverwyl,8193,-26.94244,29.26388,1905-02-01 to 1989-02-21
C1H002,Klip River @ Sterkfontein,4152,-27.16975,29.23331,1906-10-01 to 2019-10-03
C1H003,Vaal River @ Villiers,18616,-27.01077,28.6258,1938-08-06 to 1971-09-13
C1H004,Waterval River @ Branddrift,901,-26.62792,29.02453,1960-08-12 to 2019-10-02
C1H005,Leeu Spruit @ Welbedacht,341,-26.85425,29.32531,1964-12-04 to 2019-06-20
C1H006,Blesbok Spruit @ Rietvley,1094,-26.77589,29.5415,1964-12-11 to 2019-10-02
C1H007,Vaal River @ Goedgeluk,4686,-26.84108,29.72336,1972-10-22 to 2019-10-02
C1H008,Waterval River @ Elandslaagte,2212,-26.86133,28.88461,1973-12-12 to 2019-10-02
C1H009,Molspruit @ Leeufontein,476,-26.91658,28.43661,1974-02-25 to 1990-08-23
C1H010,Bankplaas Spruit @ Sweethome,344,-27.07438,28.5653,1974-02-21 to 1990-08-23
C1H011,Vaal River @ Grootdraai,18597,-27.01938,28.6455,1976-02-23 to 1984-02-28
C1H012,Vaal River @ Nooitgedacht,15500,-27.00231,28.76528,1985-09-23 to 2019-10-02
C1H014,Vaal River @ Langverwyl,8193,-26.94241,29.26391,1905-12-12 to 1989-02-21
C1H015,Klip River @ Steel Bridge Sterkfontein,4152,-27.17447,29.23572,1906-11-13 to 2019-08-29
C1H017,Vaal River @ Villiers,18616,-27.02314,28.59389,1980-09-30 to 2019-09-30
C1H027,Tweefontein Spruit @ Tweefontein,1337.2,-26.78075,29.80697,1994-11-15 to 2019-10-02
C1H044,Leeu Spruit @ Welbedacht,,-26.84883,29.31522,2002-08-01 to 2019-06-20
C2H002,Schoon Spruit @ Elandsheuwel,5782,-26.85269,26.63436,1905-03-01 to 1935-09-30
C2H003,Vaal River @ Elandsfontein,38660,-26.82022,28.0633,1915-10-29 to 1993-12-13
C2H005,Riet Spruit @ Kaalplaats,1121,-26.72867,27.718,1952-09-29 to 2019-09-05
C2H008,Vaal River @ Woodlands,47214,-26.7358,27.60827,1952-09-29 to 1996-10-10
C2H010,Vaal River @ Rietfontein,44665,-26.68969,27.93608,1900-11-30 to 1922-10-31
C2H014,Taaibos Spruit @ Verdun,825,-26.82438,27.92552,1952-09-29 to 1977-10-01
C2H015,Klip River @ Waldrift,2250,-26.6438,27.96438,1952-09-29 to 1977-10-01
C2H017,Vaal River @ Killarney,81593,-27.48072,26.22133,1929-11-20 to 1957-10-09
C2H018,Vaal River @ De Vaal,49120,-26.97056,27.20967,1938-10-03 to 2019-09-03
C2H021,Klip River @ Witkop,1726,-26.45411,28.0855,1952-08-27 to 1996-03-18
C2H022,Vaal River @ Balkfontein,79886,-27.39777,26.50555,1951-04-11 to 1992-11-24
C2H061,Vaal River @ Klipplaatdrift,79903,-27.38972,26.46388,1972-01-17 to 2019-05-16
C2H065,Leeudoring Spruit @ Klipspruit,860,-27.37,26.35083,1970-12-01 to 2008-03-18
C2H066,Makwassie Spruit @ Vliegekraal,1101,-27.49138,26.07444,1970-11-20 to 2008-06-24
C2H067,Sand Spruit @ Leegte,1895,-27.56064,26.2335,1971-05-02 to 2004-03-29
C2H070,Suikerbosrant River @ Platkoppie,3124,-26.6405,28.22997,1977-06-13 to 1996-02-12
C2H071,Klip River @ Kookfontein,2205,-26.61994,27.98052,2009-01-07 to 2018-01-08
C2H073,Skoon Spruit @ Goedgenoeg,5969,-26.98472,26.63228,1986-08-18 to 2008-02-25
C2H084,Skoon Spruit @ Klerksdorp,,-26.87438,26.65825,1989-11-06 to 1997-09-01
C2H085,Mooi River @ Hoogekraal,,-26.8805,26.96428,1986-09-02 to 2019-06-14
C2H093,Schoon Spruit @ Elandsheuwel,5782,-26.85266,26.63436,1906-03-09 to 1934-02-01
C2H122,Vaal River @ Annie's Rust,38620,-26.85347,28.12139,1981-01-20 to 2019-09-30
C2H124,Vaal River @ Killarney,81593,-27.48072,26.22133,1938-10-22 to 1975-07-28
C2H130,Vaal River @ Elandsfontein,38660,-26.82022,28.06331,1924-01-29 to 1961-01-14
C2H133,Blesbok Spruit @ Heidelberg,,-26.51064,28.35075,2004-06-22 to 2012-01-19
C2H136,Riet Spruit @ Waterval,,-26.45078,28.08933,2011-05-13 to 2019-07-10
C2H140,Vaal River @ Woodlands,47222,-26.73828,27.59197,1996-10-17 to 2019-09-30
C2H141,Klip River @ Witkop,1726,-26.45369,28.08578,1977-10-12 to 2011-10-11
C2H177,Blesbok Spruit @ Welgedacht,,-26.43794,28.46639,2003-11-07 to 2013-11-28
C2H234,Suikerbosrant River @ Badfontein,3356,-26.69408,28.10731,2006-01-02 to 2017-11-01
C3H002,Harts River @ Banks Drift,22512,-27.72516,24.7082,1923-10-01 to 1936-06-30
C3H003,Harts River @ Taung,10740,-27.5735,24.74598,1923-10-01 to 2019-08-15
C3H004,Droe Harts River @ Taung,10204,-27.55989,24.70625,1923-11-01 to 1947-03-31
C3H005,Harts River @ Schweizer Reneke,9259,-27.19908,25.33044,1929-10-01 to 1934-02-28
C3H006,Harts River @ Groenfontein,,-26.61801,25.57684,1929-08-01 to 1941-05-01
C3H007,Harts River @ Espagsdrif,23900,-27.9032,24.61514,1951-05-01 to 2019-08-13
C3H013,Harts River @ Spitskop,28145,-28.16291,24.47069,1967-10-21 to 1994-08-25
C3H016,Harts River @ Lloyds,30810,-28.38651,24.29707,1994-11-28 to 2019-08-13
C3H017,Harts River @ Tlapeng,10390,-27.47212,24.93043,1995-07-02 to 2019-08-15
C4H001,Vet River @ Paardevallei,5590,-28.47388,26.68333,1923-09-01 to 1949-12-01
C4H002,Vet River @ Floorsdrift,17599,-27.84027,25.90472,1935-12-13 to 1972-05-31
C4H003,Sand River @ Virginia,5407,-28.11305,26.90916,1938-10-20 to 1954-02-01
C4H004,Vet River @ Fizantkraal,16153,-27.935,26.12444,1968-09-05 to 2019-05-15
C4H011,Vet River @ Floorsdrift,17599,-27.84555,25.90888,1936-02-14 to 1957-10-14
C4H015,Vet River @ Vaalkoppies,6994,-28.14444,26.41805,2003-09-02 to 2019-05-16
C4H016,Sand River @ Bloudrif,7092,-28.11722,26.71916,1995-11-20 to 2019-05-15
C4H017,Doring River @ Mond Van Doorn River,586.35,-28.11666,26.72527,1996-05-26 to 2018-10-09
C5H001,Riet River @ Ebani,10900,-29.44756,25.08792,1912-10-01 to 1938-03-31
C5H002,Tierpoort River @ Riversford,940,-29.40451,26.10768,1913-10-09 to 1924-06-24
C5H003,Modder River @ Likatlong,1650,-29.16083,26.57222,1918-07-01 to 2019-07-17
C5H004,Modder River @ Thongrove,4917.1,-28.84537,26.18963,1919-04-01 to 1947-11-01
C5H005,Modder River @ Mazelspoort,3088,-29.04453,26.4063,1905-02-01 to 1916-09-30
C5H006,Renoster Spruit @ Bishop's Glen,697,-28.98444,26.34166,1922-11-13 to 1926-12-31
C5H007,Renoster Spruit @ Shannon Valley,348,-29.14416,26.31805,1923-10-01 to 2019-07-17
C5H008,Riet River @ Riviera,593,-29.81254,26.21185,1931-04-01 to 1986-04-01
C5H009,Ospoort Spruit @ Os Poort,191,-29.90254,26.21462,1931-03-01 to 1986-05-11
C5H010,Kromellenboogspruit @ Boomplaats,1849,-29.83448,25.64655,1931-03-01 to 1948-08-01
C5H011,Ruigte Spruit @ Last Poort,260,-29.81199,26.33741,1934-01-01 to 1949-03-22
C5H012,Riet River @ Kromdraai,2372,-29.65805,25.97277,1936-04-01 to 2019-09-10
C5H013,Modder River @ Perdeberg,15011,-28.9887,25.08293,1948-05-01 to 1956-09-30
C5H014,Riet River @ Klipdrift,31233,-29.0425,24.59916,1938-10-17 to 2019-10-09
C5H015,Modder River @ Stoomhoek,6400,-28.80788,26.11185,1949-01-01 to 1983-11-22
C5H016,Riet River @ Estate Biesiesbult,33351,-28.96036,24.24207,1953-02-01 to 1999-03-10
C5H017,Modder River @ Likatlong,,-29.05036,26.46213,1920-01-24 to 1952-03-02
C5H018,Modder River @ Twee River,17315,-29.04369,24.64041,1960-01-11 to 1999-03-15
C5H020,Trompsburgfontein @ Trompsburg,,-30.03864,25.77822,1968-11-01 to 1993-12-30
C5H022,Kgabanyane River @ Bedford,38,-29.28583,26.92083,1980-10-14 to 2019-07-18
C5H023,Kgabanyane River @ Dankbaar,181,-29.28611,26.76361,1983-06-04 to 2008-09-23
C5H035,Modder River @ Tweeriviere,17313,-29.02861,24.63833,1989-08-03 to 2019-10-09
C5H045,Riet River @ Ebani,10900,-29.44756,25.08792,1914-11-24 to 1936-11-20
C5H046,Modder River @ Thongrove,4039,-28.84537,26.18963,1920-02-28 to 1925-05-31
C5H047,Modder River @ Perdeberg,15011,-28.9887,25.08293,1949-02-27 to 1955-02-16
C5H048,Contact Region For Correct Data: C5H057 Influences Data,34602,-29.03277,23.98277,1990-07-06 to 2019-07-18
C5H053,Modder River @ Glen,4542,-28.94861,26.32111,1999-11-29 to 2019-05-10
C5H054,Renoster Spruit @ Bishop's Glen,688,-28.96666,26.33277,1995-10-18 to 2019-05-10
C5H056,Modder River @ Diepwater,0,-29.37555,26.66555,2002-01-30 to 2019-09-10
C6H001,Vals River @ Roodewal,5674,-27.44138,26.98583,1913-01-15 to 2019-10-02
C6H002,Vals River @ Grootdraai,7773,-27.39861,26.61333,1950-12-06 to 2019-10-02
C6H003,Vals River @ Mooifontein,7765,-27.4,26.62555,1967-03-22 to 2010-02-17
C6H004,Vals River @ Klipfontein,856,-27.93583,27.99638,1964-06-01 to 1988-03-08
C6H005,Vals River @ Roodewal,5674,-27.44138,26.98638,1913-10-13 to 1934-08-19
C6H006,Vals River @ Tweefontein,7337,-27.47611,26.65694,2002-08-28 to 2019-08-22
C6H007,Vals River @ Kroonstad,3289,-27.67138,27.23694,1994-10-01 to 2019-08-22
C6H009,Vals River @ Lindley,1103,-27.8725,27.91416,2002-10-08 to 2019-07-23
C7H001,Renoster River @ Junction,5227,-27.26527,27.17277,1923-09-01 to 2019-05-15
C7H002,Heuning Spruit @ Wonderheuvel,1085,-27.29166,27.2075,1930-03-13 to 1947-11-01
C7H003,Heuning Spruit @ Dankbaar,914,-27.35611,27.28555,1947-11-01 to 2019-01-24
C7H004,Renoster River @ Schietlaagte A,5510,-27.16694,27.1075,1949-03-13 to 1954-01-31
C7H005,Renoster River @ Spes Bona,5577,-27.12305,27.10916,1954-03-15 to 1995-10-09
C7H006,Renoster River @ Arriesrust,5758,-27.04628,27.00464,1978-04-18 to 2019-07-11
C7H013,Renoster River @ Fischer,2148,-27.25908,27.67245,1979-05-01 to 1982-01-31
C7H014,Heuning Spruit @ Dankbaar,914,-27.35713,27.28605,1951-10-11 to 1953-02-26
C7H019,Renoster River @ Verheugd,,-27.26936,27.22854,2010-09-07 to 2019-07-25
C7H020,Rhenoster River @ Doorndraai,,-27.2163,27.4744,2007-08-15 to 2019-07-25
C8H001,Wilge River @ Frankfort,15673,-27.27166,28.49111,1913-10-01 to 2019-09-18
C8H002,Wilge River @ Harrismith,978,-28.27069,29.11138,1947-09-01 to 1977-03-31
C8H003,Cornelis River @ Warden,806,-27.845,28.96222,1954-01-13 to 2019-06-13
C8H004,Liebenbergsvlei River @ De Molen,3527,-27.70045,28.32136,1957-03-01 to 1996-01-24
C8H005,Elands River @ Elands River Drift,696,-28.37583,28.86027,1963-12-12 to 2019-05-28
C8H006,Klerks Spruit @ Geduld,432,-28.29625,28.80526,1964-10-15 to 1985-11-21
C8H007,Liebenbergsvlei River @ Vogelfontein,868,-28.19097,28.34386,1964-12-04 to 1978-03-21
C8H009,Tier River @ Tygerhoek,465,-28.05404,28.4922,1971-11-25 to 2012-05-09
C8H010,Ouberg Spruit @ Fraser Spruit,250,-28.35638,29.09138,1973-02-24 to 2012-02-01
C8H011,Elands River @ Killarney,1486,-28.16125,28.87443,1972-08-02 to 1997-12-10
C8H012,Vaalbank Spruit @ Voorspoed,386,-28.085,28.83694,1971-11-20 to 2019-04-03
C8H013,Vaalbank Spruit-West @ Vaalbank 327,251,-28.1075,28.78555,1971-11-27 to 2015-07-14
C8H014,Wilge River @ Bavaria,7497,-27.81489,28.78304,1973-10-31 to 2002-07-16
C8H016,Krom Spruit @ Cosmos,549,-27.25825,28.40636,1974-02-19 to 1990-08-23
C8H017,Klip River @ Klipoog,825,-27.12937,28.28358,1974-03-13 to 1990-08-23
C8H018,Hol Spruit @ Davidsdale,619,-27.65184,28.86832,1974-02-16 to 1990-08-22
C8H020,Liebenbergsvlei River @ Roodekraal,3578,-27.68972,28.375,1974-10-14 to 2019-07-05
C8H021,Skulp Spruit @ Kalkoen,177,-27.3063,28.48553,1980-10-06 to 1990-02-23
C8H022,Wilge River @ Slabberts,15466,-27.29861,28.49583,1961-12-11 to 2008-07-02
C8H023,Meul River @ The Willows,1656,-28.02305,28.99472,1978-09-28 to 2019-07-25
C8H024,Middel Spruit @ Middelspruit,10,-28.0757,28.6997,1979-10-24 to 1994-07-27
C8H025,Vaalbank Spruit @ Rustkop,79,-28.13222,28.76222,1979-10-24 to 2019-07-05
C8H026,Liebenbergsvlei River @ Frederiksdal,4650,-27.43083,28.52638,1985-03-21 to 2019-09-17
C8H027,Wilge River @ Ballingtomp,10489,-27.30138,28.58555,1985-06-06 to 2019-09-17
C8H028,Wilge River @ Bavaria,7497,-27.80277,28.7675,1988-12-02 to 2019-06-13
C8H030,Wilge River @ Slabberts,15466,-27.29388,28.48888,2003-08-14 to 2019-06-26
C8H033,Wilge River @ Frankfort,,-27.26631,28.48803,1913-10-13 to 1967-02-19
C8H034,Liebenbergsvlei River @ Roodekraal,,-27.68961,28.37803,1979-09-20 to 1988-03-12
C8H037,Liebenbergsvlei @ Reward,2803,-27.79583,28.31777,1998-06-30 to 2019-05-16
C8H039,Makgateng River @ Lejwaneng,,-28.64333,28.84027,1999-10-13 to 2002-06-04
C9H001,Vaal River @ Warrenton,115114,-28.09375,24.8707,1911-01-01 to 1932-02-29
C9H002,Vaal River @ St Claire,194860,-29.04369,23.83678,1908-01-03 to 1911-08-01
C9H003,Vaal River @ Riverton,121070,-28.51344,24.69708,1909-01-01 to 2019-08-13
C9H004,Vaal River @ Bucklands,195329,-29.07119,23.63622,1929-09-13 to 1940-06-30
C9H005,Vaal River @ De Hoop,120982,-28.499,24.60319,1909-01-01 to 1957-11-30
C9H007,Vaal River @ St Claire,194860,-29.04369,23.83678,1947-09-16 to 1977-07-11
C9H009,Vaal River @ De Hoop 65,121220,-28.51622,24.60069,1968-08-13 to 2019-08-13
C9H010,Vaal River @ Gamagara,153065,-28.40623,24.27124,1974-10-30 to 2019-08-13
C9H022,Vaal River @ St Claire,194860,-29.04369,23.83678,1959-03-04 to 1965-03-31
C9H024,Vaal River @ Schmidtsdrif,157830,-28.71149,24.0729,1995-02-09 to 2019-08-13
C9H026,Vaal River @ Sydney-On-Vaal,122225,-28.45046,24.32643,1993-03-25 to 2019-08-13
D1H001,Wonderboom Spruit @ Diepkloof,2388,-31.00111,26.35305,1912-10-01 to 2019-09-18
D1H002,Orange River @ Aliwal-North,37020,-30.68805,26.69714,1904-01-13 to 1913-11-30
D1H003,Orange River @ Aliwal-North,36975,-30.67833,26.71638,1907-08-11 to 2019-06-27
D1H004,Stormberg Spruit @ Molteno,341,-31.40023,26.37101,1925-02-13 to 1981-07-01
D1H005,Orange River @ Lesotho,10740,-30.04877,28.50561,1932-08-11 to 2001-10-17
D1H006,Kornet Spruit @ Maghaleen,2990,-30.15972,27.40138,1935-11-14 to 2019-08-28
D1H007,Kraai River @ Buffelsvallei,9302,-30.72722,26.78242,1951-02-16 to 1969-05-31
D1H009,Orange River @ Oranjedraai,24685,-30.33638,27.35861,1958-11-05 to 2019-08-15
D1H010,Stormberg Spruit @ Molteno,325,-31.4069,26.36796,1962-11-22 to 1983-06-13
D1H011,Kraai River @ Roodewal,8664,-30.83055,26.92055,1965-10-06 to 2019-06-26
D1H019,Malibamatso River @ Lesotho,827,-29.01704,28.53303,1984-09-25 to 1986-05-21
D1H025,Malibamatso River @ Lesotho,3227,-29.48368,28.6497,1966-12-01 to 1996-09-11
D1H026,Senqu River @ Lesotho,7901,-29.58367,28.6997,1984-09-11 to 1986-07-14
D1H029,Bokong River @ Lesotho,404,-29.33368,28.46636,1984-09-14 to 1986-06-18
D1H030,Matsoku River @ Lesotho,674,-29.28369,28.56636,1984-09-13 to 1986-06-17
D1H031,Senqu River @ Lesotho,19710,-30.36418,27.57466,1972-09-04 to 1984-01-19
D1H032,Senqunyane River @ Marakabei,3220,-29.54988,28.15202,1985-11-23 to 2019-09-05
D1H033,Malibamatso River @ Paray,1083,-29.48505,28.64444,1985-11-21 to 2019-09-04
D1H034,Kornet Spruit @ Maghaleen,2998,-30.16388,27.39583,1985-11-11 to 2019-08-28
D1H035,Orange River @ Lesotho - Mantilane,10735,-30.06186,28.50975,1987-06-19 to 2019-07-18
D1H037,Wonderboom Spruit @ Diepkloof,2393,-31.00109,26.35268,1915-01-25 to 1950-02-24
D1H038,Kornet Spruit @ Maghaleen,2987,-30.16058,27.40133,1947-12-16 to 1948-12-28
D1H040,Orange River @ Lesotho,10740,-30.04726,28.50692,1947-10-01 to 1976-10-21
D1H041,Senqu River @ Polihali,3166,-29.29666,28.85555,2013-12-03 to 2019-09-03
D2H001,Caledon River @ Jammerdrif,13421,-29.7156,26.98298,1926-09-07 to 1978-10-03
D2H002,Witte Spruit @ Egmont,309.9,-30.05253,27.02826,1933-11-16 to 1936-05-30
D2H003,Leeu River @ Hobhouse,1424,-29.52728,27.1366,1934-11-01 to 1954-09-30
D2H004,Riet Spruit @ Novo,762,-29.7531,26.86575,1935-03-01 to 1948-12-31
D2H005,Caledon River @ Lesotho,3857,-28.88315,27.88996,1941-12-01 to 1956-01-31
D2H012,Little Caledon River @ The Poplars,518,-28.69485,28.23487,1968-06-17 to 2019-09-02
D2H020,Caledon River @ Pleasant View,8339,-29.30138,27.48805,1982-07-21 to 2010-03-10
D2H022,Caledon River @ Wilgerdraai,12852,-29.61666,27.06555,1988-11-09 to 2019-09-12
D2H029,Caledon River @ Jammerdrif,13421,-29.7156,26.98298,1919-10-01 to 1960-04-21
D2H030,Caledon River @ Border Post Bridge,8347,-29.29813,27.45383,1989-11-01 to 1991-03-19
D2H034,Meul Spruit @ Mpharane,1082,-28.88055,27.835,1991-10-17 to 2019-07-04
D2H035,Caledon River @ Ficksburg,3857,-28.88388,27.88944,1991-10-17 to 2019-07-04
D2H037,Caledon River @ Wilgedraai,12850,-29.60944,27.06444,1993-12-14 to 2010-07-22
D2H039,Caledon River @ Caledonspoort,,-28.69444,28.23388,2004-09-30 to 2019-07-01
D3H001,Seekoei River @ Haasfontein,4155,-31.17635,24.59485,1911-10-01 to 1942-10-31
D3H002,Orange River @ Bethulie,65615,-30.53722,25.98545,1904-01-14 to 1970-07-30
D3H003,Orange River @ Doornbult Uitspan,94765,-29.64616,24.20373,1913-11-01 to 1951-11-30
D3H004,Orange River @ Waschbank,70849,-30.62138,25.46404,1903-12-14 to 1981-06-24
D3H005,Orange River @ Vluytjeskraal,92346,-29.81476,24.43763,1922-08-23 to 1989-06-30
D3H006,Suurberg Spruit @ Klipkraal,471,-30.91382,25.5771,1933-10-01 to 1937-06-30
D3H007,Seekoei River @ Welbedacht,4390.4,-31.06469,24.57235,1959-11-01 to 1974-03-04
D3H008,Orange River @ Marksdrift,99316,-29.16201,23.69594,1962-08-14 to 2019-07-17
D3H009,Orange River @ Seekoegat,69068,-30.6886,25.76155,1964-03-16 to 1970-11-30
D3H010,Orange River @ Seekoegat,,-30.69083,25.76322,1980-09-24 to 1987-06-16
D3H011,Orange River @ Boshismanpoort,65129,-30.53306,26.02573,1971-04-26 to 1982-11-01
D3H015,Seekoei River @ De Eerstepoort,8266,-30.53472,24.9625,1980-06-22 to 2019-08-08
D3H016,Orange River @ Vluytjeskraal,92474,-29.78948,24.40957,1982-08-17 to 1990-09-03
D3H025,Orange River @ Marktsdrift,99316,-29.16201,23.69594,1968-12-02 to 1991-02-21
D3H027,Orange River @ Vluytjeskraal,92346,-29.81476,24.43763,1948-05-01 to 1977-07-26
D4H002,Mareetsane River @ Neverset,566,-26.08776,25.28489,1905-10-01 to 1964-10-01
D4H003,Swartbas River @ Rietfontein,181,-26.7202,20.02556,1941-10-01 to 1948-10-31
D4H013,Molopo River @ Rietvallei,241,-25.85639,25.86561,1964-03-10 to 2018-03-06
D4H014,Molopo-Eye @ Mallepoos-Eye,,-25.88294,26.02044,1981-12-07 to 2019-09-24
D4H030,Compensation Water from Pipeline @ Mallepoos-Eye,,-25.88289,26.02033,1974-11-26 to 2018-06-06
D4H032,Mareetsane River @ Neverset,566,-26.08776,25.28489,1927-01-01 to 1964-10-01
D4H037,Molopo River @ Lotlamoreng Dam Mmabatho,1491,-25.87719,25.60003,1995-10-04 to 2018-06-05
D4H038, Raw Water Pipeline to Treatment Works @ Molopo,,-25.84978,25.50953,1999-12-06 to 2019-07-31
D5H001,Renoster River @ Mullersvlei,2090,-30.65,20.6166,1927-02-01 to 1953-07-01
D5H002,Sak River @ Lekkerleg,16979,-31.34577,20.81251,1927-04-01 to 1973-06-08
D5H003,Fish River @ Hardeheuwel,1509,,,
