Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
A2H029,Edendale Spruit @ Leeuwfontein,129,-25.64711,28.39039,1962-05-21 to 2019-06-19
A2H030,Roodeplaat Spruit @ Louwsbaken se Loop Roodeplaat,116,-25.60286,28.37517,1962-05-24 to 2018-06-05
A2H031,Sand River @ Buffelspoort,1124,-25.13561,27.62719,1963-01-01 to 1970-09-30
A2H032,Selons River @ Moedwil,522,-25.6375,27.02703,1963-09-05 to 2019-06-26
A2H033,Nouklip-Eye @ Hartbeeshoek,,-25.87483,27.78144,1964-06-24 TO 2019-06-26
A2H034,Skeerpoort River @ Scheerpoort,150,-25.82492,27.77181,1964-02-03 to 2019-09-27
A2H035,Skeerpoort River @ Hartbeeshoek,98,-25.86805,27.783,1964-06-23 to 1982-09-26
A2H036,Koster River @ Steenbokfontein,191,-25.72583,26.88442,1965-11-09 to 2018-05-29
A2H037,Krokodil River @ Buffelshoek,23762,-24.66422,27.3755,1967-05-23 to 1992-08-25
A2H038,Waterkloof-Lower @ Rietvallei,,-25.73486,27.21425,1970-12-23 to 2019-06-24
A2H039,Waterkloof-Upper @ Rietvallei,,-25.72025,27.18556,1971-05-18 to 2019-06-24
A2H040,Jukskei River @ Waterval,199,-26.03194,28.11188,1971-07-02 to 1993-03-15
A2H041,Apies River @ Daspoort,142,-25.72886,28.16891,1909-01-09 to 1947-03-30
A2H042,Jukskei River @ Lone Hill,409,-26.00583,28.03302,1971-07-01 to 1995-11-20
A2H044,Jukskei River @ Vlakfontein,798,-25.8955,27.93481,1971-07-18 to 2019-06-18
A2H047,Little Jukskei River @ Klipfontein,65,-26.06831,27.97253,1971-07-21 to 2018-06-05
A2H048,Krokodil River @ Krokodilpoort,4691,-25.57342,27.75411,1972-02-25 to 2018-05-06
A2H049,Bloubank Spruit @ Riet Spruit Zwartkop,371,-25.97681,27.83639,1972-07-04 to 2019-09-23
A2H050,Krokodil River @ Zwartkop,148,-25.99142,27.84211,1973-04-06 to 2019-06-18
A2H051,Krokodil River @ Van Wyks Restant,109,-26.03303,27.84269,1973-05-28 to 2011-07-11
A2H052,Krokodil River @ Krokodildrift,4355,-25.64613,27.78413,1975-01-23 to 1990-05-15
A2H053,Sterkstroom @ Grootfontein,88,-25.80925,27.47603,1973-07-13 to 2018-06-07
A2H054,Hartbees Spruit @ Wolmaranspoort,35,-25.68356,28.28661,1982-09-02 to 2018-05-21
A2H055,Moretele River @ Derdepoort Pretoria,106,-25.69239,28.29314,1982-10-27 to 2019-06-19
A2H056,Steenoond Spruit @ Belle Ombre Sta.,10,-25.73481,28.17925,1982-09-02 to 2018-05-22
A2H058,Swart Spruit @ Rietfontein,107,-25.74819,27.90986,1982-09-02 to 2019-09-25
A2H059,Krokodil River @ Vaalkop,12674,-25.20631,27.55794,1982-03-31 to 2019-07-16
A2H060,Krokodil River @ Nooitgedacht,20627,-25.06303,27.52,1982-08-16 to 2019-07-16
A2H061,Apies River @ Rondavel,625,-25.47086,28.26378,1984-04-13 to 2019-07-17
A2H062,Walker Spruit @ Sunnyside Pretoria,8.1,-25.75897,28.21953,1984-05-09 to 2018-05-21
A2H063,Wonderboom Spruit @ Mayville Pretoria,30,-25.70139,28.19161,1984-05-10 to 2018-05-22
A2H064,Plat River @ Buffel Spruit,115,-24.83731,28.22628,1985-05-28 to 2019-09-24
A2H065,Frisgewaag Spruit @ Buffel Spruit,43,-24.82933,28.22247,1985-05-28 to 2018-06-01
A2H074,Magalies River @ Hartbeespoort,1207,-25.74497,27.85158,1905-11-14 to 1909-12-27
A2H075,Hex River @ Olifantspoort,495,-25.77944,27.26638,1907-01-31 to 1928-01-13
A2H076,Hennops River @ Zwartkop,808,-25.82947,28.14,1905-12-16 to 1945-03-06
A2H077,Pienaars River @ Klipdrift,1028,-25.38119,28.31641,1905-12-15 to 1950-03-04
A2H078,Krokodil River @ Kalkheuwel,2551,-25.80777,27.91025,1924-12-29 to 1955-11-22
A2H079,Magalies River @ Scheerpoort,1171,-25.77666,27.76219,1943-12-16 to 1956-10-30
A2H081,Left Canal from Hartbeespoort Dam @ Hartbeesfontein ,,-25.72472,27.84597,1956-03-31 to 2019-07-16
A2H090,Hennops River @ Van Riebeeck Nat Res,451,-25.88555,28.30277,1978-09-19 to 2004-02-19
A2H099,Buffels Spruit @ Roodepoort,137,-24.86064,28.25331,1976-10-17 to 2019-07-17
