#STATION,STNAME,SHORTNAME,LATITUDE,LONGITUDE,ACTIVE,COMMENCE,CEASE,STNTYPE
C2N0862,Nooitgedacht,NATALSPRUIT,-26.44528,28.05757,F,1987/04/30,2015/12/22,GW
C2N0863,Waterval,NATALSPRUIT,-26.44166667,28.06,F,1987/04/14,2010/06/02,GW
C2N0864,Waterval,NATALSPRUIT,-26.43415,28.062,T,1987/04/08,,GW
C2N0865,Roodepoort,NATALSPRUIT,-26.41209,28.05666,T,1987/04/04,,GW
C2N0866,Roodepoort,NATALSPRUIT,-26.40867,28.05026,T,1987/03/28,,GW
C2N0867,Roodepoort,NATALSPRUIT,-26.42213,28.05304,T,1987/03/25,,GW
C2N0868,Roodepoort,NATALSPRUIT,-26.42587,28.05005,T,1987/04/10,,GW
C2N0869,Roodepoort,NATALSPRUIT,-26.42964,28.04765,F,1987/04/14,2017/09/06,GW
C2N0870,Vereeniging Ged. Usufruct,NATALSPRUIT,-26.63305556,27.88333333,F,1987/01/18,2010/06/02,GW
C2N0871,Vereeniging Ged. Usufruct,NATALSPRUIT,-26.63104,27.88611,F,1988/06/01,2011/08/02,GW
C2N0872,Vereeniging Ged. Rust Ter Vaal,NATALSPRUIT,-26.57666667,27.94305556,F,1987/01/03,1989/08/10,GW
C2N0873,Aerovaal Ged. Vereeniging Aerodrome,NATALSPRUIT,-26.5693,27.96603,T,1987/02/02,,GW
C2N0874,Suttons Rest Ged. Witklip,NATALSPRUIT,-26.55805556,27.95472222,F,1987/01/11,2010/06/02,GW
C2N0875,Aerovaal,NATALSPRUIT,-26.56142,27.96508,T,1988/01/01,,GW
C2N0876,Aerovaal,NATALSPRUIT,-26.55564,27.96185,F,1987/01/26,2011/03/03,GW
C2N0877,Varkensfontein Ged. Walkers Fruit Farms Agricultural,NATALSPRUIT,-26.52353,27.98681,T,1987/03/14,,GW
C2N0878,Varkensfontein Ged. Walkers Fruit Farms Agricultural,NATALSPRUIT,-26.51052,27.97666,F,1987/05/18,2017/03/02,GW
C2N0879,Varkensfontein Ged. Walkers Fruit Farms Agricultural,NATALSPRUIT,-26.51062,27.97686,T,1988/01/01,,GW
C2N0880,Varkensfontein Ged. Walkers Fruit Farms Agricultural,NATALSPRUIT,-26.51399,27.98667,T,1988/01/01,,GW
C2N0881,Varkensfontein Ged. Walkers Fruit Farms Agricultural,NATALSPRUIT,-26.51119,27.99231,F,1987/03/22,2016/09/01,GW
C2N0882,Langkuil,NATALSPRUIT,-26.51665,28.00501,T,1987/03/07,,GW
C2N0883,Driefontein,NATALSPRUIT,-26.39638889,28.04944444,F,1987/04/22,1988/10/15,GW
C2N0884,Driefontein,NATALSPRUIT,-26.39027778,28.04666667,F,1987/03/18,1995/09/21,GW
C2N0885,Driefontein,NATALSPRUIT,-26.38273,28.04262,T,1987/05/06,,GW
C2N0886,Zwartkopjes,NATALSPRUIT,-26.38611111,28.04916667,F,1987/05/10,2010/06/02,GW
C2N0887,Knoppiesfontein,OOS RAND,-26.08878,28.4484,F,1985/10/11,2001/10/08,GW
C2N0888,Knoppiesfontein,OOS RAND,-26.11055556,28.44166667,F,1984/12/06,1989/08/30,GW
C2N0889,Knoppiesfontein,OOS RAND,-26.11916667,28.44527778,F,1985/10/10,2010/06/02,GW
C2N0890,Knoppiesfontein,OOS RAND,-26.08253,28.43302,T,1987/05/09,,GW
