Latitude,Longitude
-26.1528,27.6727
-26.1404,27.6695
-26.1486,27.6422
-26.14235,27.655347
-26.1415,27.6761
-26.142,27.6343
-26.1559,27.5696
-26.177,27.5673
-26.1446,27.6801
-26.1563,27.652
-26.14111,27.6825
-26.1604,27.6866
-26.1604,27.6866
-26.1434,27.6505
-26.1502,27.6016
-26.1502,27.6016
-26.154,27.7117
-26.1424,27.6582
-26.164119,27.606685
-26.142889,27.551389
-26.1431,27.6385
-26.3375,28.008333
-26.566667,27.991667
-26.566667,27.991667
-26.60544,28.29148
-26.404167,28.083333
-26.45,28.33333
-26.515278,28.138889
-26.425,28.241667
-26.590417,28.393056
-26.683333,28.033333
-26.48333,28.13333
-26.55,27.966667
-26.330556,27.940278
-26.509194,28.065778
-26.30556,28.20833
-26.286111,28.230556
-26.308333,28.225
-26.208333,27.599444
-26.638889,27.986111
-26.636111,27.959722
-26.301389,28.225
-26.616667,27.915278
-26.3,27.683333
-26.6547,28.0993
-26.5375,28.104167
-26.208333,27.594444
-26.6631,27.9475
-26.622222,27.950387
-26.483333,28.055556
-26.241667,27.725
-26.51318,28.37702
-26.298611,28.229167
-26.649389,27.993667
-26.400419,27.740203
-26.4904,28.0539
-26.475,28.061111
-26.475,28.061111
-26.363889,27.941667
-26.644444,28.05
-26.5,28.083333
-26.4864,28.0525
-26.197222,27.976389
-26.522222,28.019444
-26.552778,28.075
-26.337222,28
-26.416667,28.333333
-26.1531,27.8032
-26.62069,27.95638
-26.191667,27.947222
-26.297222,28.229167
-26.301389,28.230556
-26.366667,27.916667
-26.3332,27.9296
-26.341667,28.009167
-26.2901,28.2405
-26.297222,28.241667
-26.2848,28.2224
-26.277778,28.236111
-26.316667,28.233333
-26.341667,28.001389
-26.577778,27.963889
-26.577778,27.963889
-26.595833,27.958333
-26.595833,27.958333
-26.595833,27.958333
-26.595833,27.958333
-26.608333,27.941667
-26.627222,28.015278
-26.633333,28.016667
-26.525,28.008333
-26.5227,28.0062
-26.5227,28.0062
-26.294444,28.211111
-26.297222,28.223611
-26.225,27.625
-26.494444,28.025
-26.558833,28.100222
-26.607167,28.241306
-26.555417,28.189917
-26.590056,28.179194
-26.238889,27.616667
-26.238889,27.618056
-26.5,28.366667
-26.422222,28.108333
-26.575,27.988889
-26.585806,27.986833
-26.576917,27.988361
-26.578472,27.983694
-26.582361,27.993111
-26.577222,27.985361
-26.582,27.993278
-26.579694,27.994611
-26.508333,28.141667
-26.508333,28.141667
-26.438889,27.977778
-26.563722,27.988361
-26.563722,27.988361
-26.566667,27.980556
-26.566667,27.977778
-26.575472,27.992111
-26.275,28.244444
-26.649972,27.966667
-26.278056,28.16
-26.274167,28.167778
-26.275556,28.159444
-26.6375,27.991667
-26.275,28.166667
-26.225,27.642222
-26.340639,28.278583
-26.422222,28.083333
-26.324444,28.291667
-26.583333,27.941667
-26.29181,27.77786
-26.24116,27.61669
-26.2423,27.6161
-26.513889,27.981944
-26.513889,27.981944
-26.4834,28.054
-26.6066,27.949
-26.273333,27.643889
-26.494722,28.025
-26.588889,28.280556
-26.505556,28.090278
-26.501389,28.102778
-26.501389,28.102778
-26.5712,28.0069
-26.586333,28.387639
-26.604389,27.928611
-26.605556,27.933333
-26.575,28.375
-26.216667,28.04033
-26.53026,28.31418
-26.561111,28.166667
